Изображение,Название,Автор,Количество страниц,Издательство,Язык,ISBN-10
"https://images-na.ssl-images-amazon.com/images/I/5101aICQW6L._SY344_BO1,204,203,200_.jpg",The Personal Internet Address & Password Log Book,Peter Pauper Press,Hardcover-spiral: 144 pages,"Publisher: Peter Pauper Press; Spi edition (July 4, 2010)",Language: English,ISBN-10: 1441303251
"https://images-na.ssl-images-amazon.com/images/I/515iEcDr1GL._SX385_BO1,204,203,200_.jpg",Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Paperback: 464 pages,"Publisher: Prentice Hall; 1 edition (August 11, 2008)",Language: English,ISBN-10: 9780132350884
"https://images-na.ssl-images-amazon.com/images/I/51HTscN%2BTyL._SX444_BO1,204,203,200_.jpg",The Legend of Zelda: Breath of the Wild The Complete Official Guide: -Expanded Edition,Piggyback,Hardcover: 512 pages,"Publisher: Piggyback; Expanded edition (February 13, 2018)",Language: English,ISBN-10: 1911015486
"https://images-na.ssl-images-amazon.com/images/I/51GNYseBIwL._SX258_BO1,204,203,200_.jpg","(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide, 8e & CISSP Official (ISC)2 Practice Tests, 2e",Mike Chapple,Paperback: 1616 pages,"Publisher: Sybex; 2 edition (June 19, 2018)",Language: English,ISBN-10: 1119523265
"https://images-na.ssl-images-amazon.com/images/I/51UNIpkrbRL._SX402_BO1,204,203,200_.jpg","CompTIA Network+ Certification All-in-One Exam Guide, Seventh Edition (Exam N10-007)",Mike Meyers,Hardcover: 960 pages,"Publisher: McGraw-Hill Education; 7 edition (June 26, 2018)",Language: English,ISBN-10: 1260122387
"https://images-na.ssl-images-amazon.com/images/I/51Vogw4seHL._SX378_BO1,204,203,200_.jpg","CompTIA A+ Certification All-in-One Exam Guide, Ninth Edition (Exams 220-901 & 220-902)",None,Series: All-in-One,Hardcover: 1473 pages,"Publisher: McGraw-Hill Education; 9 edition (January 4, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/61dnZ1uOp5L._SX441_BO1,204,203,200_.jpg",First Little Readers Parent Pack: Guided Reading Level C: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Liza Charlesworth,Paperback: 96 pages,"Publisher: Scholastic Teaching Resources (Teaching Strategies); Box Pck edition (October 1, 2010)",Language: English,ISBN-10: 0545231515
"https://images-na.ssl-images-amazon.com/images/I/51bAF5pdyeL._SX332_BO1,204,203,200_.jpg","The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",Gene Kim,Paperback: 432 pages,"Publisher: IT Revolution Press; 5th Anniversary edition (February 27, 2018)",Language: English,ISBN-10: 1942788290
"https://images-na.ssl-images-amazon.com/images/I/51gP9mXEqWL._SX379_BO1,204,203,200_.jpg","Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,Paperback: 624 pages,"Publisher: O'Reilly Media; 1 edition (April 2, 2017)",Language: English,ISBN-10: 1449373321
"https://images-na.ssl-images-amazon.com/images/I/51ykN8Yiy%2BL._SY344_BO1,204,203,200_.jpg","AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,Hardcover: 272 pages,"Publisher: Houghton Mifflin Harcourt (September 25, 2018)",Language: English,ISBN-10: 132854639X
"https://images-na.ssl-images-amazon.com/images/I/51QCfWceSwL._SX356_BO1,204,203,200_.jpg",The Art of BRAVELY SECOND: END LAYER,None,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/51jLe2offLL._SX376_BO1,204,203,200_.jpg",The Legend of Zelda: Art & Artifacts,Nintendo,,,,
"https://images-na.ssl-images-amazon.com/images/I/61fim5QqaqL._SX373_BO1,204,203,200_.jpg",Deep Learning (Adaptive Computation and Machine Learning series),Ian Goodfellow,Series: Adaptive Computation and Machine Learning series,Hardcover: 775 pages,"Publisher: The MIT Press (November 18, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/517XL4pO6jL._SX376_BO1,204,203,200_.jpg",Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,Paperback: 504 pages,"Publisher: No Starch Press; 1 edition (April 14, 2015)",Language: English,ISBN-10: 1593275994
"https://images-na.ssl-images-amazon.com/images/I/51TEvXBGryL._SX377_BO1,204,203,200_.jpg",The Legend of Zelda: Breath of the Wild--Creating a Champion,Nintendo,Series: Legend of Zelda,Hardcover: 424 pages,"Publisher: Dark Horse Books (November 20, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41T53nRtyoL._SX435_BO1,204,203,200_.jpg","Web Design with HTML, CSS, JavaScript and jQuery Set",Jon Duckett,Paperback: 1152 pages,"Publisher: Wiley; 1 edition (July 8, 2014)",Language: English,ISBN-10: 1118907442
"https://images-na.ssl-images-amazon.com/images/I/5191yHaj8pL._SX258_BO1,204,203,200_.jpg",Keto Diet for Beginners: The Ultimate Keto Cookbook with Easy to Cook Ketogenic Diet Recipes for Rapid Weight Loss (Keto Diet for Beginners / Keto Cookbook for Beginners - 2019 Fully Updated),None,Series: Keto Diet for Beginners / Keto Cookbook for Beginners - 2019 Fully Updated (Book 1),Paperback: 91 pages,"Publisher: Independently published (November 15, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41Nar0ARmjL._SX356_BO1,204,203,200_.jpg",Final Fantasy Ultimania Archive Volume 3,None,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/51FOUJowzzL._SX383_BO1,204,203,200_.jpg",Barron's AP Computer Science A with Online Tests,None,Series: Barron's AP,Paperback: 528 pages,"Publisher: Barrons Educational Series; Eighth edition (January 1, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/410RTQezHYL._SY344_BO1,204,203,200_.jpg",The Design of Everyday Things: Revised and Expanded Edition,Don Norman,Paperback: 368 pages,"Publisher: Basic Books; Revised, Expanded edition (November 5, 2013)",Language: English,ISBN-10: 9780465050659
"https://images-na.ssl-images-amazon.com/images/I/41leOaqpoyL._SY344_BO1,204,203,200_.jpg",,Jeb Blount,File Size: 1425 KB,Print Length: 297 pages,"Publisher: Wiley; 1 edition (September 29, 2015)","Publication Date: September 29, 2015"
"https://images-na.ssl-images-amazon.com/images/I/41Skm-PEQTL._SX258_BO1,204,203,200_.jpg",The Legend of Zelda: Breath of the Wild-Creating a Champion Hero's Edition,Nintendo,Hardcover: 424 pages,"Publisher: Dark Horse Books; Translation edition (November 20, 2018)",Language: English,ISBN-10: 1506710115
"https://images-na.ssl-images-amazon.com/images/I/51OHKbEod0L._SX258_BO1,204,203,200_.jpg",How to Create Stunning Digital Photography,Tony Northrup,Paperback: 241 pages,"Publisher: Mason Press; 2nd edition (December 1, 2012)",Language: English,ISBN-10: 0988263408
"https://images-na.ssl-images-amazon.com/images/I/411G-otS17L._SX258_BO1,204,203,200_.jpg",The Game Console: A Photographic History from Atari to Xbox,None,Hardcover: 264 pages,"Publisher: No Starch Press; 1 edition (November 6, 2018)",Language: English,ISBN-10: 1593277431
"https://images-na.ssl-images-amazon.com/images/I/51PmFU7D%2B1L._SX352_BO1,204,203,200_.jpg",Super Mario Encyclopedia: The Official Guide to the First 30 Years,Nintendo,Hardcover: 256 pages,"Publisher: Dark Horse Books (October 23, 2018)",Language: English,ISBN-10: 1506708978
"https://images-na.ssl-images-amazon.com/images/I/516MT1JEjPL._SX396_BO1,204,203,200_.jpg",Excel 2019 All-in-One For Dummies,Greg Harvey,Series: All-in-One For Dummies,Paperback: 816 pages,"Publisher: For Dummies; 1 edition (November 13, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/61IWAs8%2B6wL._SX258_BO1,204,203,200_.jpg",Fallout: The Vault Dweller's Official Cookbook,None,Hardcover: 192 pages,"Publisher: Insight Editions (October 23, 2018)",Language: English,ISBN-10: 168383397X
"https://images-na.ssl-images-amazon.com/images/I/41kxrQD7R%2BL._SX258_BO1,204,203,200_.jpg",Deep Learning with Python,Francois Chollet,Paperback: 384 pages,"Publisher: Manning Publications; 1 edition (December 22, 2017)",Language: English,ISBN-10: 9781617294433
"https://images-na.ssl-images-amazon.com/images/I/51BHEtpF4eL._SX331_BO1,204,203,200_.jpg",The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,Paperback: 244 pages,"Publisher: O'Reilly Media; 1 edition (April 2, 2017)",Language: English,ISBN-10: 9781491973899
"https://images-na.ssl-images-amazon.com/images/I/41uZ-WxUxpL._SY344_BO1,204,203,200_.jpg","Password book: A Premium Journal And Logbook To Protect Usernames and Passwords: Modern Password Keeper, Vault, Notebook and Online Organizer with ... Calligraphy and Hand Lettering Design)",Lettering Design Co,Series: Modern Calligraphy and Hand Lettering Design,Paperback: 108 pages,"Publisher: CreateSpace Independent Publishing Platform (April 9, 2017)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51A13QRmc2L._SX258_BO1,204,203,200_.jpg",(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,Mike Chapple,Paperback: 1104 pages,"Publisher: Sybex; 8 edition (May 8, 2018)",Language: English,ISBN-10: 1119475937
"https://images-na.ssl-images-amazon.com/images/I/51jSuxj-rFL._SY344_BO1,204,203,200_.jpg","R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",Hadley Wickham,Paperback: 522 pages,"Publisher: O'Reilly Media; 1 edition (January 5, 2017)",Language: English,ISBN-10: 1491910399
"https://images-na.ssl-images-amazon.com/images/I/61w8%2BmJ9sqL._SX387_BO1,204,203,200_.jpg",USA TODAY Jumbo Puzzle Book 2: 400 Brain Games for Every Day (USA Today Puzzles),None,Series: USA Today Puzzles (Book 11),Paperback: 480 pages,"Publisher: Andrews McMeel Publishing; 8/16/09 edition (September 15, 2009)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51Dsmt1u5SL._SX438_BO1,204,203,200_.jpg",Red Dead Redemption 2: The Complete Official Guide Collector's Edition,Piggyback,Hardcover: 384 pages,"Publisher: Piggyback; Collectors edition (October 26, 2018)",Language: English,ISBN-10: 1911015540
"https://images-na.ssl-images-amazon.com/images/I/411yrcBHmPL._SX321_BO1,204,203,200_.jpg",The Model Thinker: What You Need to Know to Make Data Work for You,Scott E. Page,Hardcover: 448 pages,"Publisher: Basic Books (November 27, 2018)",Language: English,ISBN-10: 0465094627
"https://images-na.ssl-images-amazon.com/images/I/41JiFBfrrsL._SY344_BO1,204,203,200_.jpg",Glow Kids: How Screen Addiction Is Hijacking Our Kids - and How to Break the Trance,Nicholas Kardaras,Paperback: 304 pages,"Publisher: St. Martin's Griffin; Reprint edition (September 26, 2017)",Language: English,ISBN-10: 9781250146557
"https://images-na.ssl-images-amazon.com/images/I/51sp16fk-7L._SX258_BO1,204,203,200_.jpg",The Art of Cuphead,None,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/51XnVFDFoQL._SX318_BO1,204,203,200_.jpg",DotCom Secrets: The Underground Playbook for Growing Your Company Online,Russell Brunson,Paperback: 236 pages,"Publisher: Morgan James Publishing (April 28, 2015)",Language: English,ISBN-10: 1630474770
"https://images-na.ssl-images-amazon.com/images/I/51OT7%2BnH%2B4L._SX328_BO1,204,203,200_.jpg","iGen: Why Today's Super-Connected Kids Are Growing Up Less Rebellious, More Tolerant, Less Happy--and Completely Unprepared for Adulthood--and What That Means for the Rest of Us",None,Paperback: 352 pages,"Publisher: Atria Books; Reprint edition (September 4, 2018)",Language: English,ISBN-10: 9781501152016
"https://images-na.ssl-images-amazon.com/images/I/51pnouuPO5L._SX387_BO1,204,203,200_.jpg","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability (3rd Edition) (Voices That Matter)",Steve Krug,Series: Voices That Matter,Paperback: 216 pages,"Publisher: New Riders; 3 edition (January 3, 2014)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51I9naPg55L._SX258_BO1,204,203,200_.jpg","Eloquent JavaScript, 3rd Edition: A Modern Introduction to Programming",Marijn Haverbeke,Paperback: 472 pages,"Publisher: No Starch Press; 3 edition (December 4, 2018)",Language: English,ISBN-10: 1593279507
"https://images-na.ssl-images-amazon.com/images/I/511n-ktSBkL._SY344_BO1,204,203,200_.jpg",One Million Followers: How I Built a Massive Social Following in 30 Days,Brendan Kane,Hardcover: 256 pages,"Publisher: BenBella Books (October 9, 2018)",Language: English,ISBN-10: 9781946885371
"https://images-na.ssl-images-amazon.com/images/I/51Uv99xOnIL._SY344_BO1,204,203,200_.jpg",Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,Hardcover: 64 pages,"Publisher: Houghton Mifflin Harcourt; 1st Edition edition (November 24, 2015)",Language: English,ISBN-10: 9780544668256
"https://images-na.ssl-images-amazon.com/images/I/516yIUucShL._SX258_BO1,204,203,200_.jpg",Effective Java,Joshua Bloch,Paperback: 412 pages,"Publisher: Addison-Wesley Professional; 3 edition (January 6, 2018)",Language: English,ISBN-10: 0134685997
"https://images-na.ssl-images-amazon.com/images/I/41kB%2Bkc%2BywL._SY344_BO1,204,203,200_.jpg",Tribe of Hackers: Cybersecurity Advice from the Best Hackers in the World,Marcus J Carey,Paperback: 412 pages,"Publisher: Independently published (January 28, 2019)",Language: English,ISBN-10: 1793464189
"https://images-na.ssl-images-amazon.com/images/I/51RpWrYxzNL._SX258_BO1,204,203,200_.jpg","CompTIA Security+ All-in-One Exam Guide, Fifth Edition (Exam SY0-501)",None,Hardcover: 647 pages,"Publisher: McGraw-Hill Education; 5 edition (January 8, 2018)",Language: English,ISBN-10: 1260019322
"https://images-na.ssl-images-amazon.com/images/I/41GY4%2B3eAyL._SY344_BO1,204,203,200_.jpg",The Book of Why: The New Science of Cause and Effect,Judea Pearl,Hardcover: 432 pages,"Publisher: Basic Books; 1 edition (May 15, 2018)",Language: English,ISBN-10: 046509760X
"https://images-na.ssl-images-amazon.com/images/I/41Yn4cEd46L._SX320_BO1,204,203,200_.jpg",The Mastermind: Drugs. Empire. Murder. Betrayal.,Evan Ratliff,Hardcover: 480 pages,"Publisher: Random House (January 29, 2019)",Language: English,ISBN-10: 0399590412
"https://images-na.ssl-images-amazon.com/images/I/41TLwbsl8eL._SY344_BO1,204,203,200_.jpg",Accelerate: The Science of Lean Software and DevOps: Building and Scaling High Performing Technology Organizations,Nicole Forsgren  PhD,Paperback: 288 pages,"Publisher: IT Revolution Press; 1 edition (March 27, 2018)",Language: English,ISBN-10: 1942788339
"https://images-na.ssl-images-amazon.com/images/I/41w4egn0LUL._SX348_BO1,204,203,200_.jpg",Elements of Programming Interviews in Python: The Insiders' Guide,Adnan Aziz,Paperback: 458 pages,"Publisher: CreateSpace Independent Publishing Platform (September 15, 2016)",Language: English,ISBN-10: 1537713949
"https://images-na.ssl-images-amazon.com/images/I/51ANqDkzbrL._SX258_BO1,204,203,200_.jpg",Sous Vide Cookbook: 575 Best Sous Vide Recipes of All Time (with Nutrition Facts and Everyday Recipes),Rachel Collins,Paperback: 276 pages,"Publisher: Independently published (February 11, 2019)",Language: English,ISBN-10: 1796686077
"https://images-na.ssl-images-amazon.com/images/I/41BjtnvIUQL._SX382_BO1,204,203,200_.jpg",Clean Architecture: A Craftsman's Guide to Software Structure and Design (Robert C. Martin Series),Robert C. Martin,Series: Robert C. Martin Series,Paperback: 432 pages,"Publisher: Prentice Hall; 1 edition (September 20, 2017)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41p3IT0dVzL._SY344_BO1,204,203,200_.jpg","SQL in 10 Minutes, Sams Teach Yourself (4th Edition)",Ben Forta,Series: Sams Teach Yourself,Paperback: 288 pages,"Publisher: Sams Publishing; 4 edition (November 4, 2012)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41EaH4W9LVL._SX332_BO1,204,203,200_.jpg",An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics),Gareth James,Series: Springer Texts in Statistics (Book 103),Hardcover: 426 pages,"Publisher: Springer; 1st ed. 2013, Corr. 7th printing 2017 edition (September 1, 2017)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/518XMQFtO-L._SX258_BO1,204,203,200_.jpg",The Legend of Zelda Encyclopedia,Nintendo,Hardcover: 328 pages,"Publisher: Dark Horse Books (June 19, 2018)",Language: English,ISBN-10: 9781506706382
"https://images-na.ssl-images-amazon.com/images/I/515iBchIIzL._SX258_BO1,204,203,200_.jpg","Learning Python, 5th Edition",Mark Lutz,Series: Learning Python,Paperback: 1648 pages,"Publisher: O'Reilly Media; Fifth edition (July 6, 2013)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51fBisfHhDL._SX258_BO1,204,203,200_.jpg","Linux Basics for Hackers: Getting Started with Networking, Scripting, and Security in Kali",OccupyTheWeb,Paperback: 248 pages,"Publisher: No Starch Press (December 4, 2018)",Language: English,ISBN-10: 1593278551
"https://images-na.ssl-images-amazon.com/images/I/51P9eGakN8L._SY344_BO1,204,203,200_.jpg",Expert Secrets: The Underground Playbook for Creating a Mass Movement of People Who Will Pay for Your Advice,Russell Brunson,Paperback: 302 pages,"Publisher: Morgan James Publishing (June 6, 2017)",Language: English,ISBN-10: 9781683504580
"https://images-na.ssl-images-amazon.com/images/I/41oUl8JqogL._SX329_BO1,204,203,200_.jpg",,Max Tegmark,File Size: 35321 KB,Print Length: 382 pages,"Publisher: Vintage (August 29, 2017)","Publication Date: August 29, 2017"
"https://images-na.ssl-images-amazon.com/images/I/41aQrQaPseL._SX331_BO1,204,203,200_.jpg","The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition (Springer Series in Statistics)",Robert Tibshirani,Series: Springer Series in Statistics,Hardcover: 745 pages,Publisher: Springer; 2nd edition (2016),Language: English
"https://images-na.ssl-images-amazon.com/images/I/51cUNf8zukL._SX258_BO1,204,203,200_.jpg","Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,Paperback: 550 pages,"Publisher: O'Reilly Media; 2 edition (October 20, 2017)",Language: English,ISBN-10: 1491957662
"https://images-na.ssl-images-amazon.com/images/I/41Nmtoj0ijL._SX409_BO1,204,203,200_.jpg",CCENT/CCNA ICND1 100-105 Official Cert Guide,Wendell Odom,Series: Official Cert Guide,Hardcover: 1024 pages,"Publisher: Cisco Press; 1 edition (May 27, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/512BblrQFqL._SY344_BO1,204,203,200_.jpg","Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,Paperback: 824 pages,"Publisher: Basic Books; Anniversary edition (February 5, 1999)",Language: English,ISBN-10: 0465026567
"https://images-na.ssl-images-amazon.com/images/I/51YsGpcduNL._SX405_BO1,204,203,200_.jpg",CCNA Routing and Switching 200-125 Official Cert Guide Library,Wendell Odom,Series: Official Cert Guide,Hardcover: 9998 pages,"Publisher: Cisco Press; 1 edition (August 5, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/61y0jTKEZ%2BL._SX258_BO1,204,203,200_.jpg",How to Draw Pokemon: Learn to Draw Your Favourite Pokemon Go Characters,None,Paperback: 107 pages,"Publisher: CreateSpace Independent Publishing Platform (March 21, 2017)",Language: English,ISBN-10: 154480864X
"https://images-na.ssl-images-amazon.com/images/I/51dTA695MNL._SX396_BO1,204,203,200_.jpg",Canon EOS Rebel T6/1300D For Dummies (For Dummies (Computer/tech)),Julie Adair King,Series: For Dummies (Computer/tech),Paperback: 320 pages,"Publisher: For Dummies; 1 edition (August 1, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51oYzgTCiyL._SX427_BO1,204,203,200_.jpg",Learn Windows PowerShell in a Month of Lunches,Donald W. Jones,Paperback: 384 pages,"Publisher: Manning Publications; 3 edition (December 30, 2016)",Language: English,ISBN-10: 1617294160
"https://images-na.ssl-images-amazon.com/images/I/611vN8uhJ9L._SX258_BO1,204,203,200_.jpg",Digital Photography Complete Course: Learn Everything You Need to Know in 20 Weeks,None,Hardcover: 360 pages,"Publisher: DK (August 18, 2015)",Language: English,ISBN-10: 1465436073
"https://images-na.ssl-images-amazon.com/images/I/51A3RJDnGnL._SY344_BO1,204,203,200_.jpg",NieR: Automata World Guide Volume 1,None,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/61rJ0bbrm2L._SY344_BO1,204,203,200_.jpg",Marijuana Grower's Handbook: Your Complete Guide for Medical and Personal Marijuana Cultivation,Ed Rosenthal,Paperback: 510 pages,"Publisher: Quick American Archives; Special edition (June 8, 2010)",Language: English,ISBN-10: 0932551467
"https://images-na.ssl-images-amazon.com/images/I/41gHB8KelXL._SX258_BO1,204,203,200_.jpg","C Programming Language, 2nd Edition",Brian W. Kernighan,Paperback: 272 pages,"Publisher: Prentice Hall; 2 edition (April 1, 1988)",Language: English,ISBN-10: 0131103628
"https://images-na.ssl-images-amazon.com/images/I/41LBzpPXCOL._SX379_BO1,204,203,200_.jpg",Refactoring: Improving the Design of Existing Code (2nd Edition) (Addison-Wesley Signature Series (Fowler)),Martin Fowler,Series: Addison-Wesley Signature Series (Fowler),Hardcover: 448 pages,"Publisher: Addison-Wesley Professional; 2 edition (November 30, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51%2BlcnIDQfL._SY344_BO1,204,203,200_.jpg","Crushing It!: How Great Entrepreneurs Build Their Business and Influence-and How You Can, Too",Gary Vaynerchuk,Hardcover: 288 pages,"Publisher: HarperBusiness (January 30, 2018)",Language: English,ISBN-10: 0062674676
"https://images-na.ssl-images-amazon.com/images/I/612ybpJEisL._SX348_BO1,204,203,200_.jpg",The Hacker Playbook 3: Practical Guide To Penetration Testing,Peter Kim,Series: The Hacker Playbook (Book 3),Paperback: 289 pages,"Publisher: Independently published (May 2, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41dP3wwCoHL._SY344_BO1,204,203,200_.jpg",Possible Minds: Twenty-Five Ways of Looking at AI,John Brockman,Hardcover: 320 pages,"Publisher: Penguin Press (February 19, 2019)",Language: English,ISBN-10: 0525557997
