Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
"1% лидеров обладает качествами, которых нет у 99% людей",Коно Э.,"Мировой бестселлер - издано 960000 экземпляров.Конкретные советы по развитию в себе лидерских качеств.Для всех, кто заинтересован в карьерном росте.Цитата""Есть ли специальные техники, чтобы стать лидером?Чем являются эти способности, если ""ничего особенного из себя не представляют"", и как их в себе развивать? С помощью обучения и последующей практики можно овладеть необходимыми знаниями, техниками и поведением, присущим лидеру. То есть существуют определенные ""методы"" развития лидерства.В процессе их применения они доказали свою эффективность. Слово ""методы"" может показаться чем-то сложным, что доступно только ограниченному кругу людей, обладающих особыми возможностями. На деле эти методики не так уж сложны. Иначе говоря, как только вы начнете их применять, лидером стать не составит большого труда"".О чем книгаЕсли вы планируете добиться значительного роста и прогресса в работе, получить поддержку и уважение своей команды, мало быть хорошим управленцем. Намного важнее стать настоящим лидером.Эйтаро Коно - настоящий гуру в вопросах лидерства - предлагает эффективное руководство по развитию качеств и навыков, которыми обладают успешные лидеры. Вам не придется изучать сложную науку воодушевления своих сотрудников. Вы сможете вдохновить их на подвиги и впечатляющий рост, всего лишь изменив некоторые свои манеры и привычки.Почему книга достойна прочтенияВы научитесь:подбирать и формировать командуоценивать работу и хвалить сотрудниковстоять на линии огня и признавать ошибкимотивировать и воспитыватьпринимать решения, которые будут направлять команду впередоставаться в хорошем настроении несмотря ни на чтоКто авторЭйтаро Коно - японский бизнесмен, эксперт в области управления. Он пришел в IBM в 2002 году в качестве бизнес-консультанта, занимал должности управляющего отдела подготовки молодых кадров и помощника управляющего директора, а сейчас руководит японским подразделением компании. Статьи Эйтаро выходят в Diamond Harvard Buisness Revue, President, Nikkei, Sankei.Для кого эта книгаКнига будет полезна начинающим и опытным руководителям, менеджерам, заинтересованным в карьерном росте, а также всем, кто хочет развить в себе лидерские качества.Ключевые понятияЛидерство, эффективное лидерство, корпоративная культура, менеджмент, управление людьми.",5 600 тг,5,Альпина Паблишер,2018 г.,9785961467253,108,Твердый,200 мм x 130 мм,80 г.,http://www.bookcity.kz/content/images/thumbs/5120847_1453664.jpeg
"10 провалов, которые создают миллионера. Путь от $500 до $1 000 000",Карнаух О.,"Открыть свое дело, работать на себя, быть успешным бизнесменом — пожалуй, то, к чему стоит стремиться. Олег Карнаух, бизнесмен, которому удалось пройти путь от пятисот долларов до одного миллиона, знает толк в успехах и поражениях. История его успеха содержит множество подсказок и предостережений, который помогут начинающим предпринимателям стать сильнее и решительнее на пути к своему первому миллиону!Эта книга для тех, кто хочет понять алгоритм успеха, предотвратить возможные ошибки в бизнесе, развить свое предпринимательское чутье и, возможно, стать немножко лучше себя вчерашнего.",3 900 тг,4,АСТ,2018 г.,9785171068455,224,Твердый,215 мм x 170 мм,365 г.,http://www.bookcity.kz/content/images/thumbs/5115554_1448551.jpeg
10 уроков на салфетках. Рабочая тетрадь. Стань хозяином своей жизни,Фэйлла Д.,"Рабочая тетрадь - это приложение к книге ""10 уроков на салфетках. Стань хозяином своей жизни"".Это своего рода практический код, который поможет применить все обучающие принципы на практике. Изучая пошагово эту книгу и снова и снова следуя шагам, приведенным в этой книге, вы обязательно добьетесь успеха в сетевом маркетинге и станете хозяином своей жизни. Для широкого круга читателей.",1 600 тг,5,Фаир,2018 г.,9785818320021,160,Мягкий,8 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120135_1452947.jpeg
100 и 1 цитата. Карл Маркс,Маркс К.,"Данная книга является сборником цитат Карла Маркса (1818-1883) -известного критика и глубокого исследователя капиталистического общества, ставшего основателем многих современных идейно-политических течений, зачастую дискутирующих друг с другом. Создавая этот сборник, мы ставили перед собой цель показать Маркса как многогранного автора, способного к постоянному переосмыслению своей теории, уточнению и поиску новых аргументов. Этот образ должен бросить вызов догматическому восприятию марксизма как свода окончательных истин и рецептов. Марксизм, основанный на гегелевской диалектике развития, неустанно завоевывает новых сторонников во всем мире, и с каждым поколением появляются новые ""критические"" интерпретации. В данном небольшом сборнике невозможно охватить все богатство современных марксистских дискуссий, но он будет чрезвычайно полезен для начального знакомства или обновления знаний после длительного перерыва.",1 500 тг,0,Проспект,2017 г.,9785990931343,192,Мягкий,9 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5103792_1440227.jpeg
"100 книг по бизнесу, которые надо прочитать",Голдман Т.,"Выдающиеся произведения мировой бизнес-литературы в одной книге.100 книг по основам предпринимательства, экономике, менеждменту, маркетингу, психологии, саморазвитию, биографиям выдающихся личностей, а также полезные художественные произведения, которые смогут многому научить.Лучший подарок для того, кто хочет начать свой бизнес.",3 400 тг,3,АСТ,2018 г.,9785171061012,320,Твердый,21 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117267_1450194.jpeg
100 подсказок менеджеру по продажам,"Парабеллум А., Колотилов Е.","О чем книга Вы хотели бы иметь на расстоянии вытянутой руки шпаргалку, написанную успешным профессиональным менеджером по продажам, чтобы в трудную минуту можно было заглянуть в нее за советом? В книге собрано 100 подсказок, которые охватывают все этапы продаж, начиная от холодных звонков и заканчивая заключением сделки. Почему книга достойна прочтения Имея ее под рукой, вы избавитесь от волнения и будете чувствовать себя увереннее как в процессе телефонных переговоров, так и при личных встречах с клиентами. В книге максимально четко сформулированы именно практические советы по технике успешных продаж. Авторы имеют за плечами огромный опыт личных продаж и являются одними из самых востребованных в России бизнес-тренеров. Для кого эта книга Для менеджеров по продажам, заинтересованных в повышении эффективности своей работы. Кто автор Евгений Колотилов - бизнес-тренер, убежденный сторонник честных методов продаж и...",3 200 тг,5,Альпина Паблишер,2019 г.,9785961417463,128,Твердый,12 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5053187_1388485.jpeg
100 способов изменить жизнь. Часть 1,Парфентьева Л.,"Эта книга родилась из еженедельной рубрики Ларисы Парфентьевой ""100 способов изменить свою жизнь"" на сайте издательства ""МИФ"". Только появившись, эта рубрика вызвала много откликов. Люди стали писать о том, как разные истории помогают им двигаться вперед.В эту книгу вошли разделы ""Предназначение"", ""Мотивация"", ""Движение"", ""Законы жизни"". В ней вы найдете ответы на многие вопросы.• Как выразить силу, которая есть у меня внутри?• Как уйти с нелюбимой работы и реализовать себя?• Как сделать первый шаг к новой жизни?• Как преодолеть страхи и совершить ""прыжок веры""?• Как совмещать работу и любимое дело?• Как найти окружение, которое поддержит?• Как развить личную силу и получить желаемое от Вселенной?• Как простить старые обиды и ""вынуть нож из спины""?Кроме того, вы получите персональную формулу счастья из 7 составляющих.",7 700 тг,3,"Манн, Иванов и Фербер",2019 г.,9785001460671,Твердый,18 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131121_1463492.jpeg
100 способов изменить жизнь. Часть 2,Парфентьева Л.,"О книгеПродолжение бестселлера с вдохновляющими историями о том, как изменить жизнь к лучшему.Серия ""100 способов изменить жизнь"" родилась из одноименной рубрики Ларисы Парфентьевой на сайте издательства ""Манн, Иванов и Фербер"". Только появившись, эта рубрика вызвала много откликов. Люди стали писать о том, как разные истории помогают им двигаться вперед.Первая книга в серии уже стала бестселлером. Вашему вниманию - вторая книга Ларисы с новыми вдохновляющими историями, авторскими методиками и солидной порцией мотивации для того, чтобы круто изменить жизнь к лучшему.Среди инструментов, о которых вы узнаете:•   Хайвэй перемен. Авторская концепция - путь из 4 отрезков, которые проходит любой, кто решится развернуть жизнь на 180 градусов. В ней есть ответы на два главных вопроса: ""С чего начать?"" и ""Как перейти на новую ступень?""•   Колесо призвания. Интересная схема, которая помогает понять, туда ли вы идете. Это инструмент, который наглядно показывает, в каком деле вы будете чувствовать себя на своем месте. Над этой техникой автор книги работала последние 3 года.•   Эра накапливания. Это глава для тех, кто застрял на одном уровне и не может сдвинуться с места. Вас ждет система Пяти Точек, которые позволят из ""друга главного героя"" превратиться наконец в главного героя. Поверьте: вы ""накопили"" уже достаточно, чтобы стать главным.От автораПосле выхода первой части книги в сети появилось несколько сотен отзывов. Большинство из них начиналось так: ""Я бы никогда не купил(а) книгу с таким названием, если бы ее не посоветовал [имя какого-нибудь авторитетного критика/блогера/друга]"".Так что если вы ничего не знаете о серии ""100 способов изменить жизнь"", пусть вас не пугает такое претенциозное название. Обещаю: следующую книгу я назову так, чтобы никто не заподозрил меня в пафосе и ""ванильности"". Например, ""Макароны, доски, Сальвадор Дали"".А сейчас у вас в руках необычная, несмотря на название, книга. Чтобы создать две части ""100 способов"", я прочла более 1000 книг. Лучшие идеи, техники, мысли и цитаты я перемешала в своей голове, сдобрила историями реальных людей, добавила души, сердца, иронии, здоровой самокритики и положила на эти страницы. Как написала одна девушка в отзыве: ""Эта книга заменяет сотни книг по саморазвитию"".В то же время на этих страницах вы найдете много авторских наработок (другие бы растянули каждую из них на целую книгу), которые вы больше нигде не встретите.Книгу можно читать с любой страницы. Конечно, благодаря ей вы не станете за секунду богатым, знаменитым и успешным. Возможно, вы даже не узнаете ничего принципиально нового.Сила книги в том, что она незаметно вводит вас в состояние вдохновения, озарений и желания немедленно двигаться к реализации своих великих замыслов. Как написала одна читательница: ""Страницы запрограммированы на неминуемое поднятие настроения, ощущение собственной значимости и веры в свои силы"".Для кого эта книгаЭто книга для поклонников творчества Ларисы Парфентьевой и читателей ее первой книги.И для всех, кто хочет улучшить свою жизнь и стать счастливее.",5 600 тг,2,"Манн, Иванов и Фербер",2017 г.,9785001008767,288,Твердый,215 мм x 145 мм,450 г.,http://www.bookcity.kz/content/images/thumbs/5112628_1446027.jpeg
100 способов мотивации,Чандлер С.,"Авторы создали актуальное, удобное, вдохновляющее руководство для лидеров, менеджеров и профессионалов своего дела, а также для всех, кто к этому стремится. Книга обобщила в себе лучший опыт проведения семинаров, тренингов и коучинговых программ по лидерству и коммуникации, среди участников которых многие известные компании и организации. Для широкого круга читателей.",2 600 тг,4,Попурри,2014 г.,9789851522411,224,Мягкий,200 мм x 145 мм,220 г.,http://www.bookcity.kz/content/images/thumbs/5096801_1434812.jpeg
101 способ раскрутки личного бренда: Как сделать себе имя,Семенчук В.,"Вы отличный специалист, но клиенты почему-то не выстраиваются к вам в длинную очередь? Скорее всего, они просто не знают о том, каких высот достиг уровень вашего мастерства. Сегодня, чтобы преуспеть, уже мало быть экспертом в какой-либо сфере — нужно быть известным экспертом, человеком-брендом.В этой книге исследуются причины успеха самых востребованных и высокооплачиваемых профессионалов, каждый из которых стал лидером в своей области благодаря раскрутке личного бренда. Вы получите массу конкретных рекомендаций и узнаете, как сделать так, чтобы ваше имя было у всех на слуху.",4 900 тг,5,Альпина Паблишер,2019 г.,9785961462739,252,Твердый,215 мм x 145 мм,415 г.,http://www.bookcity.kz/content/images/thumbs/5097745_1435717.jpeg
