Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
13 способов ненавидеть,Гармаш-Роффе Т.В.,"...О, нет, это не просто ограбление! Это начало долгой цепочки странных и зловещих событий, - цепочки страшных загадок и головоломок. Частный детектив Алексей Кисанов должен решить их всего за месяц. Именно такой срок отвел ему маньяк по имени Бенедикт, на совести которого двенадцать смертей. И, если Кис не проявит редкостную сообразительность, если подведет интуиция, - то тринадцатой жертвой станет его любимая женщина, жена Александра... Окрыленный первыми успехами, Алексей, однако, вскоре понимает, что Бенедикт завел его в тупик. Нужно срочно найти правильное решение, и цена ему – жизнь Александры...",500 тг,5,Эксмо,2017 г.,9785040885831,320,Мягкий,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5121009_1453817.jpeg
13 способов ненавидеть,Гармаш-Роффе Т.В.,"...О, нет, это не просто ограбление! Это начало долгой цепочки странных и зловещих событий, - цепочки страшных загадок и головоломок. Частный детектив Алексей Кисанов должен решить их всего за месяц. Именно такой срок отвел ему маньяк по имени Бенедикт, на совести которого двенадцать смертей. И, если Кис не проявит редкостную сообразительность, если подведет интуиция, - то тринадцатой жертвой станет его любимая женщина, жена Александра... Окрыленный первыми успехами, Алексей, однако, вскоре понимает, что Бенедикт завел его в тупик. Нужно срочно найти правильное решение, и цена ему - жизнь Александры.",1 300 тг,1,Эксмо,2007 г.,9785699228881,352,Твердый,200 мм x 130 мм,344 г.,http://www.bookcity.kz/content/images/thumbs/5009690_1331453.jpeg
1793. История одного убийства,Натт-о- Даг Н.,"Лучший дебют 2017 по версии Шведской академии детективных писателей.Эта захватывающая, остроумная и невероятно красивая книга о темных временах жизни Стокгольма с лихо закрученным криминальным сюжетом и подробно описанным на основе исторических документов городским бытом XIII века прославила начинающего автора, потомка древнего дворянского рода Никласа Натт-о-Дага. Его книгу сравнивают с ""Парфюмером"" Патрика Зюскинда и романами Милорада Павича. ""1793"" стал бестселлером в Швеции, а через неделю после первой публикации – и во всем мире.Более лютой зимы, чем в 1793 году, в Стокгольме не бывало. Спустя четыре года после штурма Бастилии во Франции и более чем через год после смерти короля Густава III в Швеции паранойя и заговоры населяют улицы города. Животный ужас, растворенный в воздухе, закрадывается в каждый грязный закоулок, когда в воде находят обезображенное тело, а расследование вскрывает самые жуткие подробности потаенной жизни шведской элиты.",3 900 тг,5,Рипол Классик,2018 г.,9785386121969,Твердый,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5124206_1456866.jpeg
29 отравленных принцев,Степанова Т.Ю.,"Яд - довольно редкое орудие убийства. А тут Екатерина Петровской, сотруднице пресс-центра, пришлось столкнуться сразу с двумя случаями отравления. Следы ведут в экзотический восточный ресторан ""Аль-Магриб"". Подозреваемых много: продюсер и муж эстрадной звезды Авроры Гусаров, плейбой Симонов, шеф-повар Поляков... Но прямых улик нет, а убийца меж тем ""угощает"" ядом третью жертву. Когда Катя догадывается, кто же он - безжалостный отравитель, звать на помощь поздно - надо действовать, ведь в его руках - четвертая жертва...",1 400 тг,2,Эксмо,2019 г.,9785041003906,Мягкий,25 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131135_1463506.jpeg
4 любовника и подруга,Полякова Т.В.,"«Здесь находится человек, задумавший убийство!» — загробным голосом произнесла предсказательница Эсмеральда. А через час мы с подружкой Сонькой наткнулись на ее труп.  Вот так «весело» начался вечер, полностью изменивший мою жизнь. В тот же день я познакомилась с двумя потрясающими мужчинами.  Правда, «потрясали» они по-разному. Один оказался мерзавцем. Во второго я влюбилась. А наутро обнаружила в багажнике машины труп неизвестного. Кто-то жестоко пытал этого человека. Меня же мучила мысль: как он попал в мой багажник? И что мне теперь делать?..",2 000 тг,1,Эксмо,2009 г.,9785699335060,352,Твердый,200 мм x 130 мм,354 г.,http://www.bookcity.kz/content/images/thumbs/5021590_1343766.jpeg
"4 любовника и подруга. Одна, но пагубная страсть",Полякова Т.В.,"""4 любовника и подруга""  ""Здесь находится человек, задумавший убийство!"" - загробным голосом произнесла предсказательница Эсмеральда. А через час мы с подружкой Сонькой наткнулись на ее труп. Вот так ""весело"" начался вечер, полностью изменивший мою жизнь. В тот же день я познакомилась с двумя потрясающими мужчинами. Правда, ""потрясали"" они по-разному. Один оказался мерзавцем. Во второго я  влюбилась.  А на утро обнаружила в багажнике машины труп неизвестного…""Одна, но пагубная страсть""Как заманчиво чужими руками сейф обчистить! Нет, Вы плохо не подумайте! Наталья просто хотела отнять собственные деньги у коварного Димки Рыбакова – шефа и бывшего обоже, который усиленно делал вид, что запамятовал про должок. И Наташка уговорила лучших подруг восстановить справедливость, а сама, как главное заинтересованное лицо, улетела в Геленджик обеспечивать себе алиби. Вот так Ленка и Катя стали грабительницами…",1 500 тг,0,Эксмо,2017 г.,9785040898480,608,Мягкий,40 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120164_1452976.jpeg
419. Роман,Фергюсон У.,"Смерть отца в случайной автомобильной аварии буквально потрясла Лору Кертис. Но тщательное расследование показало, что авария не случайность, а хорошо спланированное убийство. В компьютере Генри Кертиса обнаружена странная переписка, и след корреспондента покойного ведет на другую сторону океана, на западный берег Африки. Лора поклялась, что найдет виновных, где бы они ни находились и что бы ей это ни стоило...",2 400 тг,0,Азбука-Аттикус,2015 г.,978538904693101,352,Твердый,200 мм x 130 мм,290 г.,http://www.bookcity.kz/content/images/thumbs/5038044_1360210.jpeg
7-е небо,Паттерсон Д.,"Сын бывшего губернатора Калифорнии, красавчик и любимец прессы Майкл Кэмпион, умер от сердечного приступа в постели элитной проститутки! Но все не так просто: полиции не удается найти останки Майкла, а ""ночная бабочка"" очень скоро отказывается от своих показаний. Так что же произошло с Майклом? Прокурор Юкки Кастеллано уверена: его убили. Но кто? Может быть, эксцентричный писатель, работающий над книгой о Майкле и упорно намекающий, что ему известно то, о чем не подозревает полиция? Охота за опасным преступником началась…",1 800 тг,0,АСТ,2012 г.,9785271413674,320,Твердый,200 мм x 130 мм,285 г.,http://www.bookcity.kz/content/images/thumbs/5081011_1419946.jpeg
8 - 9 - 8,Платова В.,"Почему девушки, которых ты по-настоящему любишь или хотел бы полюбить, бесследно исчезают в самый неподходящий момент? Исчезают, даже не сказав тебе ""прощай"", а ведь ты - неплохой парень. Милый, внимательный и все такое. Ты мог бы составить счастье любой - так почему же они уходят, стоит тебе полюбить? Все дело в тебе или в твоем прошлом? Или в том страшном человеке, о существовании которого ты всегда хотел забыть, но который все еще стоит у тебя за спиной...",1 800 тг,0,АСТ,2008 г.,9785170505173,480,Твердый,205 мм x 135 мм,484 г.,http://www.bookcity.kz/content/images/thumbs/5033549_1354830.jpeg
8-е признание,Паттерсон Д.,"Идеальное убийство возможно? На роскошном приеме в Сан-Франциско убиты богатые супруги. Но среди многочисленных гостей нет ни одного свидетеля! А криминалисты не могут определить, что послужило орудием убийства. Детектив Линдси Боксер начинает расследование и вскоре понимает: убийца только начал действовать. Но кто следующий в его списке? По какому принципу он выбирает жертвы? И главное, как ему удается совершать преступления, не оставляя ни единой улики?",1 800 тг,1,АСТ,2015 г.,9785271458460,320,Твердый,200 мм x 130 мм,285 г.,http://www.bookcity.kz/content/images/thumbs/5041897_1364065.jpeg
