Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
АБВГДЕйка: комплексная программа подготовки детей к школе,Калинина Т.В.,"Как подготовить детей к обучению в школе? В пособии предлагается программа ""АБВГДЕйка"", представляющая собой подбор оптимально допустимых технологий и методик, обеспечивающих наибольшую интеграцию познавательной и двигательной деятельности старших дошкольников. Программа включает конспекты групповых и индивидуальных занятий по формированию элементарных математических представлений, развитию речи, мышления, памяти, внимания, коммуникативных умений, воображения, воспитанию осознанного отношения к своему здоровью. Консультации родителей осуществляются в рамках программы ""Школа для родителей"". Пособие предназначено педагогам дошкольных учреждений, центров семейного воспитания, детского творчества, может быть полезно слушателям ИПК, студентам педагогических колледжей и вузов, родителям для занятий с детьми.",1 900 тг,0,Учитель,2012 г.,9785705747382,272,Мягкий,215 мм x 145 мм,195 г.,http://www.bookcity.kz/content/images/thumbs/5102235_1438746.jpeg
Безопасность на дороге. Плакаты для оформления родительского уголка. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта примерной общеобразовательной программы дошкольного образования ОТ РОЖДЕНИЯ ДО ШКОЛЫ под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. Пособие предназначено для использования при оформлении родительского уголка в ДОУ. Шестнадцать тематических картинок (по четыре картинки на каждое время года) демонстрируют наиболее распространенные ситуации, которые могут возникнуть на дороге, в общественном транспорте и пр. Картинки сопровождаются краткими пояснениями, адресованными родителям. Пособие будет полезно педагогам дошкольных учреждений и родителям.",2 200 тг,0,Мозаика-синтез,2017 г.,9785431504051,16,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102417_1438928.jpeg
Блюда и напитки,Неизвестно,Новая серия демонстрационных карточек для занятий с детьми в детском саду и дома. Каждая папка содержит высококачественные фотоиллюстрации на заданную тему.,1 700 тг,5,Ранок,9789666242573,9 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5006900_1328026.jpeg
"Вводим звуки Л, Ль в речь. Картотека заданий",Перегудова Т.,Неизвестно,1 900 тг,0,Каро,2012 г.,9785898157395,Мягкий,8 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5047763_1367375.jpeg
"Вводим звуки Ч, Щ в речь.К артотека заданий",Перегудова Т.,Неизвестно,1 600 тг,0,Каро,2006 г.,9795898157967,Мягкий,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5027510_1348725.jpeg
"Вводим звуки Ш, Ж в речь. Картотека заданий. Перегудова Т.С.",Перегудова Т.,"Пособие представляет собой систему карточек с заданиями для автоматизации звуков [Ш], [Ж] в речи детей. Оно может быть использовано и при развитии фонематического слуха дошкольников, помогает уточнить и расширить их словарный запас. Как известно, расширение артикуляторных возможностей и лексического запаса помогает ребятам усвоить также и грамматический строй родного языка, овладеть навыками словоизменения и словообразования. Речевой материал традиционно разделен в зависимости от позиции автоматизируемого звука в слове, предусматривает сложность слоговой структуры слов, а также наличие тех звуков, которые у детей не вызывают затруднений в произношении. В книге имеются карточки с цветными картинками, которые можно использовать для автоматизации звуков [Ш], [Ж] в самостоятельной речи. Детям можно предлагать различные задания с использованием цветных картинок. Внимательные родители могут использовать материал пособия для закрепления у своего ребенка...",2 300 тг,0,Каро,2015 г.,9785898157340,104,Мягкий,240 мм x 170 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5072570_1412043.jpeg
Говори правильно. Тетрадь по развитию речи для детей 3-4 лет,Ушакова О.,"Тетрадь по развитию речи разработана в полном соответствии с конспектами и позволяет педагогу ДОО организовать системные и эффективные занятия в младшей группе ДОО. 16 занятий в тетрадке - это 16 игр, которые понравятся не только воспитателям, но и родителям. Все занятия построены на материале детских сказок, стихов, загадок. Яркие картинки, пиктограммы и специальные пояснения для взрослых написаны легко, без использования педагогического сленга. Они направление на обогащение лексики малышей, решают задачу высвобождения речи, закладывают основы вербального общения.",1 800 тг,0,Бином,2018 г.,9785996336586,Мягкий,4 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130324_1462710.jpeg
Говори правильно. Тетрадь по развитию речи для детей 4-5 лет,Ушакова О.,"Тетрадь по развитию речи разработана в полном соответствии с конспектами и позволяет педагогу ДОО организовать системные и эффективные занятия в младшей группе ДОО. 16 занятий в тетрадке - это 16 игр, которые понравятся не только воспитателям, но и родителям. Все занятия построены на материале детских сказок, стихов, загадок. Яркие картинки, пиктограммы и специальные пояснения для взрослых написаны легко, без использования педагогического сленга. Они направлены на обогащение лексики малышей, решают задачу высвобождения речи, закладывают основы вербального общения. Планируется выход 4-х тетрадей на каждую возрастную группу. Тетрадь предназначена для занятий в детском саду и дома с младшими дошкольникам — детьми 4–5 лет. Тетрадь выходит в комплекте с конспектами занятий.",1 800 тг,0,Бином,2018 г.,9785996339570,Мягкий,4 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130325_1462711.jpeg
Говори правильно. Тетрадь по развитию речи для детей 5-6 лет,Ушакова О.,"Тетрадь по развитию речи позволяет педагогу организовать системные и эффективные занятия в подготовительной группе детского сада. 16 занятий в тетрадке - это 16 игр, которые понравятся не только воспитателям, но и родителям. Все занятия построены на материале детских сказок, стихов, загадок. Яркие картинки, пиктограммы и специальные пояснения для взрослых написаны легко, без использования научной терминологии. Задания направлены на обогащение лексики малышей, решают задачу высвобождения речи, закладывают основы вербального общения. Выпущено 4 тетради на каждую возрастную группу. Тетрадь предназначена для занятий в детском саду и дома с детьми 5-6 лет. Выходит в комплекте с конспектами занятий.",1 800 тг,0,Бином,2018 г.,9785996340842,Мягкий,3 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130251_1462638.jpeg
Говорящий логопед. от 3 - 5 лет. CD,Неизвестно,Неизвестно,1 300 тг,0,Би Смарт,4607058375737,9 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5079878_1415054.jpeg
Детские олимпийские игры: занятия с детьми 2-7 лет,Соколова Л.А.,"В пособии предложен опыт организации освоения содержания образовательных областей ""Здоровье"", ""Физическая культура"" и культурно-досуговой деятельности детей 2-7 лет, основанный на использовании тематических мероприятий в рамках знаменательного спортивного события - Олимпийских игр, направленный на формирование интереса и ценностного отношения к занятиям физической культурой, гармоничное физическое развитие. Представленная модель позволит педагогам продуктивно реализовать спортивно-оздоровительное, познавательное, игровое направления деятельности дошкольников в соответствии с ФГТ и ФГОС ДО, обеспечить эффективное достижение образовательных и воспитательных результатов. Предназначено воспитателям, инструкторам по физической культуре дошкольных образовательных учреждений, педагогам дополнительного образования полезно всем организаторам детского спортивно-оздоровительного досуга.",500 тг,0,Учитель,2015 г.,9785705734665,80,Мягкий,200 мм x 145 мм,205 г.,http://www.bookcity.kz/content/images/thumbs/5102306_1438817.jpeg
Детский сад по системе Монтессори. Группа 0-3 года. Методические рекомендации,Хилтунен Е.А.,"Образовательная программа ""Детский сад по системе Монтессори"" создана на основе педагогической системы известного педагога и психолога Марии Монтессори в соответствии с Федеральным государственным образовательным стандартом дошкольного образования. Сохранив в полной мере ее концептуальные основы, Программа вобрала в себя новейшие достижения педагогической и психологической науки, а также опыт современных отечественных и зарубежных монтессори-педагогов. Ярко выраженная гуманистическая направленность системы, социо-конструктивистский подход к образованию ребенка, концепция свободного развития в подготовленной предметно-пространственной среде, положенные в ее основу, в точности отражают принципы современного дошкольного образования. Опыт тысяч детских садов, реализующих систему Монтессори в России, растущая система подготовки монтессори-педагогов, а также налаженное производство монтессори-материалов обеспечат качественную многостороннюю поддержку при внедрении Программы в...",5 800 тг,0,Национальное образование,2016 г.,9785445405801,96,Мягкий,290 мм x 205 мм,215 г.,http://www.bookcity.kz/content/images/thumbs/5096713_1434730.jpeg
Детское творчество. Аппликация с детьми 3-4 лет,Колдина Д.,"В пособии представлены сценарии увлекательных занятий с детьми 3-4 лет по аппликации из цветной бумаги, салфеток, журнальных страниц и засушенных листьев. Занятия способствуют воспитанию чувства прекрасного развитию эмоциональной отзывчивости, воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию умений и навыков в аппликации. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431506819,72,Мягкий,200 мм x 145 мм,135 г.,http://www.bookcity.kz/content/images/thumbs/5073413_1412762.jpeg
Детское творчество. Аппликация с детьми 4-5 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 4-5 лет по аппликации из цветной бумаги, салфеток, журнальных страниц, засушенных листьев и др. Занятия способствуют воспитанию чувства прекрасного развитию эмоциональной отзывчивости, воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию умений и навыков в аппликации. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431507533,72,Мягкий,200 мм x 145 мм,135 г.,http://www.bookcity.kz/content/images/thumbs/5102360_1438871.jpeg
Детское творчество. Аппликация с детьми 5-6 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 5-6 лет по аппликации из цветной бумаги, салфеток, журнальных страниц и засушенных листьев. Занятия способствуют воспитанию чувства прекрасного развитию эмоциональной отзывчивости, воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию умений и навыков в аппликации. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431507540,72,Мягкий,200 мм x 145 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5102357_1438868.jpeg
Детское творчество. Аппликация с детьми 6-7 лет,Неизвестно,"В пособии «Аппликация с детьми» серии «Детское творчество» представлены сценарии увлекательных занятий с детьми 6-7 лет по аппликации из цветной бумаги, салфеток, журнальных страниц и засушенных листьев. Занятия способствуют воспитанию чувства прекрасного. развитию эмоциональной отзывчивости, воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца. формированию умений и навыков в аппликации. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 600 тг,0,Мозаика-синтез,2016 г.,9785431507526,96,Мягкий,200 мм x 140 мм,100 г.,http://www.bookcity.kz/content/images/thumbs/5102363_1438874.jpeg
Детское творчество. Лепка из соленого теста с детьми 3-4 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 3-4 лет по лепке из соленого теста, популярность которых не уступает традиционным способам лепки из пластилина и глины. Занятия способствуют развитию воображения, трудолюбия, аккуратности и творческих способностей малыша, формированию эстетических чувств и навыков лепки. Книга подходит как для групповых, так и индивидуальных занятий в детском саду и дома.",2 300 тг,0,Мозаика-синтез,2017 г.,9785431510953,72,Мягкий,200 мм x 145 мм,135 г.,http://www.bookcity.kz/content/images/thumbs/5102362_1438873.jpeg
Детское творчество. Лепка с детьми 2-3 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 2-3 лет по лепке из глины и пластилина. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию навыков лепки. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",1 900 тг,0,Мозаика-синтез,2016 г.,9785431506833,56,Мягкий,200 мм x 145 мм,115 г.,http://www.bookcity.kz/content/images/thumbs/5109452_1438878.jpeg
Детское творчество. Лепка с детьми 3-4 лет,Колдина Д.,"В пособии представлены сценарии увлекательных занятий с детьми 3-4 лет по лепке из глины и пластилина в сочетании с разнообразными материалами. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию умений и навыков в лепке. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2015 г.,9785431506840,72,Мягкий,200 мм x 145 мм,135 г.,http://www.bookcity.kz/content/images/thumbs/5073331_1412678.jpeg
