"Название","Автор","Цена","Описание","Издательство","Год издания","Штрих-код","Количество страниц","Переплет","Размер","Толщина","Вес","Картина"
"10 легенд о Робин Гуде. 10 legendary tales about Robin Hood","Акимова О.В.","Пособие по аналитическому чтению и аудированию предназначено для учеников 7-8 классов школ с углублённым изучением английского языка.  В книге даны тексты для чтения, анализа и аудирования. Задания к ним направлены на развитие навыков детального понимания письменной и устной речи, анализ прочитанного и прослушанного материала, умение грамотно переводить художественный текст. Обилие творческих заданий призвано помочь школьникам преодолеть трудности, возникающие при общении на английском языке, выражать свое мнение, логически мыслить и фантазировать.","3 200 тг","0","Каро","2018 г.","9785992502220","176","Мягкий","215 мм x 170 мм","210 г.","http://www.bookcity.kz/content/images/thumbs/5046713_1366433.jpeg"
"10 поучительных историй Энид Блайтон","Акимова О.В.","Пособие по аналитическому чтению и аудированию предназначено для учеников 5-6 классов школ с углубленным изучением английского языка. В книге представлены тексты для чтения и прослушивания, разнообразные упражнения на анализ текста, развитие навыков устной речи, расширение словарного запаса. Рассказы известной английской писательницы Энид Блайтон отличаются простым языком, понятными детям образами и интересными поворотами сюжета. Пособие поможет учащимся научиться воспринимать на слух английскую речь, детально понимать прочитанный и услышанный материал, выражать свое мнение и вести дискуссию на английском языке.","2 700 тг","0","Каро","2018 г.","9785992501742","128","Мягкий","215 мм x 170 мм","161 г.","http://www.bookcity.kz/content/images/thumbs/5123689_1456394.jpeg"
"100 китайских идиом и  устойчивых выражений","Биньюн И.","Идиомы - устойчивые выражения - являются неотъемлемой частью любого языка. Знание их помогает лучше понимать культуру страны изучаемого языка, специфику менталитета его носителей. В настоящий сборник вошли наиболее распространенные китайские идиомы, часто встречающиеся в книгах классиков китайской литературы. Приведено их подробное толкование и объяснение, в каких ситуациях употребление той или иной идиомы наиболее уместно. Издание снабжено оригинальными иллюстрациями. Книга подготовлена уникальным специалистом по китайскому языку Н.А.Спешневым. Предназначено для студентов восточных факультетов университетов и всех, интересующихся китайским языком и культурой.","3 800 тг","3","Каро","2007 г.","9785898159009","208","Мягкий","10 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5052958_1396260.jpeg"
"100%  Французский. Продвинутый уровень. CD","Неизвестно","Будет полезна тем, кто самостоятельно изучает французский язык. Данный курс состоит из текстового материала и более 9 часов аудиозаписи на 8 аудио компакт-дисках или кассетах, где записаны не только диалоги на французском (с переводом на русский язык), но и многочисленные упражнения по различным темам. Мы рекомендуем использовать комплект, однако, если вы уверены в своем произношении, то можете использовать данное пособие и отдельно. Курс поможет улучшить навыки разговорной речи, понимания, чтения и написания французских идиоматических выражений. Программа познакомит вас со многими интересными аспектами французской культуры и деловой жизни. Вы научитесь...","10 000 тг","0","Дельта Паблишинг","2004 г.","9785946190817","496","Мягкий","215 мм x 145 мм","1510 г.","http://www.bookcity.kz/content/images/thumbs/5019341_1340288.jpeg"
"1000 основных иероглифов японского языка","Надежкина Н.В.","В книгу вошли иероглифы, отобранные автором из наиболее часто встречающихся в японской прессе, из списка, утвержденного Министерством образования Японии для школьников и из теста на знание японского языка для иностранцев, желающих получить разрешение на работу в Японии. Иероглифы систематизированы по ключам (в порядке возрастания), каждая статья содержит примеры и рукописный образец иероглифа с цифрами, указывающими порядок начертания.Издание предназначено для всех, кто начал или продолжает изучение японского языка.","5 600 тг","4","АСТ","2018 г.","9785171045241","320","Мягкий","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5115038_1448042.jpeg"
"16 уроков Английского языка. Начальный курс + 2 DVD ""Английский язык за 16 часов""","Петров Д.Ю.","Данное издание представляет собой начальный курс английского языка, разработанный Дмитрием Петровым. В печатной версии курса даны упражнения, основные правила произношения и сведения о глаголах. С помощью шестнадцати уроков по методике Дмитрия Петрова вы сможете освоить базовые алгоритмы языка, применить их на практике и довести до автоматизма. ""Свобода прежде правильности: сначала нужно научиться говорить на иностранном языке, а потом - научиться правильно говорить"" - убежден Дмитрий Петров. Книга содержит 2 DVD программы ""Полиглот. Английский язык за 16 часов"", которые помогут закрепить пройденный материал и начать уверенно общаться на английском языке. Начните говорить на английском прямо сейчас! Начните говорить на английском прямо сейчас!","5 800 тг","5","Эксмо","2019 г.","9785699767090","224","Твердый","200 мм x 130 мм","345 г.","http://www.bookcity.kz/content/images/thumbs/5050022_1393603.jpeg"
"16 уроков Итальянского языка. Начальный курс","Неизвестно","Начальный курс итальянского языка разработан по материалам популярной образовательной программы ""Полиглот"", выходившей на телеканале ""Культура"". В печатной версии курса даны упражнения, основные правила произношения и сведения о глаголах. С помощью шестнадцати уроков по методике Дмитрия Петрова вы сможете освоить базовые алгоритмы языка, применить их на практике и довести до автоматизма. В помощь тем, кто занимается самостоятельно, предлагается полный сборник ключей, т.е. выполненных упражнений. Теперь читатели смогут проверить, правильно ли они усвоили грамматические правила, и внести необходимые коррективы в процесс изучения языка.","3 300 тг","1","Эксмо","2019 г.","9785041019402","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5130784_1463160.jpeg"
"16 уроков Китайского языка. Начальный курс","Неизвестно","Начальный курс китайского языка разработан по материалам популярной образовательной программы ""Полиглот"", выходившей на телеканале ""Культура"". В печатной версии курса даны упражнения, основные правила произношения и сведения о глаголах. С помощью шестнадцати уроков по методике Дмитрия Петрова вы сможете освоить базовые алгоритмы языка, применить их на практике и довести до автоматизма. В помощь тем, кто занимается самостоятельно, предлагается полный сборник ключей, т.е. выполненных упражнений. Теперь читатели смогут проверить, правильно ли они усвоили грамматические правила, и внести необходимые коррективы в процесс изучения языка. Начните говорить на китайском прямо сейчас!","3 400 тг","0","Эксмо","2019 г.","9785041044268","Мягкий","21 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5133539_1465553.jpeg"
"16 уроков Немецкого языка. Начальный курс","Неизвестно","Начальный курс немецкого языка разработан по материалам популярной образовательной программы ""Полиглот"", выходившей на телеканале ""Культура"". В печатной версии курса даны упражнения, основные правила произношения и сведения о глаголах. С помощью шестнадцати уроков по методике Дмитрия Петрова вы сможете освоить базовые алгоритмы языка, применить их на практике и довести до автоматизма. В помощь тем, кто занимается самостоятельно, предлагается полный сборник ключей, т.е. выполненных упражнений. Теперь читатели смогут проверить, правильно ли они усвоили грамматические правила, и внести необходимые коррективы в процесс изучения языка.","3 400 тг","0","Эксмо","2019 г.","9785041030643","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5132386_1464734.jpeg"
"16 уроков Французского языка. Начальный курс","Петров Д.Ю.","Данное издание представляет собой начальный курс французского языка, разработанный Дмитрием Петровым. В печатной версии курса даны упражнения,основные правила произношения и сведения о глаголах. С помощью шестнадцати уроков по методике Дмитрия Петрова вы сможете освоить базовые алгоритмы языка, применить их на практике и довести до автоматизма. В помощь тем, кто занимается самостоятельно, предлагается полный сборник ключей, т.е. выполненных упражнений. Теперь читатели смогут проверить, правильно ли они усвоили грамматические правила, и внести необходимые коррективы в процесс изучения языка. ""Свобода прежде правильности: сначала нужно научиться говорить на иностранном языке, а потом – научиться правильно говорить"" - убежден Дмитрий Петров. Начните говорить на французском прямо сейчас!","3 000 тг","0","Эксмо","2019 г.","9785041007331","Мягкий","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5129358_1461815.jpeg"
"1800 основных иероглифов корейского языка","Касаткина И.Л., Чун Ин Сун, Погадаева А.В.","В настоящее издание вошли 1800 иероглифов, обязательные для изучения в Республике Корея. Эти иероглифы часто используются в прессе и художественной литературе и входят в современный иероглифический минимум, утвержденный Министерством образования Республики Корея.Иероглифы систематизированы по ключам в порядке возрастания, каждая статья содержит изображение иероглифа, его чтение, значения а также распространенные словосочетания с этим иероглифом.Издание предназначено для начинающих и продолжающих изучение корейского языка.","5 600 тг","4","АСТ","2018 г.","9785171085131","320","Мягкий","290 мм x 205 мм","545 г.","http://www.bookcity.kz/content/images/thumbs/5122877_1455614.jpeg"
"20 тем для свободного общения. 20 Topics for Free Conversation","Павлоцкий В.М.","Пособие включает двадцать тем-эссе, построенных на современных аутентичных текстах. Их тематика, а также система заданий к ним позволяют научить читателей рассмотрению темы, ее обсуждению, доказательству своей точки зрения.       Предназначено для использования в выпускных классах гимназий и школ с углубленным изучением английского языка.","2 300 тг","3","Каро","2017 г.","9785992506891","160","Мягкий","200 мм x 130 мм","153 г.","http://www.bookcity.kz/content/images/thumbs/5116647_1449580.jpeg"
"20 устных тем по французскому языку для школьников","Иванченко А.И.","Настоящее учебное пособие предназначено для учащихся средних классов (6-9) общеобразовательных школ, в которых французский язык не является профилирующим предметом. Книга рассчитана на начальный этап обучения устной речи, тем не менее, предполагает сформированность у школьников базовых лексико-грамматических умений. .Пособие содержит 20 глав, посвященных повседневной тематике. Главы объединены сквозным персонажем, от лица которого составлены тексты, но при этом главы не взаимосвязаны, что допускает свободный порядок их изучения. .Прослушивание аудиозаписи, сделанной носителем языка, поможет освоить правильное французское произношение и интонацию, разовьет восприятие речи на слух. .2-е издание, исправленное и переработанное. .","2 400 тг","2","Каро","2018 г.","9785992512823","Мягкий","10 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5119529_1452026.jpeg"
"20,000 LEAGUES  UNDER the SEA","Jules Verne","Неизвестно","2 800 тг","3","Express publishing","2015 г.","9781843257561","Мягкий","3 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127544_1460040.jpeg"
"20,000 Leagues Under The Sea + CD","Неизвестно","This is the story of Captain Nemo and his submarine, the Nautilus. One day, Nemo finds three men in the sea. For months the men live on the Nautilus. They find a town on the sea floor, beautiful coasts and a lot of gold. But they want to go home. Can they escape from Nemo's submarine?","2 600 тг","2","Pearson Education Limited","2015 г.","9781405877992","32","Мягкий","195 мм x 135 мм","65 г.","http://www.bookcity.kz/content/images/thumbs/5056107_1398505.jpeg"
