1356. Великая битва,Корнуэлл Б.,Неизвестно,4 300 тг,5,Азбука-Аттикус,2018 г.,9785389132672,480,Твердый,210 мм x 150 мм,530 г.,http://www.bookcity.kz/content/images/thumbs/5121446_1454237.jpeg
14 декабря,Мережковский Д.С.,"Роман ""14 декабря"" Дмитрия Мережковского продолжает трилогию ""Царство Зверя"". Произведение посвящено восстанию декабристов 14 декабря 1825 года, которым печально ознаменовалось начало царствования императора Николая I.",2 100 тг,0,Комсомольская правда,2015 г.,4607071489534,384,Твердый,200 мм x 130 мм,435 г.,http://www.bookcity.kz/content/images/thumbs/5098739_1436682.jpeg
1814,Миропольский Д.,"Самому старшему из них 18 лет, самому младшему - 14.  Пройдет время, и они навсегда войдут в историю: Горчаков станет канцлером Российской Империи, Пушкин - гениальным поэтом, Пущин и Кюхельбекер - декабристами...  Но сейчас на дворе 1814 год, и будущие великие учатся в Лицее, закрытой элитной школе при императорском дворе Александра Первого... Одна за другой страшной смертью умирают женщины, с которыми знакомятся лицеисты. Звериная жестокость убийцы и непонятное орудие, которым он наносит раны, вселяют ужас в сердца жителей фешенебельного столичного пригорода. Граф Аракчеев требует скорейшей поимки Царскосельского Душегубца. Подозрение следователя падает на юношей, таинственного врача Пешеля, графа Толстого... Случайно узнав, кто скрывается под маской злодея, лицеисты оказываются в смертельной опасности...",1 300 тг,0,АСТ,2008 г.,9785170496648,320,200 мм x 130 мм,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5019895_1340922.jpeg
1916/война и мир,Миропольский Д.,"?Невероятно жаркое лето 1912 года.Начинающий поэт Владимир Маяковский впервые приезжает в Петербург и окунается в жизнь богемы. Столичное общество строит козни против сибирского крестьянина Григория Распутина, которого приблизил к себе император Николай Второй. Европейские разведки плетут интриги и готовятся к большой войне, близость которой понимают немногие. Светская публика увлеченно наблюдает за первым выступлением спортсменов сборной России на Олимпийских играх. Адольф Гитлер пишет картины, Владимир Ульянов - стихи…Небывало холодная зима 1916 года.Разгар мировой бойни. Пролиты реки крови, рушатся огромные империи. Владимира Маяковского призывают в армию. Его судьба причудливо переплетается с судьбами великого князя Дмитрия Павловича, князя Феликса Юсупова, думского депутата Владимира Пуришкевича и других участников убийства Распутина.",4 000 тг,0,АСТ,2018 г.,9785171080587,480,Твердый,240 мм x 170 мм,501 г.,http://www.bookcity.kz/content/images/thumbs/5122622_1455362.jpeg
American'ец,Миропольский Д.,"Виртуозный карточный шулер, блестящий стрелок и непревзойдённый фехтовальщик, он с оружием в руках защищал Отечество и собственную честь, бывал разжалован и отчаянной храбростью возвращал себе чины с наградами. Он раскланивался с публикой из театральной ложи, когда со сцены о нём говорили: ""Ночной разбойник, дуэлист, / В Камчатку сослан был, вернулся алеутом, / И крепко на руку не чист /Да умный человек не может быть не плутом"". Он обманом участвовал в первом русском кругосветном плавании, прославился как воин и покоритель женских сердец на трёх континентах, изумлял современников татуировкой и прошёл всю Россию с востока на запад. Он был потомком старинного дворянского рода и лучшим охотником в племени дикарей, он был прототипом книжных героев и героем салонных сплетен - знаменитый авантюрист граф Фёдор Иванович Толстой по прозванию Американец.",3 600 тг,4,АСТ,2018 г.,9785171080655,320,Твердый,240 мм x 170 мм,570 г.,http://www.bookcity.kz/content/images/thumbs/5122623_1455363.jpeg
Авантюристы. Морские бродяги. Золотая Кастилия,Эмар Г.,"С дальними странами, морской стихией, индейцами, золотыми приисками и прочими атрибутами приключенческой литературы французский писатель Гюстав Эмар (1818 – 1883) познакомился вовсе не в библиотеке. Еще мальчишкой, он сбежал из дому и устроился юнгой на корабль, стремясь во что бы то ни стало добраться до «страны чудес» - Америки. Двадцать лет странствий позволили будущему писателю впрок запастись захватывающими сюжетами. В трех романах из знаменитого цикла «Короли океана» «Авантюристы», «Морские бродяги» и «Золотая Кастилия» с удивительной яркостью воплотился сам дух приключений: атмосфера свободы, битвы на земле и на море, захватывающие любовные истории, гордые и благородные герои – пираты, авантюристы, безжалостные к врагам, но честные и справедливые. В книге воспроизводятся иллюстрации, сделанные французскими художниками к первым изданиям романов Эмара.",4 700 тг,4,Азбука-Аттикус,2017 г.,9785389127623,704,Твердый,36 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5103769_1440204.jpeg
Авария Джоржа Гарриса,Насибов А.А.,"1945 год. Вот-вот закончится самая жестокая и страшная война в истории. Советские и американские войска подавляют последние очаги сопротивления гитлеровцев. Для согласования действий в штаб советской группировки вылетает уполномоченный американского генштаба полковник Гаррис. Однако германским ПВО удается сбить его самолет, и теперь судьба полковника зависит от того, кто успеет раньше - немцы или русские?..",1 300 тг,0,Вече,2011 г.,9785953355001,304,200 мм x 130 мм,24 мм,"

                                                Авария Джорджа Гарриса, Рифы, Где ты был, Одиссей?",http://www.bookcity.kz/content/images/thumbs/5059915_1361231.jpeg
Агент абвера,Владимиров В.,"Это была безмолвная, ожесточенная схватка, в результате которой перестала существовать одна из самых мощных разведшкол Третьего рейха - ""Абверштелле-Остланд"". О ходе операции и ее результатах знали лишь непосредственные начальники капитана Николая Никулина. Его настоящее имя - Мокий Демьянович Каращенко. И после войны никто из окружающих ни соседи, ни даже родные и близкие - не знали и не догадывались о совершенном им подвиге.",2 000 тг,0,Вече,2016 г.,9785444452035,288,Твердый,200 мм x 130 мм,245 г.,http://www.bookcity.kz/content/images/thumbs/5099365_1434267.jpeg
Агент из Версаля,Бутенко В.П.,"1775 год. Екатерина Великая только что победоносно завершила войну с Портой и усмирила бунт Емельяна Пугачева. Но в Запорожской Сечи зреет новый мятеж, который готовит кошевой атаман со своими турецкими и крымскими союзниками. Неспокойно и в Европе: обострились отношения между Францией и Англией с началом борьбы Соединенных Штатов за независимость. Особая миссия выпала на долю русского агента Александра Зодича, действующего в Париже и других странах под именем барона де Вердена. Его отвага и рассудительность помогли спасти жизнь русскому полководцу графу Орлову-Чесменскому, бескровно решить вопрос о роспуске запорожских Козаков и усилить позиции родной державы в Крымском ханстве и в Польше. Но великий французский драматург Бомарше заподозрил, что имеет дело с российским конфидентом. И Зодичу остается идти только ва-банк!..",2 000 тг,1,Вече,2015 г.,9785444433683,256,Твердый,200 мм x 130 мм,235 г.,http://www.bookcity.kz/content/images/thumbs/5082011_1420714.jpeg
Адская Бездна,Дюма А.,"18 мая 1810 года. Ночь в горах Оденвальда. Бушует буря, надвигается гроза. Двое всадников блуждают во тьме. Это Фауст и Мефистофель. Или кто-то, похожий на них. 11 мая 1812 года. Император Наполеон прибывает в Майнц. Он готовит смотр своей Великой армии перед походом на Москву. Как эти события и люди могут быть связаны и что за страшная пропасть разверзлась на их пути? В очередной том иллюстрированного собрания сочинений Александра Дюма входит роман ""Адская Бездна"" - первый из дилогии об адептах тайного общества Тугендбунд.",2 800 тг,2,Вече,2018 г.,9785448405853,Твердый,28 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127335_1459825.jpeg
Адское ущелье,Буссенар Л.,"1885 год, Северная Америка. Хелл-Гэп (""Адское ущелье""), подходящее местечко для тех, кто хотел бы залечь на дно, скрываясь от правосудия, переживает ""тяжелые времена"". С тех пор как на близлежащей территории нашли золото, в этот неприметный городок хлынул поток старателей, а с ними пришел и закон. Чтобы навести порядок, шериф и ею помощники готовы действовать жестко и решительно. Телеграфный столб и петля на шею - метод, конечно, впечатляющий, но старожилы Хелл-Гэпа - люди не робкого десятка.В очередной том Луи Буссенара входит дилогия с элементами вестерна - ""Адское ущелье"" и ""Канадские охотники"". На страницах этих романов, рассказывающих о северной природе и нравах Америки, читателя ждет новая встреча с одним из героев книги ""Из Парижа в Бразилию по суше"".",2 200 тг,0,Вече,2017 г.,9785444460689,448,Твердый,200 мм x 130 мм,405 г.,http://www.bookcity.kz/content/images/thumbs/5117934_1450836.jpeg
Азенкур,Корнуэлл Б.,"Битва при Азенкуре - один из поворотных моментов в ходе Столетней войны между Англией и Францией. Изнуренная долгим походом, голодом и болезнями английская армия по меньшей мере в пять раз уступала численностью противнику. Французы твердо намеревались остановить войско Генриха V на подходах к Кале и превосходством сил истребить захватчиков. Но исход сражения был непредсказуем - победы воистину достигаются не числом, а умением. В центре неравной схватки оказывается простой английский лучник Николас Хук, готовый сражаться за своего короля до последнего. Только благодаря воинскому искусству, дисциплине и личной доблести таких солдат добываются самые блестящие победы в истории. Этот захватывающий роман о войне - великолепная литературная реконструкция, одно из лучших творений Бернарда Корнуэлла, автора признанных мировых бестселлеров цикла «Саксонские хроники», романов о стрелке Ричарде Шарпе и многих других книг.",4 600 тг,2,Азбука-Аттикус,2018 г.,978538913840701,480,Твердый,30 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116041_1448992.jpeg
Айвенго,Скотт В.,"Вальтер Скотт - один из величайших писателей мировой литературы, историк, воскресивший давно прошедшие эпохи, и знаток человеческих сердец. По мотивам его романов художники создавали картины, композиторы - оперы. ""Читаю Вальтер Скотта и Библию"", - писал Пушкин жене из Болдина (речь, кстати, шла о представленном в настоящем издании романе ""Айвенго"", во французском переводе). Белинский называл В.Скотта ""Колумбом в сфере искусства"". ""Шекспиром и Гомером"" исторического романа. Своим учителем считал писателя Бальзак. ""Айвенго"" - ключевое произведение в цикле романов В.Скотта, которые переносят нас в средневековую Англию. Юному рыцарю Айвенго, тайком вернувшемуся из Крестового похода на родину и волей отца лишенному наследства, предстоит отстоять свою честь и любовь прекрасной леди Ровены... На помощь ему придут король Ричард Львиное Сердце и легендарный разбойник Робин Гуд.",1 500 тг,5,Азбука-Аттикус,2016 г.,978538910946903,592,Твердый,200 мм x 130 мм,420 г.,http://www.bookcity.kz/content/images/thumbs/5083012_1422148.jpeg
Айша. Возвращение Айши. Дочь Мудрости,Хаггард Г.Р.,"Генри Райдер Хаггард принадлежит к писателям так называемого апофеозного романтизма с его особой этикой, подразумевающей духовное и эмоциональное обновление человека. Возможно, именно этого так не хватает нашему прагматичному веку, и потому книгами Хаггарда, увидевшими свет на рубеже XIX–XX столетий, зачитываются миллионы наших современников во всем мире. Автору знаменитых приключенческих романов, таких как ""Копи царя Соломона"", ""Аллан Квотермейн"", ""Дитя из слоновой кости"", ""Священный цветок"", не чужда была и тема вечной женственности, бессмертной неувядающей красоты, которой он посвятил мистическую трилогию об Айше - Той, чье слово закон, непредсказуемой, прекрасной, обреченной на вечное одиночество...В свой двадцать пятый день рождения Лео Винси, согласно завещанию отца, должен открыть оставленный им загадочный ларец. В нем находятся древние свитки, черепок керамики и письмо, в котором говорится о многовековой тайне предков Винси. Разгадка кроется в дебрях Восточной Африки, куда и направляется Лео в компании профессора Хорейса Холли. Они попадают в плен к туземцам, которыми правит таинственная королева Айша. ""Если верить молве, Она бессмертна и обладает властью над всем сущим""…В том вошли романы ""Айша"", ""Возвращение Айши"", ""Дочь Мудрости"" (переводится на русский язык впервые). Книга иллюстрирована великолепными классическими рисунками Мориса Грайфенхагена и Чарльза Керра.",5 000 тг,4,Азбука-Аттикус,2018 г.,978538911829401,880,Твердый,44 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122701_1455439.jpeg
