"""Вечный"" Ли-2 - дальний бомбардировщик, военно-транспортный и десантный самолет",Маслов М.А.,"На этом легендарном самолете 9 мая 1945 года были доставлены в Москву Знамя Победы и Акт о капитуляции Германии. Этот авиа-шедевр, выпускавшийся в СССР по американской лицензии и прозванный ""Дугласом"", оказался одним из самых универсальных и полезных самолетов Великой Отечественной. Изначально закупленный для Гражданского воздушного флота, в годы войны Ли-2 широко применялся не только как военный транспортник (по всем статьям превосходивший немецкий Ju.52), но и как ночной бомбардировщик в составе Авиации Дальнего Действия, и для высадки парашютных десантов, и как буксировщик планеров и целых ""планерных поездов"", и как воздушный тральщик, и для заброски за линию фронта диверсионных групп, и для снабжения партизанских отрядов в глубоком тылу противника. Недорогой, неприхотливый и надежный (недаром его величали ""вечным Дугласом""), Ли-2 был буквально вездесущ - эти самолеты на бреющем прорывались в блокированный Ленинград и осажденный Севастополь, бомбили Кенигсберг, Хельсинки и...",8 300 тг,0,Эксмо,2015 г.,9785699827374,144,Твердый,290 мм x 205 мм,515 г.,http://www.bookcity.kz/content/images/thumbs/5091434_1429393.jpeg
"""Зимняя война"".Работа над ошибками…",Неизвестно,"В настоящий сборник включены документы, раскрывающие процесс выработки рекомендаций по вопросам совершенствования Красной Армии на основе опыта советско-финляндской войны 1939-1940 гг. В сборнике публикуются предложения всех специализированных комиссий и подкомиссий Главного военного совета Красной Армии, созданных после совещания в Кремле 14-17 апреля 1940 г. для обобщения опыта ""зимней войны"", а также стенограммы, протокольные записи и протоколы заседаний комиссии Главного военного совета, на которых рассматривались вопросы вооружения Красной Армии, организации войсковых учений и маневров, военной идеологии. Проведенная с учетом опыта ""зимней войны"" работа в Красной Армии непосредственно сказалась на ее состоянии перед другой войной, начавшейся 22 июня 1941 г. В связи с этим публикуемые впервые документы сборника значительно расширяют источниковую базу научных исследований как по истории ""зимней войны"", так и по предыстории Великой Отечественной войны 1941-1945 гг.    Книга рассчитана на специалистов - исследователей отечественной истории и на широкий круг читателей.",6 050 тг,0,Летний сад,2014 г.,9795943811349,560,Твердый,240 мм x 170 мм,945 г.,http://www.bookcity.kz/content/images/thumbs/5081083_1420016.jpeg
"""Летающие танки"" Ильюшина. Наследники Ил-2",Растренин О.,"Опыт Великой Отечественной войны показал, что фактически главной ударной силой Вооруженных сил Красной армии была штурмовая авиация. Безусловно, ОКБ С.В. Ильюшина, дав стране легендарный бронированный штурмовик Ил-2, внесло громадный вклад в Победу над фашистской Германией. Немецкие солдаты называли его ""черной смертью"", а советские бойцы - ""горбатым"" (""всю войну на своем горбу вынес""). На исходе войны в бой с врагом вступил новый бронированный штурмовик с лучшими летными данными - Ил-10. Еще до окончания войны Ильюшин развернул работы по созданию новых бронированных машин. Улучшить летно-боевые данные предполагалось как за счет использования новых силовых установок, так и внедрения оригинальных компоновочных решений. Помимо массовых Ил-2 и Ил-10, были построены и испытывались образцы штурмовых самолетов Ил-8, Ил-16, Ил-20 и Ил-40. Но вскоре производство было остановлено. Какие же недостатки выявило массовое применение штурмового самолета Ил-2 на фронтах войны? Почему Военно-Воздушные силы нашей страны на протяжении более трех десятилетий вплоть до появления Су-25 так и не получили на вооружение новый самолет-штурмовик, а ОКБ С.В. Ильюшина надолго отошло от проблем фронтовой ударной авиации?",16 600 тг,0,Эксмо,2018 г.,9785040892167,368,Твердый,290 мм x 205 мм,1107 г.,http://www.bookcity.kz/content/images/thumbs/5114173_1447287.jpeg
"""Пятая колонна"" и Николай II",Шамбаров В.Е.,"Революции в России объясняли классовой борьбой, отсталостью страны, слабостью и просчетами царя. Открывшиеся в последнее время исторические факты и документы представляют совершенно иную картину — могущественная и победоносная Российская империя была целенаправленно взорвана ""пятыми колоннами"", за которыми стояли правительства и спецслужбы западных держав. О беспрецедентных кампаниях клеветы на нашу страну, до сих пор скрываемых тайных операциях, их исполнителях и заказчиках рассказывает новая книга известного писателя-историка Валерия Шамбарова ""„Пятая колонна” и Николай II"".",3 600 тг,0,Эксмо,2017 г.,9785906979940,416,Твердый,30 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5113107_1446412.jpeg
"""Упреждающий удар"" Сталина. 25 июня - глупость или агрессия?",Солонин М.С.,"""Война-продолжение"" (jatkosota) - так в Финляндии называют 2-ю советско-финскую войну 1941-1944 гг., которая унесла жизни более 100 тысяч красноармейцев и сделала возможной блокаду Ленинграда, но у нас в стране до сих пор остается ""неизвестной"", ""затерянной"", ""забытой"" войной. Совинформбюро не сообщило советским людям ни о ее начале 25 июня 1941 года, когда сталинская авиация нанесла массированный удар по объектам Финляндии, что и послужило поводом к развязыванию войны, ни о ее завершении три долгих кровавых года спустя.Но эта книга прорвала заговор малчания. Это исследование дает уникальную возможность проверить на практике гипотезу Виктора Суворова - ведь 25 июня 1941-го Красная армия нанесла по финнам ""первый удар"" в самых благоприятных для себя условиях: заблаговременно отмобилизованные войска начали боевые действия в выбранный ими момент, по планам собственного командования, против неприятеля, значительно уступающего в технической оснащенности. Что же показала эта проверка? Каковы были результаты ""упреждающего удара"" Красной армии? Проанализировав ход боевых действий на финском фронте, эта книга отвечает на главный вопрос советской истории: ""А что, если бы летом 41-го Сталин смог опередить Гитлера?"".",4 300 тг,0,Эксмо,2017 г.,9785040898572,640,Твердый,50 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5114250_1447373.jpeg
«Катюши» – «Сталинские органы»,"Драбкин А.В., сост.","?14 июля 1941?г. в 15 ч. 15 мин. железнодорожную станцию Орша накрыл огненный вал, от которого заполыхали практически все немецкие эшелоны, находившиеся на станции. Так о себе впервые заявило новое грозное оружие — реактивная система залпового огня, которую советские бойцы ласково называли ""Катюша"", а немцы с ненавистью — ""Сталинский орга`н"".За время войны советские войска получили более 11?000 установок РСЗО разных модификаций. Из первой экспериментальной батареи капитана Флерова, которая в 1941?г. обстреляла Оршу, к 1945?г. выросло 570 дивизионов ""гвардейских минометов"", которые, являясь резервом Ставки Верховного Главнокомандования, воевали на всех фронтах Великой Отечественной.Новая книга проекта ""Я помню"" (http://iremember.ru) — это рассказ тех, кто воевал на этих грозных машинах.",3 600 тг,5,Эксмо,2018 г.,9785995509998,352,Твердый,200 мм x 130 мм,455 г.,http://www.bookcity.kz/content/images/thumbs/5120858_1453438.jpeg
100 великих людей Древней Греции,Чернявский С.Н.,"Уже многие столетия достижения Древней Греции восхищают весь просвещенный мир. Воспетая лучшими поэтами, Эллада является прародительницей современной архитектуры, поэзии, драматургии, философии, медицины. Ее великое наследие дало начало лучшим достижениям Древнего Рима и Византии. Любая отрасль знаний берет свое начало в стране богов и героев. Именно на землях Балканского полуострова и многочисленных островах Средиземного моря были заложены основы наук, процветающих в наше время. Афинская демократия послужила образцом для современной европейской формы правления. Главные философские представления о мире были выработаны усилиями философов Сократа, Платона и Аристотеля. В очередной книге серии читатель познакомится со ста самыми выдающимися людьми Древней Греции.",3 600 тг,1,Вече,2019 г.,9785448406614,Твердый,32 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127254_1459746.jpeg
100 великих маршалов,Лубченков Ю.Н.,"Маршал - воинское звание (или чин) высшего генеральского состава в армиях ряда государств. В России генерал-фельдмаршал было высшим воинским званием до 1917 года.Звание маршала в армии впервые стали использовать в Тевтонском ордене отсюда появилось наименование фельдмаршала, сначала для полковников кавалерии. Во Франции маршал, ведавший королевской конюшней, прежде был в подчинении интенданта, но уже при Филиппе-Августе это звание относилось к главнокомандующему королевскими войсками.Звание генерал-фельдмаршала появилось в Германии в XVI веке и обозначало высшее воинское звание в сухопутных войсках немецкой и австрийской армий. Во Франции и некоторых других государствах ему соответствовало воинское звание маршала (маршала-генерала).О ста самых выдающихся маршалах различных стран и эпох, прославивших свои армии и народы, рассказывает очередная книга серии.",2 900 тг,0,Вече,2018 г.,9785444465127,416,Твердый,220 мм x 150 мм,350 г.,http://www.bookcity.kz/content/images/thumbs/5119863_1452679.jpeg
100 великих подвигов России,Бондаренко В.В.,"Доблестный, героический поступок, важное по своему значению действие, совершенное в трудных условиях, - так гласит словарь о подвиге. В книге рассказывается о 100 великих ратных подвигах, совершенных во славу Родины - России. Генералы и простые солдаты, сестры милосердия и военные священники, летчики, моряки и военные шоферы - все они в разных обстоятельствах, под разными знаменами были готовы умереть за Отечество. Многие доказали это на деле... Для лиц старше 12 лет.",1 500 тг,0,Вече,2014 г.,9785444418819,384,Твердый,215 мм x 145 мм,355 г.,http://www.bookcity.kz/content/images/thumbs/5070742_1410345.jpeg
100 великих поединков,Нечаев С.Ю.,"В.И.Даль считал слова ""поединок"" и ""дуэль"" синонимами. Дуэлью же он называл ""поединок с известными обрядами, по вызову"". В более широком смысле - это ""состязание, борьба двух противоборствующих сторон"". Дуэль относится к разряду популярных исторических сюжетов, привлекающих внимание не только историков-профессионалов, но и широкой публики, знакомой с этой темой в первую очередь по историческим романам и фильмам. Последние (особенно романы Александра Дюма) и сформировали определенный стереотип восприятия поединка, который в современном массовом сознании прочно ассоциируется с такими понятиями, как честь, благородство и справедливость. На самом деле поединок, как и любое историческое явление, за свою много­вековую историю претерпевал существенные изменения, а его правила трансформировались в зависимости от времени и страны. В очередной книге серии рассказывается о самых знаменитых дуэлях и поединках.",1 900 тг,0,Вече,2015 г.,9785444431696,352,Твердый,215 мм x 145 мм,355 г.,http://www.bookcity.kz/content/images/thumbs/5082092_1420796.jpeg
