12 стульев,"Ильф И.А., Петров Е.П.","Знаменитый роман-фельетон И.Ильфа и Е.Петрова ДВЕНАДЦАТЬ СТУЛЬЕВ впервые был опубликован в 1928 году, а сегодня его называют в числе культовых произведений отечественной литературы XX века. История двух аферистов, пустившихся на поиски брильянтов мадам Петуховой, пользуется неизменным успехом у читателей. Роман, выдержавший сотни переизданий, редко публикуется в сопровождении великолепных иллюстраций, созданных Кукрыниксами. Выдающиеся художники-карикатуристы Михаил Куприянов, Порфирий Крылов и Николай Соколов, классики книжной иллюстрации, сумели не только передать атмосферу 1920-х годов, их творческая манера оказалась невероятно созвучной искрометной сатире Ильфа и Петрова.",11 900 тг,1,Азбука-Аттикус,2014 г.,978538910695601,344,Твердый,290 мм x 205 мм,1195 г.,http://www.bookcity.kz/content/images/thumbs/5067701_1407234.jpeg
12 стульев.Эксклюзив: Русская классика,"Ильф И.А., Петров Е.П.","""Двенадцать стульев"" - роман, написанный почти век назад, а кажется, что совсем недавно. Его цитируют все, даже те, кто не прочел ни страницы текста и не смотрел ни одной экранизации, а их было уже немало. Остап Бендер, Великий комбинатор, стал персонажем нарицательным, и по всей России ему ставят памятники. История про то, как Бендер вместе со своим ""напарником"" Кисой Воробьяниновым пытаются найти бриллианты мадам Петуховой, спрятанные в одном из 12 стульев мебельного гарнитура, стала поистине ""народной классикой"". Роман переиздавался в России почти 200 раз, он переведен на множество языков, хотя довольно сложно передать тот юмор, которым перенасыщена эта удивительная во всех смыслах книга. Книга, которая до сих пор так до конца и не разгадана: почему Валентин Катаев предложил этот сюжет двум малоизвестным журналистам родом из Одессы, есть ли у героев прототипы, кто скрывается за фигурой Остапа Бендера? Возможно, эти загадки так навсегда и останутся загадками. А ""заседание...",1 500 тг,5,АСТ,2019 г.,9785170926244,448,Мягкий,23 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5091716_1429654.jpeg
1984,Оруэлл Д.,"Своеобразный антипод второй великой антиутопии XX века - ""О дивный новый мир"" Олдоса Хаксли. Что, в сущности, страшнее: доведенное до абсурда ""общество потребления"" - или доведенное до абсолюта ""общество идеи""? По Оруэллу, нет и не может быть ничего ужаснее тотальной несвободы...",3 100 тг,5,АСТ,2017 г.,9785171035952,320,Твердый,24 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5113825_1439460.jpeg
1984,Оруэлл Д.,"Своеобразный антипод второй великой антиутопии XX века — ""О дивный новый мир"" Олдоса Хаксли. Что, в сущности, страшнее: доведенное до абсурда ""общество появления"" — или доведенное до абсолюта ""общество идеи""? По Оруэллу, нет и не может быть ничего ужаснее тотальной несвободы...",2 000 тг,5,АСТ,2019 г.,9785170801152,320,Мягкий,25 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/2576117_1366033.jpeg
1985. Эксклюзивная классика,Берджесс Э.,"""1984"" Джорджа Оруэлла — одна из величайших антиутопий в истории мировой литературы. Именно она вдохновила Энтони Бёрджесса на создание яркой, полемичной и смелой книги ""1985"". В ее первой — публицистической — части Берджесс анализирует роман Оруэлла, прибегая, для большей полноты и многогранности анализа, к самым разным литературным приемам — от ""воображаемого интервью"" до язвительной пародии. Во второй части, написанной в 1978 году, писатель предлагает собственное видение недалекого будущего. Он описывает государство, где пожарные ведут забастовки, пока город охвачен огнем, где уличные банды в совершенстве знают латынь, но грабят и убивают невинных, где люди становятся заложниками технологий, превращая свою жизнь в пытку...",1 900 тг,4,АСТ,2019 г.,9785170876884,320,Мягкий,17 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5091725_1429663.jpeg
62. Модель для сборки,Кортасар Х.,"62. МОДЕЛЬ ДЛЯ СБОРКИ - одно из самых необычных произведений Кортасара, истоки которого, по его собственному признанию, следует искать в 62-й главе ""Игры в классики"". В предисловии к роману автор предлагает читателю самостоятельно сконструировать книгу из произвольно выбранных деталей повествования. Ведь все они - города, люди, чувства - лишь элементы конструктора, из которого можно создать все что угодно. Все, на что у читателя хватит сил, возможностей и фантазии.",1 400 тг,3,АСТ,2014 г.,9785170802104,384,Мягкий,22 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5079550_1418009.jpeg
On/Off,Маккалоу К.,"В научно-исследовательском институте неврологии найден расчлененный труп шестнадцатилетней девушки.  Лейтенант Кармайн Дельмонико уверен: убийца - сотрудник института, - ведь посторонний человек проникнуть в здание не сможет.  Но кто из видных ученых совершил это чудовищное преступление? Подозревать можно практически каждого, а между тем таинственный убийца, которого вездесущая пресса называет Призраком, уже нашел очередную жертву. Дельмонико начинает расследование и очень скоро приходит к выводу: единственный способ поймать маньяка - понять, как эти убийства связаны с ужасным преступлением, совершенным тридцать лет назад…",2 500 тг,3,АСТ,2010 г.,9785170605811,352,Мягкий,210 мм x 167 мм,411 г.,http://www.bookcity.kz/content/images/thumbs/5022014_1345694.jpeg
Toxique. Отрава,Саган Ф.,Как после тяжелой автокатастрофы вернуться к нормальной жизни и избавиться от наркотической зависимости? Именно об этом с трогающей душу искренностью рассказывает в своем дневнике блестящая французская писательница Франсуаза Саган. Ее откровенные признания сопровождаются не менее откровенными рисунками известного французского художника Бернара Бюффе. Впервые на русском языке!,1 400 тг,1,Эксмо,2010 г.,9785699417032,80,Твердый,10 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5016620_1338661.jpeg
А зори здесь тихие...,Васильев Б.Л.,"Пять совсем еще юных девушек-зенитчиц под руководством старшины вступают в неравный бой с отрядом немецких диверсантов. Об этом великом, однако не попавшем в сводки военных событий подвиге повесть «А зори здесь тихие…» – шедевр русской «военной прозы», одно из самых проникновенных и трагических произведений о Великой Отечественной войне. Действие повести «Завтра была война» происходит накануне Великой Отечественной войны. Это история о школьниках, их взрослении, первом нравственном выборе и противостоянии, история о выпускниках, которым совсем скоро предстоит взять в руки оружие и отправиться на фронт – защищать Родину.",1 600 тг,5,АСТ,2017 г.,9785171024987,384,Мягкий,30 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125257_1457830.jpeg
А зори здесь тихие...,Васильев Б.Л.,"Борис Васильев был в истинном и самом простом смысле этого слова народный писатель. В Солнечногорск, где он жил уединенно в последние годы, к нему ездили почти как к Толстому в Ясную Поляну. И сегодня Васильева читают, Васильева любят, его слову доверяют. Далеко не всем авторам ХХI века дано создать нечто подобное по силе, искренности, проникновенности, как книги Бориса Васильева о военных и предвоенных годах, об этических вопросах любви, чувства долга и естественном ходе бытия. В настоящее издание вошли самые известные произведения Бориса Васильева.",4 800 тг,4,Азбука-Аттикус,2018 г.,9785389152946,864,Твердый,38 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123015_1455742.jpeg
