#моя [не]идеальная жизнь,Кинселла С.,"О чем: Главная героиня, Кэт Бреннер, работает в маркетинговом агентстве, и ее жизнь, которой она активно делится с подписчиками в социальных сетях, казалось бы, ярка и интересна. Но, увы, это лишь обложка, под которой скрываются финансовые проблемы, склоки с соседями по тесной съемной квартире и одиночество в огромном чужом городе. Кэт страдает от того, что не может сделать свою жизнь столь же красочной и полной поводов для гордости, как та, которую она показывает в Instagram. Но вскоре Кэт поймет, что в действительности надо уделять внимание вовсе не дизайнерским украшениям и стильным нарядам, которые вызывают зависть у подписчиков, а любви. И эта любовь уже вот-вот готова ворваться в ее жизнь… Для кого: Для романтичных натур, которые идут в ногу с современными технологиями и трендами. Для тех, кто ценит в литературе динамичность, искренность и сильную любовную линию. Для читателей, которые истосковались по увлекательным и нестандартным женским романам. Для всех, кто хочет с головой...",4 200 тг,5,Эксмо,2017 г.,9785699947492,480,Твердый,177 мм x 107 мм,27 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5102089_1438614.jpeg
12 новых историй о настоящей любви,"Рот В., Клэр К., Брэй Либба, К","Может быть, все дело в этих длинных, ленивых днях?Может быть, из-за жары все немного сходят с ума?Как бы то ни было, лето—лучшее время для любвиВероника Рот («Дивергент»), Кассандра Клэр («Город костей»),Холли Блэк («Холодный город»), Лев Гроссман («Волшебники») и другиенаписали чудесные истории о лучшем чувстве на земле.И теперь у вас есть двенадцать прекрасных поводов, чтобы влюбиться эти летом.Озеро, где плавает серебристый морской змейили школьный стадион, карнавал ужасов или спа-курорт,город, в котором остановилось время,или фуникулер, — влюбиться можно где угодно.Главное, чтобы это произошло летом!",3 600 тг,0,АСТ,2017 г.,9785171036447,512,Твердый,39 мм,455 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5105157_1441555.jpeg
86400 секунд счастья,Делисс А.,"Это книга о двух женщинах и одном мужчине. О мечтах, жизненных испытаниях и судьбоносных встречах. О таланте и успехе. И конечно же о любви. О том, что любовь может быть счастливой, даже если она неразделенная, даже если любимый мужчина уходит после первой же ночи, закрыв за собой дверь.",2 200 тг,2,Рипол Классик,2015 г.,9785386089641,256,Твердый,200 мм x 130 мм,17 мм,510 г.,http://www.bookcity.kz/content/images/thumbs/5081688_1420395.jpeg
"Happy End, или Измена в рамках приличий",Веденская Т.,"Как реанимировать чувства, которые умерли? Как вернуть к себе интерес любимого супруга? Сменить прическу, обновить гардероб? Поработать над своим имиджем? Некоторые выбирают средство более радикальное – изменить мужу. Если отношения в семье построены на глубокой привязанности и любви, - роман на стороне только укрепит семью. Если же брак формальный – что ж, пусть разваливается, туда ему и дорога. Скажете, зачем же так рисковать, ведь измену близкого человека не каждый готов простить. У героев нового романа Татьяны Веденской на этот счет есть свое мнение и свой верный способ достичь счастья. Вам стоит о них узнать…",1 200 тг,0,Эксмо,2017 г.,9785699946914,320,Мягкий,165 мм x 130 мм,22 мм,150 г.,http://www.bookcity.kz/content/images/thumbs/5101109_1437732.jpeg
P.S. Я люблю тебя,Ахерн С.,"Бестселлер прославленной ирландки Сесилии Ахерн ""P.S. Я люблю тебя"" - современная история о том, как любовь оказывается сильнее смерти. Потеряв любимого мужа, тридцатилетняя Холли Кеннеди впадает в отчаяние, перестает выходить из дому, общаться с людьми. И вдруг получает по почте пакет с письмами: распечатывать их можно лишь по одному в месяц, а написаны они тем самым человеком, расставание с которым приносит ей такие страдания. Оказывается, незадолго до смерти он решил помочь ей жить дальше. Всякий раз она с нетерпением ждет первого числа, чтобы вскрыть очередной конверт и, строго следуя наставлениям, сделать еще один шаг, возвращающий ее к жизни: купить новое платье, принять участие в конкурсе караоке, съездить на море. Роман переведен почти на полсотни языков, а кинофильм ""P.S. Я люблю тебя"", созданный компанией Warner Bros., триумфально шествует по экранам всего мира.",3 600 тг,5,Азбука-Аттикус,2016 г.,978538911979603,528,Твердый,28 мм,445 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5098948_1429469.jpeg
P.S. Я люблю тебя,Ахерн С.,"Бестселлер прославленной ирландки Сесилии Ахерн ""PS. Я люблю тебя"" - современная история о том, как любовь оказывается сильнее смерти. Потеряв любимого мужа, тридцатилетняя Холли Кеннеди впадает в отчаяние, перестает выходить из дому, общаться с людьми. И вдруг получает по почте пакет с письмами: распечатывать их можно лишь по одному в месяц, а на-писаны они тем самым человеком, расставание с которым приносит ей такие страдания. Оказывается, незадолго до смерти он решил помочь ей жить дальше. Всякий раз она с нетерпением ждет первого числа, чтобы вскрыть очередной конверт и, строго следуя наставлениям, сделать еще один шаг, возвращающий ее к жизни: купить новое платье, принять участие в конкурсе караоке, съездить на море. Роман переведен почти на полсотни языков, а кинофильм ""PS. Я люблю тебя"", созданный компанией Warner Bros., триумфально шествует по экранам всего мира.",1 500 тг,0,Азбука-Аттикус,2016 г.,978538911319004,528,Мягкий,165 мм x 120 мм,21 мм,235 г.,http://www.bookcity.kz/content/images/thumbs/5091751_1429688.jpeg
Par Avion,Херманн,"""Par Avion"" - это роман в письмах, настоящий роман со всеми перипетиями любовного чувства - изысканная игра двух страстных людей. Встреча, срывающая с героев почтовые маски, приводит к непредсказуемым и фатальным последствиям.",1 500 тг,0,ИД Ивана Лимбаха,2010 г.,9785890591500,184,Твердый,165 мм x 107 мм,12 мм,170 г.,http://www.bookcity.kz/content/images/thumbs/5027744_1349223.jpeg
Sex Around The Clock. Секс вокруг часов,Кучаев А.,"Содержание нового романа Андрея Кучаева укладывается в семь больших глав. Суть его - бритвенно точный анализ действительности. В том же, что такое ""Sex Around The Clock"", почему это такое, откуда взялось и какие головокружительные события натолкнули автора на написание нижеприведенного эротико-приключенческого романа, читатель разберется сам, прочтя без отрыва написанное.",2 000 тг,0,АСТ,2009 г.,9785170555871,544,Твердый,206 мм x 132 мм,28 мм,409 г.,http://www.bookcity.kz/content/images/thumbs/5039325_1361714.jpeg
Tragedy club. Аферисткам вход разрешен,Полесский Д.,"С миллиардером Александром Полесским происходит то, что изредка случается с состоятельными людьми, совершившими в молодости необдуманный поступок. Прилетевшая из Америки женщина намерена представить ему... его десятилетнего сыночка да заодно попросить папочку обеспечить будущее своего ребенка. Шантажистка готова отказаться от своих претензий, если он заплатит ей всего сто миллионов долларов. Дилемма ужасна.",900 тг,0,Эксмо,2007 г.,9785699200177,352,Твердый,200 мм x 130 мм,24 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/3998488_1361601.jpeg
А и Б сидели на трубе...,Смехова А.В.,"Известная оперная певица Арина Шутова впервые испытала необыкновенное и опасное чувство, связавшее ее жизнь с олигархом Борисом Вальтером.  Любовь без берегов... Значит ли это, что она еще и без правил? Как олигархи проверяют чувства своих возлюбленных? И можно ли сберечь любовь, когда ты окружена людьми, которые следят за каждым твоим шагом?",2 500 тг,0,АСТ,2009 г.,9785170622764,320,Твердый,207 мм x 134 мм,17 мм,355 г.,http://www.bookcity.kz/content/images/thumbs/5012452_1334270.jpeg
А ты умеешь хранить секреты?,Кинселла С.,"Эмма похожа на каждую девушку в мире. И, как у каждой девушки, у нее есть несколько секретов, которыми она не поделилась бы ни с кем. Вот только Эмма попала в зону турбулентности в самолете и даже сама не заметила, как от страха выболтала все симпатичному незнакомцу с соседнего кресла. Конечно, Эмма выжила, и на следующее утро отправилась знакомиться с генеральным директором мегакорпорации, в которой работает. И когда она подняла глаза, тут же чуть не хлопнулась в обморок... перед ней стоял красавец из самолета! Что он будет делать с ее секретами? Эмма в ужасе, ведь босс теперь знает каждую ее унизительную тайну.",3 400 тг,5,Эксмо,2019 г.,9785041003975,Твердый,-133 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133569_1465581.jpeg
