"1000 ответов на вопросы, как вернуть здоровье",Бубновский С.М.,"?Автор бестселлеров ""Природа разумного тела"", ""Код здоровья сердца и сосудов"" Сергей Бубновский, самый известный российский врач-практик, прошедший через испытания собственным нездоровьем, доктор медицинских наук, профессор, отвечает на многочисленные вопросы читателей, касающиеся не только остеохондроза позвоночника и различных болезней суставов, но и таких сопутствующих заболеваний, как сирингомиелия, рассеянный склероз, ревматоидный артрит, болезнь Бехтерева. Читатель узнает, что делать при повреждении менисков, кисте Бейкера, подагре, плоскостопии,  сколиозе, после операции на позвоночнике и при многих других недомоганиях.Сергей Михайлович уверен, что пересмотреть подход к своему здоровью можно и нужно в любом возрасте и при любом анамнезе, важно помнить слова Шерлока Холмса: ""В жизни нет мелочей..."", ведь здоровье каждого человека складывается из множества различных факторов и условий, которые и учитывает метод кинезитерапии.",2 000 тг,4,Эксмо,2017 г.,9785040890668,256,Мягкий,20 мм,95 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5118838_1451714.jpeg
50 незаменимых упражнений для дома и зала,Бубновский С.М.,"Книга доктора медицинских наук, профессора С.М. Бубновского представляет собой прекрасное иллюстрированное пособие для тех, кто уже знаком с его уникальной запатентованной методикой лечения и оздоровления позвоночника и суставов, известной под названием ""кинезитерапия"". Предлагаемые упражнения удачно систематизированы по группам заболеваний, поэтому каждый читатель легко найдет те из них, которые помогут именно ему. Что делать при болях в шее или пояснице? Какие упражнения можно делать при гипертонии и опущениях внутренних органов? В книге для каждого упражнения указаны показания и противопоказания, которые помогут занимающимся достигнуть максимальной эффективности занятий и избежать травм. Многие из упражнений можно выполнять в домашних условиях при помощи простых вспомогательных средств. Автор выделил из множества упражнений 50 основных, выполняя которые регулярно вы сможете избавиться от мучающих вас недугов и значительно улучшить качество жизни.",2 200 тг,4,Эксмо,2019 г.,9785041011093,Мягкий,12 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129359_1461816.jpeg
6 соток здоровья. Правильный отдых и восстановление круглый год,Бубновский С.М.,"Многие любят проводить выходные или отпуск за городом — на даче или в деревне. В этой книге доктор медицинских наук, профессор С.М. Бубновский, автор принципиально новой системы снятия болей и восстановления здоровья без лекарств и операций, рассказывает о том, как сделать загородный отдых максимально полезным для здоровья, какие оздоровительные процедуры можно проводить во время пребывания на даче, как успеть полноценно отдохнуть и восстановить силы за выходные дни, чем заняться на даче в зимнее время. Книга будет особенно полезна владельцам загородных домов или дачных участков, людям с заболеваниями опорно-двигательного аппарата, садоводам-любителям и всем тем, кто хочет восстановить или сохранить свое здоровье.О чем:Это настоящая карманная энциклопедия здорового образа жизни, которая помогает разложить по полочкам очень важные знания. Благодаря этой книге вы научитесь максимально продуктивно проводить время на даче, не только занимаясь полезными делами по хозяйству, но и давая своему телу возможность по-настоящему восстановить силы. Также вы узнаете, какие оздоровительные процедуры незаменимы и летом, и зимой, а значит, будете во всеоружии в любой сезон!Для кого:Эта книга подходит для тех, кто проводит много времени за городом, занимаясь непростыми дачными хлопотами. Она будет полезна тем, кто хочет узнать, как можно в домашних условиях избавиться от боли без медикаментов, не прибегая к помощи докторов, а также разнообразить свой дачный досуг, сделав его максимально полезным и продуктивным. «6 соток здоровья» незаменимы для тех, кто хочет по-настоящему отдыхать на выходных, даже заполненных домашними делами. Это обязательная литература для владельцев загородных домов или дачных участков.На что похоже: Нешаблонное мышление, акцент на правильном образе жизни и естественных способах сохранять здоровье делают эту книгу похожей на совместное исследование Игоря Прокопенко и Сергея Бубновского «Заговор фармацевтов». Кроме того, «6 соток здоровья» полезны для людей любого возраста, как и первое произведения Игоря Прокопенко и Сергея Бубновского «Мифы о здоровье».",1 900 тг,2,Эксмо,2018 г.,9785040938957,160,Мягкий,10 мм,135 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120079_1452891.jpeg
Anti Антирак. Прощаться можно много раз,Серван-Шрейбер Д.,"Давид Серван-Шрейбер — доктор медицинских наук, нейробиолог. В 31 год он обнаружил у себя злокачественную опухоль мозга. Это подтолкнуло его к исследованиям причин рака и разработке своей собственной системы борьбы со страшным заболеванием. Ему удалось прожить 19 лет. И все-таки болезнь вернулась. Перед смертью Шрейбер написал свою последнюю книгу, книгу размышлений и воспоминаний, ставшую его прощанием со всеми, кого он любил.",5 700 тг,0,Рипол Классик,2018 г.,9785386081119,288,Твердый,215 мм x 145 мм,24 мм,380 г.,http://www.bookcity.kz/content/images/thumbs/5070047_1409685.jpeg
"Bravo, Penis! Об интимной жизни глазами врача",Макарова Е.,"Друзья мои, на связи доктор Макарова! Я почти 20 лет практикую в 4-х областях медицины: урология, андрология, венерология и сексология. Без стыда и совести позволю заявить, что я – уникальный доктор, потому что только в моем кабинете можно закрыть сразу несколько интимных вопросов по здоровью. Что, собственно, и будет происходить в этой книге!Это большая бумажная консультация о мужском здоровье. В ней вы найдете информацию по самым животрепещущим темам: устройство половых органов, нормы и мед-ГОСТы, простатит, ИППП, бесплодие, интимная жизнь. И спешу обрадовать! Я не буду, как уважаемый профессор, вещать на волнах, понятных только моим коллегам. Книга написана легко, доступно и с юмором – как люблю я и мои читатели.«Мужская книга» пригодится и мужчинам, и женщинам. Это сакральные знания, которые помогут мужчинам понять свой организм и научиться заботиться о теле, начиная с полового здоровья и заканчивая качественной интимной жизнью. Ну а девушек и дам я приглашаю на неизведанную планету под названием Марс (мужчины ведь оттуда?), чтобы подружиться с ней и понять, как устроена ее почва и атмосфера.",3 900 тг,1,АСТ,2019 г.,9785171137601,Твердый,25 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129502_1461956.jpeg
WOW Woman. Книга-коуч для женского здоровья и сексуальности,Смирнова Е.А.,"Во все времена знания о развитии и искусном владении интимными мышцами считались тайными. Теперь они доступны любой женщине. Известный специалист в этой области Екатерина Смирнова, врач, инструктор по интимной и дыхательной гимнастике, научит упражнениям, которые помогут укрепить интимные мышцы, регулярно испытывать множественные оргазмы, стимулировать выработку феромонов, привлекающих внимание мужчин, сделать ощущения во время секса ярче как для вас, так и для вашего партнера и многое другое. Эта книга будет одинаково полезной женщинам любого возраста. Внимание! Информация, содержащаяся в книге, не может служить заменой консультации врача. Перед совершением любых рекомендуемых действий необходимо проконсультироваться со специалистом.",4 300 тг,1,Эксмо,2018 г.,9785040967469,Твердый,19 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126777_1459279.jpeg
Аллергия. Лучшие рецепты народной медицины,Мусиенко М.Ю.,"С каждым годом окружающая среда становится все более загрязненной и возрастает риск появления аллергии. Немалое влияние на возникновение этого недуга оказывает и наследственность. А провоцируют аллергические реакции у взрослых и детей... аллергены. Что это такое? Как вовремя диагностировать аллергию? Какие средства народной медицины наиболее эффективны в борьбе с ней? На эти и многие другие вопросы ответит данная книга. Здесь вы найдете действенные рецепты травяных сборов, диеты, а также советы по каждому конкретному аллергическому заболеванию. Используя эту информацию, вы сможете улучшить состояние здоровья и избавиться от аллергии без химических препаратов!",1 900 тг,0,Виват,2017 г.,9786176909040,224,Твердый,200 мм x 130 мм,12 мм,210 г.,http://www.bookcity.kz/content/images/thumbs/5111579_1441109.jpeg
"Анализы крови, мочи и других биологических жидкостей человека в различные возрастные периоды. 2-е изд",Данилова Л.А.,"В издании приведены наиболее часто используемые для диагностики показатели крови, мочи, слюны, спинно-мозговой жидкости от момента рождения до 70-80-летнего возраста. Описаны типичные изменения компонентов при различных заболеваниях для пациентов разных возрастных групп. Показаны наиболее часто применяемые в диагностике онкомаркеры. Даны референтные пределы показателей при различных видах онкологии.Предназначено для врачей различных специальностей: общелечебного профиля (семейных врачей), педиатров, гериатров, стоматологов, студентов медицинских вузов.",3 300 тг,1,Спецлит СПб,2016 г.,9785299007961,112,Мягкий,6 мм,235 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5113536_1446762.jpeg
Антирак груди,Плант Д.,"Рак груди - непонятная и пугающая тема. Суровые факты шокируют: основная причина смерти женщин от 25 до 75 лет - различные формы рака, и рак молочной железы - один из самых смертоносных. Это современное бедствие уже приобрело характер эпидемии. Но книга ""Антирак груди"" написана не для того, чтобы вы боялись. Напротив, это история о надежде. Пройдя путь от постановки страшного диагноза к полному выздоровлению, профессор Плант на собственном опыте познала все этапы онкологического лечения, изучила глубинные причины возникновения рака груди и составила программу преодоления и профилактики этого страшного заболевания. Благодаря десяти факторам питания и десяти факторам образа жизни от Джейн Плант ваша жизнь действительно будет в ваших руках.",10 300 тг,3,Рипол Классик,2016 г.,9785386085049,672,Твердый,215 мм x 145 мм,41 мм,945 г.,http://www.bookcity.kz/content/images/thumbs/5075150_1414428.jpeg
Антирак. Новый образ жизни,Серван-Шрейбер Д.,"По официальным данным, только в Москве каждый год от рака умирает 24000 человек. Можно ли как-то повлиять на эту чудовищную статистику, можно ли что-то изменить? Автор этой книги, врач, которому в 30 лет поставили диагноз ""рак"", уже 17 лет успешно сражается с болезнью и живет полноценной жизнью. Он просто и доступно рассказывает читателю о природных механизмах защиты от рака - начиная с правильного питания и заканчивая правильным отношением к ситуации. В книге описано множество случаев из практики как самого автора, так и его коллег-онкологов, представлены факты, рецепты, таблицы и ссылки на ведущие научные издания. Как следует поступать, чтобы не запустить механизм необратимого роста раковых клеток? Что делать, если этот механизм уже запущен? Как защитить себя и своих близких? На своем собственном примере, на примере своих пациентов и пациентов своих коллег автор книги рассказывает, как это осуществить на основе самых современных работ теоретической и клинической медицины. В книге есть множество случаев из практики, захватывающие истории открытий и ссылки на ведущие научные издания, есть рецепты и таблицы, кривые и списки. Вы можете (и наверняка захотите) воспользоваться...",6 500 тг,5,Рипол Классик,2018 г.,9785386021115,496,Твердый,215 мм x 145 мм,34 мм,586 г.,http://www.bookcity.kz/content/images/thumbs/5062233_1368125.jpeg
