"""В крови горит огонь желанья...""",Пушкин А.С.,"Имена поэтов, вошедших в этот сборник, хорошо известны всем читателям со школьной скамьи, но лишь немногие знакомы с их произведениями, посвященными чувственной стороне любви. Страстные, игривые, откровенные, порой эпатажные и пикантные стихотворения таких признанных мастеров поэтического слова, как А.Пушкин, А.Фет, К.Бальмонт, И.Северянин, В.Брюсов, С.Есенин, представляют лучшие образцы русской изящной словесности в этом жанре. Не позволяя себе опускаться до пошлости, каждый из поэтов по-своему раскрыл тему телесной любви, воспевая женскую красоту и ""буйство глаз и половодье чувств"". У А.Фета и А.Блока это лиричные, трепетные посвящения Женщине, у М.Кузмина и В.Брюсова - пылкие и страстные излияния, а у Н.Агнивцева - фривольные и озорные куплеты. Их строки по-прежнему звучат свежо и современно, ведь желание любить и быть любимым присуще человеку в любые времена.",5 300 тг,3,Олма Медиа Групп,2014 г.,9785373068246,224,Твердый,240 мм x 170 мм,23 мм,880 г.,http://www.bookcity.kz/content/images/thumbs/5083937_1422978.jpeg
100 стихотворений о животных,Пушкин А.С.,"В этом чудесном сборнике собраны лучшие стихотворения о братьях наших меньших - о котиках, собаках, тиграх и даже пауках! Каждый автор пишет о них с разной тональностью, поэтому вы найдете здесь всю палитру эмоций - от разрывающей сердце жалости до безотчетного страха.",2 000 тг,3,Эксмо,2016 г.,9785699876235,160,Твердый,165 мм x 120 мм,13 мм,140 г.,http://www.bookcity.kz/content/images/thumbs/5098864_1435922.jpeg
100 стихотворений о природе,"Пушкин А.С., Лермонтов М.Ю., Тютчев Ф.И.","Русская природа - величественная и спокойная была источником вдохновения и философских раздумий многих поэтов, и по-прежнему вызывает восхищение и восторг. В книгу включены самые лучшие стихотворения русских поэтов о родной природе.",2 100 тг,5,Эксмо,2016 г.,9785699892402,160,Твердый,165 мм x 120 мм,16 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5097985_1435952.jpeg
100 стихотворений о России,Пушкин А.С.,"Какая она, Россия? Родина-мать, защитница и созидательница! В книгу включены лучшие образцы размышлений русских поэтов о своей Родине – о России.",2 000 тг,2,Эксмо,2016 г.,9785699885664,256,Твердый,165 мм x 120 мм,22 мм,215 г.,http://www.bookcity.kz/content/images/thumbs/5098877_1436334.jpeg
"100 стихотворений, которые растрогают самых суровых мужчин",Пушкин А.С.,Что может растрогать суровых мужчин? Какие слова доберутся до самого сердца? Этот сборник стихотворений предлагают свою подборку таких произведений - от великих поэтов всех времен и народов.,2 000 тг,3,Эксмо,2016 г.,9785699847488,194,Твердый,165 мм x 120 мм,10 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5098835_1436333.jpeg
"Milk and Honey. Белые стихи,покорившие мир",Каур Р.,"Рупи Каур – индианка по происхождению, молодой, но всемирно известный писатель и художник. Ее стихи не имеют рифмы, но поражают в самое сердце. Ее иллюстрации символичны, но накаляют чувства. Ее книгу никто не хотел публиковать, но она стала мировым бестселлером. Лирический сборник Рупи Каур – это откровенная, смелая и чувственная поэзия, которая захватывает с первых строк. Каждый может найти в этих коротких, эмоционально сконцентрированных и проницательных историях что-то из собственной жизни. Рассказывая о трагедии детства, несчастной любви и боли своих потерь, Рупи Каур погружает читателя в противоречивое чувство прекрасной грусти, подтверждая заявленное: ""Пройти сквозь самые горькие моменты жизни, чтобы обнаружить в них сладость, ведь она есть во всем"". Переводы стихов публикуются вместе с оригинальными текстами на английском языке.Книга, покорившая мир. Продано 2 миллиона экземпляров Переведено на 30 языков Бестселлер New York Times №1 в разделе «Американская поэзия» на Amazon.com 3000 отзывов на Amazon.com О КНИГЕ Лирический сборник Рупи Каур – это откровенная, смелая и чувственная поэзия, которая захватывает с первых строк. Ее стихи не имеют рифмы, но поражают в самое сердце. Ее иллюстрации символичны, но накаляют чувства. Ее книгу никто не хотел публиковать, но она стала мировым бестселлером. «Milk and honey» – это сборник стихов о любви, потере, насилии, исцелении и женственности. он разделен на четыре главы, и каждая о страдании и исцелении от боли. «Milk and honey» проведет читателя по самым горьким моментам жизни, и в каждом из них он найдет нечто прекрасное, потому что прекрасное есть во всем, стоит лишь присмотреться.ОТЗЫВЫ «Рупи Каур, молодую поэтессу индийского происхождения из Канады, называют голосом поколения — и на то есть причины. Она говорит не только о «боли», «любви», «разрыве» и «исцелении», вынесенных в названия глав сборника — но и о насилии, о давлении патриархальной культуры на женщину, самоопределении, идентичности и любви к себе. Этот разговор давно пора было начать». Александра Савина, редактор Wonderzine.com «Дебютная книга Рупи Каур – это лирический сборник, в котором нуждается каждая женщина». The New York Times «Молодая Рупи Каур – голос своего поколения». USA Today «У Рупи Каур уникальный талант. В ее мощной работе сконцентрировано женское видение мира, женская борьба за свое счастье». Huffington Post  «Обязательная к прочтению поэтическая коллекция об исцелении и надежде». Bustle.com «Через темы любви, потери и исцеления Рупи Каур находит способ связаться с каждой читательницей». Business Insider «Эта книга поможет читателю лучше узнать себя, заглянуть в глаза своим страхам и освободиться от них, широко распахнуть глаза и заметить прекрасное». Elite Daily",4 800 тг,1,Эксмо,2019 г.,9785040901814,400,Твердый,200 мм x 145 мм,31 мм,501 г.,http://www.bookcity.kz/content/images/thumbs/5129747_1462180.jpeg
"The Sun and Her Flowers. Белые стихи, от которых распускаются цветы",Каур Р.,"Долгожданный второй поэтический сборник Рупи Каур «The Sun and Her Flowers» был опубликован в 2017 году, в течение первых трех месяцев продан миллионным тиражом и принят читателями по всему миру. 
Сборник проиллюстрирован уникальными авторскими рисунками.
Переводы стихов публикуются вместе с оригинальными текстами на английском языке. Перевод выполнил Лунин Виктор Владимирович — знаменитый поэт и переводчик, лауреат многочисленных премий и конкурсов, переводчик Редьярда Киплинга и Кеннета Грэма.",4 900 тг,5,Эксмо,2019 г.,9785040997886,Твердый,34 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131418_1463784.jpeg
Английская романтическая поэзия,Неизвестно,"Поэзия английского романтизма - удивительное и уникальное творческое явление. Английским поэтам-романтикам удалось выйти за рамки традиции, они смело бросили вызов строгому классицизму и привнесли в поэзию неведомые прежде чувства и эмоции. Первопроходцами направления явились Вильям Блейк и Вальтер Скотт. За ними последовали Сэмюель Тэйлор Кольридж, Вильям Вордсворт и Роберт Саути, три основателя ""Озерной школы"", а также Томас Мур. Их работы вдохновили младшее поколение английских романтиков, ""великую троицу"" - Джорджа Гордона Байрона, Перси Биши Шелли и Джона Китса. В творениях поэтов-романтиков мечта предстала реальностью, а потому время над ними не властно. Их читали, читают и будут читать! Этими стихами восхищались и их переводили на русский язык А.Пушкин, В.Жуковский, М.Лермонтов, А.Плещеев, Вяч.Иванов, К.Бальмонт, Г.Иванов, А.Блок. В книгу, помимо классических, включены и новые переводы, выполненные для настоящего издания современными поэтами Вс.Гуревичем, В.Спаровым,...",4 800 тг,1,Олма Медиа Групп,2013 г.,9785373054812,224,Твердый,240 мм x 170 мм,22 мм,855 г.,http://www.bookcity.kz/content/images/thumbs/5124334_1422899.jpeg
Анна Снегина. Стихотворения,Есенин С.А.,"Сергей Есенин - белокурый красавец, кутила, любимец женщин - был щедро одарен природой. Поэзия Есенина отличалась особой музыкальностью и тонким лиризмом, его талант только совершенствовался с годами. Но судьба отпустила недолгий срок... В состав книгу включены не только стихотворения, но и маленькие поэмы и поэмы, позволяющие высветить все грани поэтического таланта исконно русского, любимого многими автора.",2 000 тг,0,Эксмо,2015 г.,9785699819041,288,Твердый,165 мм x 120 мм,15 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5098339_1436310.jpeg
Анненский И.Ф. Лирика,Анненский И.Ф.,В настоящем издании достаточно полно представлено поэтическое наследие замечательного русского поэта Серебряного века Иннокентия Федоровича Анненского (1855-1909).,900 тг,2,АСТ,2003 г.,9789851312807,352,Твердый,200 мм x 130 мм,18 мм,323 г.,http://www.bookcity.kz/content/images/thumbs/5019744_1341132.jpeg
