#В постели с твоим мужем. Записки любовницы. Женам читать обязательно!,Набокова Н.,"Ника Набокова — провокационная и откровенная, красивая молодая женщина с мозгами, которым может позавидовать любой успешный мужчина. В ее блоге более 300 тысяч читателей. Почти 8000 человек, обратившихся за помощью и советом. Десятки тысяч благодарностей от тех, кому ее статьи помогли выжить в сложных отношениях. «Да, я любовница! И именно поэтому я знаю все о том, почему, из-за чего, ради чего и для чего люди изменяют. Эту правду вам не расскажут в глянцевых журналах и на популярных ток-шоу. Добро пожаловать в мой мир, где я расскажу все об изнанке неверности. Какого черта его туда понесло, чего ждать дальше и что с этим всем делать? Меня можно ненавидеть, обвинять в разрушении чьей-то семьи, бояться и пытаться отрицать факт моего существования. Но это не отменяет главного — я знаю, как выжить в любовном треугольнике». Никакой женской логики, стенаний и «ой, все». Бьющие под дых формулировки, глубинное знание человеческой психики и отношений, эффективные и на 100% работающие методики...",3 300 тг,5,АСТ,2019 г.,9785171002213,288,Твердый,220 мм x 150 мм,19 мм,335 г.,http://www.bookcity.kz/content/images/thumbs/5100129_1436897.jpeg
"#Верный и заботливый муж. Явки, пароли, секреты. Удачное знакомство, быстрое замужество, долгие счастливые отношения",Сатья Дас,"Вы хотите найти спутника жизни: познакомиться, выстроить отношения, выйти замуж, но почему-то ваше желание даже и не думает сбываться? Вы прочли не одну умную книгу, сформировали желание, отправили его во Вселенную, провели несколько «сильнейших» обрядов на жениха, усвоили все тонкости обращения с противоположным полом, а воз и ныне там? К сожалению, в большинстве многомудрых книг нет ответов на самые простые, и в то же время жизненно важные вопросы: Где все-таки встретить неженатого мужчину? Как действительно привлечь его внимание и не спугнуть? Как понять, что именно с ним вы обретете долгожданное счастье? И как при этом быть Божественной женщиной, а не «охотницей на мужчин». Создается впечатление, что эти сведения засекречены и охраняются так же тщательно, как государственная тайна. Сатья дас - популярный лектор, ведический психолог, автор и ведущий популярнейших семинаров ""Нескучная семейная психология"" и ""Очарование женственности"", снимает гриф секретности и передает...",3 000 тг,5,АСТ,2018 г.,9785171025045,208,Твердый,215 мм x 145 мм,16 мм,285 г.,http://www.bookcity.kz/content/images/thumbs/5105626_1442029.jpeg
10 методик развития мышления и памяти,Литвак М.Е.,"Мышление и память вознесли человека на вершину эволюции. Еще древние мыслители говорили: я мыслю — значит, существую. я помню — значит, я живу. В своей новой книге Михаил Литвак рассказывает о важных философских законах, которые управляют миром и судьбой каждого из нас. И как всегда, объясняет самые сложные вопросы просто, ярко и образно. Вы познакомитесь с афоризмами ""семи мудрецов"" и идеями великих философов — Солона, Гераклита, Демосфена, а также с научными работами известных психиатров и психологов — Фрейда, Фромма, Морено. Научитесь быстро справляться со своими проблемами с помощью главных правил психологии и логики. Начнете разбираться в людях и даже овладеете методами манипулирования ими. Узнаете, как стать великолепным оратором, способным увлечь массы. И, возможно, даже выясните — гений ли вы?",2 200 тг,3,АСТ,2019 г.,9785171104702,Мягкий,20 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130227_1462613.jpeg
10 методик развития мышления и памяти,Литвак М.Е.,"Мышление и память вознесли человека на вершину эволюции. Еще древние мыслители говорили: я мыслю - значит, существую я помню - значит, я живу. В своей новой книге Михаил Литвак рассказывает о важных философских законах, которые управляют миром и судьбой каждого из нас. И как всегда, объясняет самые сложные вопросы просто, ярко и образно. Вы познакомитесь с афоризмами ""семи мудрецов"" и идеями великих философов - Солона, Гераклита, Демосфена, а также с научными работами известных психиатров и психологов - Фрейда, Фромма, Морено. Научитесь быстро справляться со своими проблемами с помощью главных правил психологии и логики. Начнете разбираться в людях и даже овладеете методами манипулирования ими. Узнаете, как стать великолепным оратором, способным увлечь массы. И, возможно, даже выясните - гений ли вы?",2 900 тг,3,АСТ,2017 г.,9785179826248,288,Твердый,200 мм x 130 мм,20 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5112750_1446094.jpeg
10 фантастических способов добиться успеха,Ньюмен Б.,"Автор рассматривает принципы достижения успеха, иллюстрируя свои тезисы образными примерами. Для широкого круга читателей.",1 700 тг,4,Попурри,2015 г.,9789851527171,112,Мягкий,200 мм x 130 мм,12 мм,105 г.,http://www.bookcity.kz/content/images/thumbs/5081731_1420440.jpeg
"100 + 1 идея для раскрытия вашего потенциала от монаха, который продал свой ""феррари""",Шарма Р.,"Можно проклинать тьму, а можно зажечь свечу и осветить свою жизнь! Этот выбор очень просто сделать на словах, но так сложно в жизни. Вас поддержит тот, за чьими идеями идут уже миллионы. Робин Шарма, автор международного хита ""Монах, который продал свой “феррари”"", человек, тренирующий топ-менеджеров Apple и Microsoft, готов вдохновить на победу и вас! Его книга — одновременно простая и мудрая, эмоциональная и вдохновляющая. Она расширяет горизонты, поможет посмотреть в лицо своим страхам, указывает на очевидные возможности стать успешным, которые вы просто не замечаете, а в итоге выводит вас на совершенно новый уровень жизни. По отзывам читателей, с этой книгой просто невозможно оставаться в темноте, она выведет вас к свету хотите вы того или нет!",3 000 тг,0,АСТ,2019 г.,9785171154486,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131527_1463917.jpeg
"100% отличник. Метод, который поможет ребенку быстро запоминать и легко учиться",Додонова Е.С.,"Ребенок не запоминает, а виноваты, оказывается, родители. Почему родители? Опять родители? – типичные вопросы. Гены очень серьезная вещь, но это не главное. Гораздо важнее познакомиться с законами памяти и концентрации внимания и понять, какой способ подходит именно вашему ребенку. Изучите методы для запоминания стихотворений, правил, определений, и делайте уроки быстро и легко.Об авторе:Екатерина Додонова - бизнес-тренер, блогер, инструктор по развитию памяти и скорочтению. Учредитель образовательного проекта www.iq230.comДля кого эта книга• Для дошкольников, которые не могут сосредоточиться на чем-то одном, плохо читают и запоминают• Для школьников, которые не могут сконцентрироваться на уроке, мучительно долго делают домашнее задание • Для отличников, родители которых понимают важность интеллектуального развития ребенка",3 400 тг,2,Эксмо,2017 г.,9785699907595,128,Мягкий,235 мм x 160 мм,14 мм,325 г.,http://www.bookcity.kz/content/images/thumbs/5110017_1443833.jpeg
1000 и один способ быть самим собой,Некрасов А.А.,"Из-за ошибок воспитания и детских обид люди не могут строить свою дальнейшую жизнь настолько счастливо, насколько им хотелось бы. Возникают комплексы, человек надевает маску, он уже не может быть просто счастлив. В этой книге дан большой практический материал по работе над собой, разбор различных сложных жизненных ситуаций.Эта книга поможет увидеть себя настоящего, обрести радость и гармонию.",1 300 тг,4,АСТ,2019 г.,9785171096441,256,Мягкий,165 мм x 107 мм,1 мм,501 г.,http://www.bookcity.kz/content/images/thumbs/5125134_1457708.jpeg
"101 совет по достижению успеха от монаха, который продал свой «феррари». Я - Лучший!",Шарма Р.,"Можно прочитать много книг об Успехе, а можно — только эту одну. Эффект будет одинаковый! Потому что эту книгу написал гуру в области достижения успеха — знаменитый Робин Шарма. Автор мега-бестселлера «Монах, который продал свой ""феррари""», человек, к чьим советам прислушиваются топ-менеджеры Apple и Microsoft, рок-звезды, миллионеры и даже члены королевских семей, открывает миру собственные принципы успеха. Сто и один рецепт большого успеха от Робина Шармы! 
В этой книге вы найдете истории успеха от знаменитых миллионеров, спортсменов, артистов и, конечно, собственные наблюдения и выводы Робина Шармы. Эта страстная, вдохновляющая, остроумная и полная идей книга приведет вас к успеху быстрее, чем вы себе представляете!",1 900 тг,4,АСТ,2019 г.,9785171148928,Мягкий,10 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130270_1462657.jpeg
12 загадок для мамы и папы,Нарушевич Р.,"У нас есть тысяча и одна причина, почему мы хотим увидеть в детях то, что мы хотим увидеть. Но, представьте себе, у них миллион причин, почему они не будут тем, чем мы хотим их увидеть. В этой книге Руслан Альбертович Нарушевич, известный ведический астролог, специалист в области семейной психологии и воспитания детей, рассмотрит 12 главных причин, почему дети не собираются быть тем, чем мы хотим их увидеть, и раскроет 12 загадок, 12 секретов наших детей: 12 знаков зодиака, 12 домов в астрологической карте, каждый из которых отвечает за свою сферу влияния. Читая эту книгу, вы будете узнавать о своей природе, понимая и принимая, что это не болезнь, не патология, и избавляясь от каких-то комплексов, которые берут свое начало в детстве. Вы будете все больше и больше понимать, что поведение ваших детей и их отличающаяся от вашей природа тоже не является изъяном, или патологией, или чем-то, что нужно исправлять. Уважая природу ребенка, мы тем самым учим его уважать природу других...",3 700 тг,3,Философская книга,2014 г.,9785820503160,144,Твердый,200 мм x 145 мм,12 мм,225 г.,http://www.bookcity.kz/content/images/thumbs/5064280_1404679.jpeg
"12 советов для тех, кто любим и любит",Нарушевич Р.,"Почему женщина уже должна быть счастливой до того, как начнет строить отношения? Зачем вообще нужны отношения? Как они должны складываться? Почему не складываются, а если складываются, то существуют недолго или не так долго, как нам хотелось бы? Может ли разгореться костер счастья при встрече двух одиночеств? На каком этапе отношений женщине отвечать взаимностью на призывы мужчины о физической близости?",3 900 тг,2,Философская книга,2016 г.,9785820502422,176,Твердый,200 мм x 145 мм,15 мм,260 г.,http://www.bookcity.kz/content/images/thumbs/5064087_1404425.jpeg
125 лучших задач и головоломок Якова Перельмана,Перельман Я.,Неизвестно,1 100 тг,3,Мартин,2018 г.,9785847511124,Мягкий,200 мм x 120 мм,8 мм,145 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5121010_1453754.jpeg
