"""А я говорю, вероятно, за многих...""",Ахматова А.А.,"В этом сборнике впервые представлены стихотворения А. Ахматовой в составе, который можно озаглавить ""Потаенная Ахматова"". Это стихотворения Ахматовой, которые никогда при ее жизни не были напечатаны, стихотворения, которые друзья Ахматовой заучивали наизусть и оригиналы которых сжигались. В них слышен голос большого гражданского поэта, разделившего страдания своего народа и сумевшего рассказать о них. ""В Кремле не надо жить - Преображенец прав, / Там зверства древнего еще кишат микробы: / Бориса дикий страх, и всех Иванов злобы, / И Самозванца спесь - взамен народных прав"". Серия ""Настоящая Ахматова"" отличается от всех предшествующих изданий стихотворений и поэм А. Ахматовой прежде всего качеством текстологической подготовки: все тексты этой серии сверены по автографам, хранящимся в государственных архивах и частных собраниях, а также по первым публикациям в периодической печати. В книгах этой серии по возможности сохранены особенности авторского написания, сохраняется авторская пунктуация подлинников, соблюдается вид записи текстов произведений: расположение строк, отступов, ""лесенка"", курсив, прописные и строчные буквы и т.п. Все книги серии снабжены вступительными статьями и примечаниями.",1 100 тг,0,Азбука-Аттикус,2010 г.,978538901327804,160,Мягкий,12 мм,85 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5016359_a-govor-verotno-za-mnogih.jpeg
"""Душа, не знающая меры…""",Цветаева М.И.,"В настоящий сборник, который мог бы иметь подзаголовок ""Молодая Цветаева"", входят наиболее известные стихотворения, написанные Мариной Цветаевой с 1909 по 1922 год, до эмиграции. ""Когда читаешь ее книгу, минутами становится неловко, словно заглянул нескромно через полузакрытое окно в чужую квартиру и подсмотрел сцену, видеть которую не должны бы посторонние..."" (Валерий Брюсов).",1 200 тг,2,Азбука-Аттикус,2014 г.,978538904413504,224,Мягкий,15 мм,113 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102801_1405503.jpeg
"""Но все-таки услышат голос мой...""",Ахматова А.А.,"""Но все-таки услышат голос мой..."" - вторая книга серии из пяти книг под названием ""Настоящая Ахматова"". В книгу вошли стихотворения 1924-1965 годов. ""Я была в великой славе, испытала величайшее бесславие - и убедилась, что, в сущности, это одно и то же"", - вторая часть ахматовской цитаты относится именно к этому времени. И еще о том же периоде: ""Меня, как реку, суровая эпоха повернула..."" В ноябре 1962 года К.И.Чуковский написал: ""Сталинская полицейщина разбилась об Ахматову. ...десятки опричников, вооруженных всевозможными орудиями пытки, револьверами, пушками - напали на беззащитную женщину, и она оказалась сильнее. Она победила их всех. Слово поэта всегда сильнее всех полицейских насильников"". Серия ""Настоящая Ахматова"" отличается от всех предшествующих изданий стихотворений и поэм А.Ахматовой прежде всего качеством текстологической подготовки: все тексты этой серии сверены по автографам, хранящимся в государственных архивах и частных собраниях, а также по...",1 400 тг,0,Азбука-Аттикус,2015 г.,978538910478503,288,Мягкий,19 мм,140 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5083281_1422351.jpeg
"""Пока земля еще вертится...""",Окуджава Б.Ш.,"зло ни пророчили, кроме этого ничего не придумало человечество для спасения своего. В настоящем издании собраны самые любимые стихотворения и песни Булата Окуджавы. Книгу предваряет вступительное слово Андрея Битова.",1 400 тг,1,Азбука-Аттикус,2018 г.,9785389139633,368,Мягкий,20 мм,180 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116827_1449754.jpeg
[Про]зрение,Сарамаго Ж.,"Жозе Сарамаго — один из крупнейших писателей современной Португалии, лауреат Нобелевской премии по литературе 1998 года, автор скандально знаменитого «Евангелия от Иисуса». В романе «[Про]зрение» читатель встретится с прозревшими героями «Слепоты». В своей излюбленной притчевой манере Сарамаго выстраивает, по сути, модель мира. Он не оценивает, но подталкивает к размышлениям, не высмеивает, но и не скрывает сарказма. «С тех пор не произошло ни единого политического события, которое бы не было полностью или частично описано в [Про]зрении, — отмечает переводчик романа А.С. Богдановский. — И я говорю не о Португалии. Достаточно начать читать книгу, чтобы увидеть — она и про нас тоже».",1 400 тг,0,Азбука-Аттикус,2018 г.,9785389153264,384,Мягкий,20 мм,195 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5124940_1457534.jpeg
[Про]зрение,Сарамаго Ж.,"Всем демократическим выборам и всем людям избирательного возраста посвящается! Продолжение романа ""Слепота"" погружает читателей в совсем иную ситуацию. В первой книге автор дает представление о том, как будет выглядеть мир без социальной стабильности, без правительства, если все жители ослепнут и станут беспомощны. Очень жестоки и реалистичны картины в ""Слепоте"", и они потрясают. В романе ""Прозрение"" тот же город четыре года спустя после эпидемии. 83% населения на выборах политических партий оставили свои бюллетени чистыми. Правительство в шоке. И что же оно в такой ситуации предпримет? ""Прозрение""- экстраординарная вещь, написанная в стиле политической сатиры, богатая метафорами и комментариями: ""Мы все продолжаем лгать, когда говорим правду, и говорим правду, когда лжем""... Главные вопросы романа : Из тех , кто сейчас может видеть, кто прозрел , а кто нет? Кем манипулируют, а кто живет и поступает по совести? С тех пор как вышел этот роман в Португалии, не прошло...",1 400 тг,0,Эксмо,2015 г.,9785699692125,416,Мягкий,18 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5054797_1397705.jpeg
31 августа,Коссе Л.,"Роман ""31 августа"" принес французской писательнице Лоране Коссе мировую славу. Таинственный белый ""фиат"", послуживший, по всей видимости, причиной автокатастрофы 31 августа 1997 года в парижском тоннеле Альма, где погибла принцесса Диана и ее возлюбленный Доди аль-Файед, так никогда и не был найден. Кто сидел за рулем машины-призрака и почему скрылся с места трагедии - так и осталось загадкой.",1 300 тг,0,Иностранка,2006 г.,9785941453917,208,Твердый,12 мм,212 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5011942_1333236.jpeg
42-я параллель,Дос Пассос Д.,В томе представлены наиболее известные произведения классика американской литературы Джона Дос Пассоса.,4 900 тг,4,Не указано,2004 г.,9785170223695,768,Твердый,215 мм x 145 мм,35 мм,752 г.,http://www.bookcity.kz/content/images/thumbs/5038901_1361987.jpeg
451' по Фаренгейту. Рассказы,Брэдбери Р.,"Великий, удивительный, абсолютно неподражаемый Рэй Брэдбери! Что бы вы ни читали: детективную историю ""Смерть-дело одинокое"", или роман ""Надвигается беда"", или ""451 по Фаренгейту"", или мистику, или постигали магический реализм его рассказов, все это - его собственный стиль, его собственное направление в литературе. В сборник вошли, ставшие уже хрестоматийными шедевры "" 451 по Фаренгейту"" и авторский сборник рассказов ""Механизмы радости"". ""Перед нами писатель, заслуживший место в истории американской литературы. Спасибо таланту Брэдбери, создавшему мир своеобразный и неповторимый, спасибо нашей удаче, позволившей нам войти с ним в этот мир."" Клайв Баркер",4 400 тг,5,Эксмо,2016 г.,9785699938964,544,Твердый,200 мм x 130 мм,15 мм,515 г.,http://www.bookcity.kz/content/images/thumbs/5101559_1438107.jpeg
99 франков,Бегбедер Ф.,"Роман «99 франков» представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы... Роман Бегбедера провокационен, написан в духе времени и весьма полемичен. В свое время он стал настоящим событием литературного сезона, а его автор, уволенный накануне публикации из рекламного агентства, покинул мир рекламы, чтобы немедленно войти в мир бестселлеров.",1 400 тг,5,Азбука-Аттикус,2017 г.,978538913080701,288,Мягкий,20 мм,150 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5113106_1446411.jpeg
