"""Лимонка"" в тюрьму",Прилепин З.,"Архипелаг ГУЛАГ возле вас, сегодня и сейчас. Он рядом - за кирпичной стеной на углу соседней улицы, на окраине вашего города или в недальнем поселке за высоким забором с колючкой. Это другой мир, который рядом с вами.Мир, который рядом, - ад, который рядом...В сборник вошли произведения людей, которых воля случая или сознательный выбор бросили в Архипелаг ГУЛАГ XXI века. Камеры и автозаки, допросы, этапы, свидания и пытки. Чувства, мысли, стихи, проза, боль.Не все авторы ещё на воле, всем авторам нет и сорока...",3 600 тг,2,Центрполиграф,2016 г.,9785227065797,416,Мягкий,200 мм x 130 мм,25 мм,400 г.,http://www.bookcity.kz/content/images/thumbs/5125615_1458152.jpeg
#Мы никогда не знаем…,Оганова И.,"Ирина Оганова - писатель, автор бестселлера #Иллюзия счастья и любви, сборника ярких, трогательных историй, рождённых в Инстаграм. В своей второй книге она глубже исследует душевные переживания героев, ставя их перед суровой необходимостью принимать непростые решения, которые кажутся единственно верными.#Мы никогда не знаем - несколько коротких и длинных рассказов о крутых поворотах судьбы и силе характера, объединённых хэштегом #жизнь.
Четыре истории о сильных людях, пересекающихся в лабиринтах городов и времени. Их жизнь не похожа на счастливый аттракцион: важные встречи приносят разочарование, крепкие связи обрываются, внезапно уходят близкие. Но они находят в себе мужество расправить плечи и продолжают идти сквозь плотный туман обстоятельств в поисках себя.",4 200 тг,4,Питер,2019 г.,9785446111299,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132198_1464543.jpeg
[Про]зрение,Сарамаго Ж.,"В этом романе читатель встретится с прозревшими героями ""Слепоты"". В своей излюбленной притчевой манере Сарамаго выстраивает, по сути, модель мира. Он не оценивает, но подталкивает к размышлениям, не высмеивает, но и не скрывает сарказма. ""С тех пор не произошло ни единого политического события, которое бы не было полностью или частично описано в Прозрении, - отмечает переводчик романа А.С.Богдановский. - И я говорю не о Португалии. Достаточно начать читать книгу, чтобы увидеть - она и про нас тоже"".",2 400 тг,0,Эксмо,2015 г.,9785699637461,320,Твердый,200 мм x 130 мм,23 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5023919_1345698.jpeg
[Про]зрение,Сарамаго Ж.,"Жозе Сарамаго - один из крупнейших писателей современной Португалии, лауреат Нобелевской премии по литературе 1998 года, автор скандально знаменитого «Евангелия от Иисуса».В романе «[Про]зрение» читатель встретится с прозревшими героями «Слепоты». В своей излюбленной притчевой манере Сарамаго выстраивает, по сути, модель мира. Он не оценивает, но подталкивает к размышлениям, не высмеивает, но и не скрывает сарказма. «С тех пор не произошло ни единого политического события, которое бы не было полностью или частично описано в „[Про]зрении“, - отмечает переводчик романа А. С. Богдановский. - И я говорю не о Португалии. Достаточно начать читать книгу, чтобы увидеть - она и про нас тоже».",3 700 тг,2,Азбука-Аттикус,2018 г.,978538914089901,384,Твердый,10 мм,435 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115532_1448530.jpeg
…нет воспоминаний без тебя,Сафарли Э.,"В этой книге любви больше, чем страниц. Грустной, радостной, отчаянной, вдохновляющей. Такой, какая она вокруг и внутри нас. Если вы любите, то продолжайте любить, не вчитываясь в ее содержание. Если вы одиноки, то помните, что любовь порой не очень заметна, но она повсюду. В вас и в них тоже... В любом случае не переставайте верить в любовь, даже если моя книга не убедила вас в ее силе.",4 100 тг,5,АСТ,2015 г.,9785170932726,288,Твердый,200 мм x 130 мм,20 мм,320 г.,http://www.bookcity.kz/content/images/thumbs/5103886_1440319.jpeg
"12 лет рабства. Реальная история предательства, похищения и силы духа",Соломон Нортап,"В 1853 году книга ""12 лет рабства"" всполошила американское общество, став предвестником гражданской войны. Через 160 лет она же вдохновила Стива МакКуина и Брэда Питта на создание киношедевра, получившего множество наград и признаний, включая Оскар-2014 как ""Лучший фильм года"". Что же касается самого Соломона Нортапа, для него книга стала исповедью о самом темном периоде его жизни. Периоде, когда отчаяние почти задушило надежду вырваться из цепей рабства и вернуть себе свободу и достоинство, которые у него отняли. Текст для перевода и иллюстрации заимствованы из оригинального издания 1855 года. Переводчик сохранил авторскую стилистику, которая демонстрирует, что Соломон Нортап был не только образованным, но и литературно одаренным человеком.",2 100 тг,5,Эксмо,2019 г.,9785699974306,416,Мягкий,21 мм,260 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5110830_1440426.jpeg
151 эпизод из жжизни,Гришковец Е.,"""151 эпизод жжизни"" основан на интернет-дневнике Евгения Гришковца, так же как и две предыдущие книги ""Год жжизни"" и ""Продолжение жжизни"". Читая этот дневник, вы удивитесь плотности прошедшего года.  Книга дает возможность досмотреть, додумать, договорить события, которые так быстро проживались в реальном времени, на которые не хватило сил или внимания, удивительным образом добавляя уже прожитые часы и дни к пережитым.",2 500 тг,2,Азбука-Аттикус,2011 г.,9785389019478,480,Твердый,169 мм x 130 мм,21 мм,340 г.,http://www.bookcity.kz/content/images/thumbs/5040319_1361267.jpeg
17 м/с,Дюрсо А. ,"Книга ""17 м/с"" не имеет никакого отношения к синоптикам, хотя семнадцать метров в секунду - это именно та скорость ветра, при которой перелаются штормовые предупреждения.""17 м/с"" - это путешествие по жизни со скоростью ураганного ветра. Берлин, Карибы, Панамский перешеек, Доминикана, Британские острова, Южная Африка...  Все дело в размахе крыльев. Потому что главное в этой книге - это смешные и грустные, страшные и радостные метания смятенной, смущенной, но свободной души. ""Запущенные лети со двора"", стриптизеры из Липецка, олигархи, гениальные художники, водопроводчики, иллюзионисты - смятенные души закручены ураганным потоком жизни. И жизнь эта, которая при первом рассмотрении немного напоминает дантовский ад, с высоты полета ищущих душ становится похожей на невероятную, странную сказку без плохого копна. И все это отлетает, как шелуха, когда поднимаешься со скоростью ураганного ветра вверх. И остаешься на сквозняке. В одиночестве. В предчувствии любви...",500 тг,5,АСТ,2008 г.,9785170539741,320,Мягкий,200 мм x 130 мм,18 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5002830_1324449.jpeg
2 017,Славникова О.А.,"Ольга Славникова - прозаик, литературный критик, автор романов ""Стрекоза, увеличенная до авторров собаки"", ""Один в зеркале"", ""Бессмертный"", ""Легкая голова"" и ""Прыжок в длину"". Роман ""2017"" принес Славниковой широкую известность и был удостоен премии ""Русский Букер"" в 2006 году.2017 год. Большой уральский город. Мир горных духов. Главный герой - талантливый огранщик камней, его друзья - хитники - члены закрытого клана, они одержимы добычей драгоценных камней. Его возлюбленная не называет имени, он не знает ее адреса, хотя у него есть ключи от ее квартиры…Постоянный вызов судьбе, постоянная игра. Свидание всегда назначается только одно, каждая вылазка в горы может стать последней.А вместе с тем приближается годовщина октябрьской революции и на улицах города разыгрывают театрализованные сражения красных и белых, которые превращаются в настоящий переворот!..Этот высокий триллер - первый, пожалуй, опыт, когда российский писатель, озабоченный стилем, вытачивает еще и сюжетный маховик, вращающий цепочку очень хорошо сделанных сцен.Лев ДанилкинСамый необычный и самый значительный текст о Екатеринбурге - это роман ""2017"" Ольги Славниковой.Алексей Иванов",5 000 тг,0,АСТ,2017 г.,9785179825111,608,Твердый,200 мм x 130 мм,40 мм,525 г.,http://www.bookcity.kz/content/images/thumbs/5109403_1444415.jpeg
2010 A.D.,Стогов И.,"Илья Стогоff - культовый писатель, золотое перо российской журналистики. Лауреат многочисленных премий (""Писатель года"", ""Человек года"", ""Человек книги""), его книги переведены на многие языки. Телеведущий и уборщик в берлинском кинотеатре, уличный обменщик валюты и главный редактор эротического журнала, охранник, переводчик, музыкальный обозреватель, богослов и циник - это все Стогоff. Его интеллектуальные бестселлеры изменили лицо русской литературы. После многолетнего молчания он представляет на суд читателя необыкновенный роман - кровоточащий срез современной российской жизни.    ""Не знаю, как вас, а меня тошнит от романов. Именно поэтому я столько лет их и не писал. А то, что вы сейчас держите в руках, это не роман, а газета. Не выдуманная история выдуманных людей, а просто новости. Мне хотелось сказать вам о том, что действительно важно. О том, что денег вечно не хватает, а девушек иногда бывает чересчур много. О любви, вернее о том, что между людьми давно уже не осталось никакой любви. А главное, о вечно бьющемся в подоконник дожде. Последнее время у меня в Петербурге его капли стучат в ритме хип-хопа"".  С уважением, Стогоff",2 400 тг,0,АСТ,2009 г.,9785170623259,256,Твердый,207 мм x 134 мм,17 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5009089_1330384.jpeg
4321,Остер П.,"Один человек. Четыре параллельные жизни. Арчи Фергусон будет рожден однажды. Из единого начала выйдут четыре реальные по своему вымыслу жизни – параллельные и независимые друг от друга. Четыре Фергусона, сделанные из одной ДНК, проживут совершенно по-разному. Семейные судьбы будут варьироваться. Дружбы, влюбленности, интеллектуальные и физические способности будут контрастировать. При каждом повороте судьбы читатель испытает радость или боль вместе с героем.",6 300 тг,4,Эксмо,2018 г.,9785040985029,Твердый,49 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125890_1458395.jpeg
50. Дмитрий Быков,Быков Д.Л.,"Эта книга выходит к 50-летию Дмитрия Быкова, поэтому в ней по желанию автора собраны ровно 50 его любимых стихотворений, циклов, поэм. Б первые 50 лет, как считает сам автор, он писал в основном о драматичной любви и поисках веры. И собирается написать ничуть не меньше о счастливой любви и обретенной вере.В книге собраны лучшие стихи Дмитрия Быкова о любви и о поисках Бога.",3 000 тг,2,Эксмо,2017 г.,9785040897445,352,Твердый,180 мм x 140 мм,30 мм,60 г.,http://www.bookcity.kz/content/images/thumbs/5113961_1447090.jpeg
7 красных линий,Березин А.А.,"Перед вами веселая и умная книга. Читатель, уверен, несомненно оценит и мастерство диалогов, и ироническую интонацию, и парадоксальность стиля, и уверенность руки… Запомните: в русской литературе появился новый замечательный рассказчик. С сильным неповторимым голосом. Который не спутаешь ни с чьим другим… Валерий Хаит, главный редактор одесского юмористического журнала ""Фонтан""Юмор Алексея Березина отчаянно галантен и слегка застенчив. Он убийственен, но как-то по-особенному. Как в старых добрых французских детективах, где даже убивать умудрялись элегантно и не обидно. Он ненавязчив, словно редкий и очень желанный гость, которого хочется приглашать еще и еще. А еще... впрочем, не буду портить вам приятный сюрприз. Максим Малявин, ""Блог добрых психиатров"" (https://dpmmax.livejournal.com/)В сборник вошли лучшие истории популярнейшего блогера Сибири из его ЖЖ ""Слон в колесе"" (https:// alex-aka-jj.livejournal.com/), на который подписаны более 22 000 человек. По рассказу ""Совещание"" сняты 4 короткометражные экранизации  — в России,  Украине и Великобритании. Британская версия („The Expert“) переведена на 50 языков и к 2018 г. собрала около 20 млн просмотров на YouTube.",3 000 тг,4,АСТ,2018 г.,9785171078195,320,Твердый,22 мм,265 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119680_1452495.jpeg
99 франков,Бегбедер Ф.,"Книга ""99 франков"" Фредерика Бегбедера представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы... Роман Бегбедера провокационен, написан в духе времени и весьма полемичен. В свое время он стал настоящим событием литературного сезона, а его автор, уволенный накануне публикации из рекламного агентства, покинул мир рекламы, чтобы немедленно войти в мир бестселлеров.",3 600 тг,4,Азбука-Аттикус,2017 г.,978538912660201,320,Твердый,20 мм,330 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100052_1436840.jpeg
99 франков,Бегбедер Ф.,"Книга ""99 франков"" представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы... Роман Бегбедера провокационен, написан в духе времени и весьма полемичен. В свое время он стал настоящим событием литературного сезона, а его автор, уволенный накануне публикации из рекламного агентства, покинул мир рекламы, чтобы немедленно войти в мир бестселлеров.",1 500 тг,2,Азбука-Аттикус,2015 г.,978538909543403,288,Мягкий,20 мм,150 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5069616_1409142.jpeg
Anarchy in the ukr,Жадан С.,"Культовый писатель из Харькова, лицо и голос поколения 30-летних, представляет свою личную историю революции, наполненную суицидным отчаянием молодости и праздничным духом анархии.",1 900 тг,0,Амфора,2008 г.,9785367006551,272,Твердый,185 мм x 120 мм,15 мм,248 г.,http://www.bookcity.kz/content/images/thumbs/5059827_1340294.jpeg
BIANCA,Лиханов Д.,"В русской и мировой литературе много произведений, в которых собака - центральный образ. Дмитрий Лиханов, сын известного писателя Альберта Лиханова, внес в литературную псовую галерею образ белоснежной суки Бьянки. А вместе с ней поставил тот комплекс проблем, которые так и не решились обществом со времен ""Каштанки"" и ""Белого Бима..."": отчего люди глухи к красоте? отчего не умеют любить так преданно и нежно, как собаки? почему человеческая жестокость оказывается страшнее зверя? Тонкий стилист, Дмитрий Лиханов наследует традиции прозы И.С.Турегенва, лиричной, благоуханной, точной. От книги невозможно оторваться. Ее нужно изучать в школе. Возможно, тогда не будет у нас равнодушных людей.",4 200 тг,3,Эксмо,2018 г.,9785040969128,288,Твердый,210 мм x 135 мм,15 мм,295 г.,http://www.bookcity.kz/content/images/thumbs/5125931_1458433.jpeg
d’Рим,Валиуллин Р.Р.,"""Все дороги ведут в Рим"". Что это? Город-мечта или город-сон?.. Как с ним связаны самые громкие убийства XX века? И что страшнее – преступление или последующее за ним наказание – стать самым обычным человеком, погрязнуть в трясине быта, без права на мечту? Но чем ярче мечта, тем проще нажать на курок. Тем ближе Рим. Именно Рим вечным стечением обстоятельств открыл героине романа глаза на свое истинное предназначение. Всякий раз, оказываясь в Риме, она приближалась к своей мечте настолько, что казалось, протяни руку – и достанешь. Но с мечтами никогда не было так просто, а с женскими – тем более. И вот она уже снова вглядывалась вдаль, высматривая в оптический прицел новую жертву, спрашивая себя постоянно: ""И почему для достижения мечты мне приходится заниматься бог знает чем?""",3 900 тг,5,АСТ,2019 г.,9785171138677,Твердый,7 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131439_1463805.jpeg
Deviant,Хуцишвили К.,"В погоне за успехом он постоянно откладывал ""жизнь"" на завтра. Но оказалось, что его мир хрупок, как карточный домик, и судьбы не будет. Сегодня - ты лидер, завтра - они просто не поздороваются с тобой за руку. Ведь болезнь не входит в число понятий, которые обсуждаются на коктейле по случаю очередной сделки. Deviant- история блестящих молодых людей. Классическая тема лишнего человека, гордыни и очищения - в современном исполнении и антураже нового капитализма, кризиса финансов и ценностей.",2 500 тг,0,Рипол Классик,2012 г.,9785386047924,1,Твердый,200 мм x 130 мм,15 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5027559_1348493.jpeg
Ecce homo,Ливри А. ,"Виктора Пелевина в свое время понимали очень немногие. Владимира Сорокина обходили стороной. Лондонские издатели потратили немало сил на ""раскрутку"" Владимира Набокова. Интеллектуальная литература требует особого обращения - она, как дорогое вино, проверяется временем. ""Ессе homo"" Анатолия Ливри - книга для искушенного читателя.",1 400 тг,0,Гелеос,2007 г.,9785818909295,336,Твердый,20 мм,"

                                                Сон, Ессе homo, Он, Благодать, Выздоравливающий, Схватка, Сердце земли, Весна, Ждите меня, Римская поступь, Сказка, Минута молчания., Шутка Пилата, Пробуждение, Собирание ангела, или русский лес-2007: аристократические идеи и социалистические метафоры",Неизвестно,http://www.bookcity.kz/content/images/thumbs/5059782_1334995.jpeg
Ham on Rye. Хлеб с ветчиной (рус.яз.),Буковски Ч.,"Чарльз Буковски — один из крупнейших американских писателей ХХ века, автор более чем сорока книг, среди которых романы, стихи, эссеистика и рассказы. Несмотря на порою шокирующий натурализм, его тексты полны лиричности, даже своеобразной сентиментальности. ""Хлеб с ветчиной"" — самый проникновенный роман Буковски. Подобно «Приключениям Гекльберри Финна» и ""Над пропастью во ржи"", он написан с точки зрения впечатлительного ребенка, имеющего дело с двуличием, претенциозностью и тщеславием взрослого мира. Ребенка, постепенно открывающего для себя алкоголь и женщин, азартные игры и мордобой, Д.Г.Лоуренса и Хемингуэя, Тургенева и Достоевского.",1 700 тг,5,Эксмо,2017 г.,9785699786299,352,Твердый,200 мм x 130 мм,21 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5129788_1462223.jpeg
iPhuck 10,Пелевин В.,"Порфирий Петрович - литературно-полицейский алгоритм. Он расследует преступления и одновременно пишет об этом детективные романы, зарабатывая средства для Полицейского Управления. Маруха Чо - искусствовед с большими деньгами и баба с яйцами по официальному гендеру. Ее специальность - так называемый “гипс”, искусство первой четверти XXI века. Ей нужен помощник для анализа рынка. Им становится взятый в аренду Порфирий. ""iPhuck 10"" - самый дорогой любовный гаджет на рынке и одновременно самый знаменитый из 244 детективов Порфирия Петровича. Это настоящий шедевр алгоритмической полицейской прозы конца века - энциклопедический роман о будущем любви, искусства и всего остального. #cybersex, #gadgets, #искусственныйИнтеллект, #современноеИскусство, #детектив, #genderStudies, #триллер, #кудаВсеКатится, #содержитНецензурнуюБрань, #makingMovies, #тыПолюбитьЗаставилаСебяЧтобыПлеснутьМнеВДушуЧернымЯдом, #resistance",6 800 тг,5,Эксмо,2017 г.,9785040893942,416,Твердый,200 мм x 130 мм,20 мм,390 г.,http://www.bookcity.kz/content/images/thumbs/5111053_1444666.jpeg
Lovebook/ Роман,Спарако С.,"Солидее было всего 8 лет, когда у школьных ворот она встретила Эдоардо. Она была уверена: он - любовь всей ее жизни, но тогда разница в возрасте возвела несокрушимый барьер между ними.  Пятнадцать лет спустя, после долгих и мучительных отношений с Маттео, Солидея вспоминает об Эдоардо. На этот раз достаточно набрать его имя на клавиатуре, чтоб помочь судьбе и найти его на Facebook. Казалось бы, это так просто, но у судьбы свои сроки...",2 400 тг,0,Рипол Классик,2011 г.,9785386028992,352,Мягкий,200 мм x 130 мм,20 мм,286 г.,http://www.bookcity.kz/content/images/thumbs/5055120_1339400.jpeg
Loveless,Спарако С.,"Жизнь Звево Романо, молодого и амбициозного топ-менеджера, расписана по минутам. Он успевает с блеском проводить рабочие совещания, ежедневно тренироваться в спортзале и проводить безумные ночи в барах с потрясающими красотками. Он успешен во всем, и все его обожают - и начальник, и коллеги, и все женщины вокруг. Но вдруг в его жизни происходит неожиданный поворот, и постепенно, одно за другим, он начинает терять все...",2 000 тг,0,Рипол Классик,2012 г.,9785386040239,256,Мягкий,200 мм x 130 мм,10 мм,219 г.,http://www.bookcity.kz/content/images/thumbs/5056427_1335091.jpeg
Loveушка для мужчин и женщин,Шпиллер К.,"Популярная писательница Катерина Шпиллер, в пух и прах разбившая миф о добрых любящих родителях, автор бестселлера ""Мама, не читай!"", снова вытаскивает на поверхность то, о чем все молчат. Отношения между мужчинами и женщинами. В книге Катерины не будет сглаженных углов и набивших оскомину советов про компромиссы. Увы, в жизни все не так. Книга полностью основана на реальных событиях, имена героев не изменены. Страсть, любовь, измены, предательства, разводы. Как признается автор, в какой-то степени эта книга - дуэль с собой.",2 400 тг,0,АСТ,2012 г.,9785271388873,320,Твердый,200 мм x 130 мм,16 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5037688_1360443.jpeg
"Maserati бордо, или Уравнение с тремя известными",Лапидус А.А.,"Интриг и занимательных коллизий в ""большом бизнесе"" куда больше, чем в гламурных романах. Борьба с конкурирующими фирмами - задача для старшего партнера компании ""Огромен"" Якова Рубинина отнюдь не выдуманная, и оттого так интересна схватка с противником, которому не занимать ума и ловкости.  В личной жизни Якова сплошная неразбериха - он мечется среди своих многочисленных женщин, не решаясь сделать окончательный выбор. Только чудо поможет решить личные и производственные проблемы. Но жизни всегда есть место чуду, и, кто знает, вдруг на этот раз ему повезет.",1 300 тг,0,АСТ,2008 г.,9785170525317,224,Твердый,206 мм x 133 мм,12 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5014745_1336208.jpeg
Mediaгрех,Елисеев  В.,"Дебютное произведение Виктора Елисеева ""Mediaгрех"", основанное на реальных событиях - провокационный роман-игра и роман-шок о СМИ и рекламном бизнесе в небольшом провинциальном городке, повествующий о маленьких людях и больших деньгах, об эре желтых газет и всеобщего надувательства, о сексе и настоящей любви, о том, как может сработать и к чему привести опубликованный договор о скупке человеческих душ в газете.  В традиционные устои небольшого городка врывается скандальная риторика молодёжной газеты ""Next"". Её главный редактор - Максим Линчев, известный ловелас, талантливый организатор и маркетолог. Редакция еженедельника экспериментирует с острыми темами, организовывая череду экстравагантных проектов. Репортажи из морга и звёздных гримёрок, новости ""глазами мух"", кефирные вечеринки в ночных клубах быстро находят свою аудиторию. Чтобы повысить рейтинг газеты, попавшей под давление чиновников, редколлегия проводит самую эксцентричную PR-акцию. Дерзкий рекламный ход ""желтой газеты"" бросает вызов не только обществу, но самому Богу: на страницах издания появляется договор о покупке человеческих душ - и тут же оказывается в центре всеобщего внимания. Роман Виктора Елисеева ""Mediaгрех"" - история успеха и расплаты за него. Хотите знать, сколько стоит ваша душа? Читайте ""Mediaгрех""!",2 200 тг,0,АСТ,2015 г.,9785170895786,320,Твердый,200 мм x 130 мм,23 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5068372_1408077.jpeg
"Men from the Boys, или Мальчики и мужчины",Парсонс Т.,"Men from the Boys, или Мальчики и мужчины И если бы не спасительное вмешательство старого Кена Гримвуда, бывшего солдата-спецназовца из Королевской морской пехоты, жизнь невезучего Гарри Сильвера окончательно превратилась бы в ад.",2 100 тг,0,Эксмо,2011 г.,9785699474998,352,Твердый,196 мм x 120 мм,26 мм,330 г.,http://www.bookcity.kz/content/images/thumbs/5002252_1323967.jpeg
"MESMERIZED. Павел Первый, Месмер и их эпоха","Тынянов Ю., Цвейг С., Мер","Императора Павла, одного из достойнейших государей России, убивали два раза - сначала заговорщики, не сумевшие заставить его подписать отречение, а потом историки и биографы - заложники своего суетливо-лживого времени. Многие верят, что дух Павла не обрел покой и до сих пор бродит по коридорам Михайловского замка. Но есть и более оптимистические версии, одна из которых - книга В.О.Пелевина ""Смотритель"", написанная в магическом жанре ""кувырок мышления"". ""Смотритель"" может быть прочитан по-разному. ""О чем эта книга на самом деле, будет зависеть от читателя - и его выбора"" - писали мы на каждом томе. Воспользуйтесь романом ""Смотритель"" как ключом (вернее, отмычкой) к сборнику ""Mesmerized"", куда вошли произведения: - ""Подпоручик Киже"" Ю.Тынянова, - ""Павел I"" Д.Мережковского, - ""Павел I"" В.Ходасевича, - ""Месмер"" С.Цвейга.",2 800 тг,0,Эксмо,2015 г.,9785699838134,288,Твердый,200 мм x 130 мм,20 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5110040_1417627.jpeg
