100 великих улиц и площадей,Аннина С.А.,"Книга приглашает читателя посетить самые прекрасные и неповторимые площади и улицы мира. Вы узнаете о том, какая улица самая длинная в мире, или самая зеленая, узкая или самая широкая. Вы познакомитесь с историческими событиями и архитектурными достопримечательностями, сформировавшими нынешний облик величайших площадей России, стран Европы, Азии. Ближнего Востока, Африки, Америки.",2 000 тг,0,Вече,2015 г.,9785444419731,416,Твердый,215 мм x 145 мм,33 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5068282_1407985.jpeg
100 высотных зданий,Цзиньчао Хэ,"В книге представлены 100 примеров объемно-планировочных решений типовых этажей высотных зданий, проекты которых разработаны в последние годы проектным институтом провинции Гуандун и реализованы на юге Китая. Представлены проекты выдающихся зодчих: Государственного мастера проектирования, главного архитектора Го Ичана и главного архитектора Ху Чженчжуна, к сожалению, уже ушедших из жизни, а также замечательные работы архитекторов младшего поколения. Поиск оптимального планировочного решения типового этажа высотного здания различного функционального назначения является одной из ведущих творческих задач проектирования высотных сооружений. В связи с этим представленные в книге 100 примеров весьма поучительны, они отражают эволюцию решения планировочных задач в высотном строительстве для юга Китая и отражают развитие технологии проектирования. Наряду с примерами функциональных решений книга отражает тенденции и особенности решения экономических, эстетических конструктивных...",5 800 тг,0,АСВ,2007 г.,9785930935271,132,290 мм x 220 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5007522_1329305.jpeg
1000 идей для вашего ремонта,Руцкая Т.В.,"Максимально освещены вопросы самостоятельного ремонта квартиры, установки и замены различных внутренних конструкций, внедрения дизайнерских находок в оформление интерьера. Наша книга поможет вам найти новые интересные, практичные решения и провести ремонт с минимальными временными и материальными затратами, сделать ваше жилище теплым, комфортным и уютным. Для широкого круга читателей.",1 000 тг,0,АСТ,2012 г.,9785271396021,288,Твердый,200 мм x 130 мм,16 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5013038_1334203.jpeg
1000 лучших идей для уютного дома,Неизвестно,"Шторы, покрывала и пледы, наволочки, скатерти, подарочные мешочки и салфетки, диванные валики, подушки для стульев, коврики для ванной... С этой книгой создать все это великолепие своими руками и без особых затрат украсить дом потрясающими аксессуарами так легко! Даже если вы только изучаете основы шитья, будьте уверены: лучшего помощника вам не найти! Как подобрать подходящую ткань? Как снять мерки и сделать выкройку? Как выполнить складки, окантовку и петли для пуговиц? Книга ответит на все ваши вопросы, научит конструированию, выполнению машинных и ручных швов, искусству сочетания цветов и узоров. Поддайтесь вдохновению, добавьте в мелодию вашего дома нотки яркой индивидуальности!",1 950 тг,0,Мир книги,2007 г.,9785486013614,9 мм,444 г.,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5011881_1333801.jpeg
1000 умных цветовых решений гардероба и интерьера,Отт Д.,"Правильно подобранная цветовая гамма может эффектно преобразить ваш дом и ваш имидж. В этой полной оригинальных идей и удобной в использовании книге представлено множество беспроигрышных вариантов цветовых сочетаний на все случаи жизни: от оформления интерьера до составления гардероба, от свадебной церемонии до украшения торта. Дженнифер Отт, колорист и профессиональный дизайнер интерьера из Сан-Франциско, основатель популярного агентства Jennifer Ott Design, предлагает свою помощь в подборе цветовых решений, подходящих именно вам. Разобравшись, как работают те или иные палитры, вы не только раскроете потенциал ваших излюбленных цветов, но и, возможно, найдете для себя новые вдохновляющие оттенки.",8 100 тг,3,Азбука-Аттикус,2019 г.,9785389146723,Твердый,24 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130117_1462509.jpeg
30 идей для дизайнеров Тридцать дней креатива для вдохновения и карьерного роста,Краузе Д.,"D30 – это книга для профессиональных дизайнеров, которые хотят испытать свои креативные способности и выйти на новый уровень мастерства. 30 непростых заданий за 30 дней не только станут серьезным вызовом художественному таланту, но и доставят вам массу удовольствия. Для работы потребуется все, чем обычно пользуются дизайнеры, от красок и карандашей до персонального компьютера и фотокамеры.",3 400 тг,3,Питер,2014 г.,9785496009577,256,Твердый,215 мм x 145 мм,21 мм,302 г.,http://www.bookcity.kz/content/images/thumbs/5103469_1439926.jpeg
50. Самые знаменитые достопримечательности Италии,Неизвестно,"Италия с давних времен манит и вдохновляет как великих деятелей искусства, так и простых путешественников. Великолепные соборы, дворцы, площади и древние постройки своей красотой никого не оставляют равнодушным. Эта книга дает представление о самых интересных и грандиозных достопримечательностях Италии.",2 200 тг,0,Белый город,2011 г.,9785779321501,104,Твердый,15 мм,540 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100776_1437423.jpeg
500 decoration details: Minimalism,Неизвестно,Неизвестно,6 100 тг,0,Taschen,2008 г.,9783836500982,15 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5038793_1361608.jpeg
500 полезных советов рачительному хозяину,Звонарев Н.М.,"Хотите стать рачительным хозяином, для которого нет проблем самостоятельно сделать мелкий бытовой ремонт и выполнить любую мужскую работу по дому: будь то окраска пола или заточка ножниц? Тогда эта книга - для вас! В ней Михалыч делится секретами о том, как отремонтировать мягкую мебель, сварить столярный клей, построить ледяной склад и даже сделать в домашних условиях надувной матрас!",400 тг,0,Центрполиграф,2009 г.,9785952443488,128,Мягкий,165 мм x 120 мм,5 мм,64 г.,http://www.bookcity.kz/content/images/thumbs/5023349_1344649.jpeg
American Originals,Abranowicz William,"Who are the American Originals? They are photographer William Abranowicz’s pantheon of extraordinary subjects—painters, poets, rock stars, designers, tastemakers, politicians, performers—for whom the home represents the ultimate canvas of self-expression. In every one of the more than 250 photographs, most never before published, Abranowicz’s classical sensibility for light, form, and composition mingles with his innate curiosity and sense of humor, producing stunning, unconventional portraits of these living spaces and workplaces. The text recounts Abranowicz’s personal interactions with his subjects and their homes. American Originals is sure to be an essential source of inspiration not only for interior design but also for ways of living authentically and creatively in the modern world.",45 100 тг,0,Thames & Hudson,9780865653597,Твердый,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129054_1461517.jpeg
Arch Wagne,Неизвестно,"One of Austria's most influential architects, Otto Wagner played a key role in modernizing urban architecture. Forming an approach described as structural rationalism, Wagner pioneered use of materials such as glass, steel, and especially aluminum. He was associated with the Viennese Succession, a group of artists and designers headed by Gustav Klimt that initiated a departure from the conservative style of the Viennese Kunstlerhaus.",4 000 тг,0,Taschen,2005 г.,9783822836477,96,8 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5049639_1393312.jpeg
