"(На)следственные мероприятия","Иванова В.","Когда мир и покой целого города висят на волоске, причем одного-единственного человека, казалось бы, нет ни времени, ни возможности заниматься семьей и домом. Но, как нарочно, мафиозные разборки упорно переходят из противостояния двух сторон закона в выяснение родственных и дружеских отношений. А впрочем, что удивительного? Ведь ""коза ностра"" - это прежде всего ""дела семейные"".","1 600 тг","1","Альфа-книга","2012 г.","9785992211146","416","Твердый","200 мм x 130 мм","30 мм","325 г.","http://www.bookcity.kz/content/images/thumbs/5014624_1340690.jpeg"
"100 дней до Потопа","Вознесенская Ю.Н.","В сборник ""100 дней до Потопа"" вошли две повести известной православной писательница Юлии Вознесенской. Повесть-притча ""100 дней до Потопа"" основана на библейском сюжете. Но история эта и о нашем времени, о том, слышим ли мы предупреждения Святого Писания, или все повторяется, как во времена Всемирного Потопа, когда Ной сто лет звал людей ко спасению, а откликнулись лишь звери. ""Сын Вождя"" - книга о нашем прошлом. Однажды на даче под Петербургом, где гостила Юлия Николаевна, между гостями зашел разговор о мумии Ленина, и один из них поведал удивительную историю. Она и вдохновила писательницу на создание повести.","2 400 тг","0","Вече","2016 г.","9785444448977","256","Твердый","200 мм x 130 мм","18 мм","35 г.","http://www.bookcity.kz/content/images/thumbs/5084629_1423606.jpeg"
"11/22/63","Кинг С.","Стивен Кинг - один из самых популярных писателей нашего времени. Его читают подростки и взрослые, женщины и мужчины - все, кто стремится лучше понять себя и других, а также изменчивый и непредсказуемый мир, в котором мы живем… Этот роман безоговорочно признают лучшей книгой Стивена Кинга и миллионы фанатов писателя, и серьезные литературные критики. …Убийство президента Кеннеди стало самым трагическим событием американской истории ХХ века. Тайна его до сих пор не раскрыта.Но что, если случится чудо? Если появится возможность отправиться в прошлое и предотвратить катастрофу? Это предстоит выяснить обычному учителю из маленького городка Джейку Эппингу, получившему доступ к временному порталу. Его цель - спасти Кеннеди. Но какова будет цена спасения? Тайна его до сих пор не раскрыта. Но что, если случится чудо? Если появится возможность отправиться в прошлое и...","6 400 тг","5","АСТ","2015 г.","9785170789016","800","Твердый","200 мм x 130 мм","40 мм","685 г.","http://www.bookcity.kz/content/images/thumbs/5020614_1382860.jpeg"
"2012. Лава и пепел","Грин Д.","2012 год.  Сбылись самые страшные пророчества о конце света. Чудовищное извержение Йеллоустонского супервулкана, равное по мощи миллиардам Везувиев и миллиону Хиросим, поставило человечество на грань полного уничтожения. ПолАмерики залито лавой, полмира засыпано ядовитым пеплом, солнечному свету не пробиться сквозь дым пожарищ и пепельные тучи, на Землю опускается вечная ночь и многолетняя зима. Тем, кому повезло спастись от испепеляющего огня с небес, грозит еще более мучительная смерть от голода и холода... «2012» + LAVA Online + «Лава и пепел» Самая громкая кинопремьера года! Самая культовая компьютерная игра! Самый крутой фантастический боевик о грядущей катастрофе!","1 600 тг","0","Эксмо","2009 г.","9785699390953","320","200 мм x 130 мм","24 мм","258 г.","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5013749_1335243.jpeg"
"2024-й","Никитин Ю.А.","Новый шокирующий и скандальный роман о завтрашнем дне, в который войдем уже в этом году и пойдем дальше… благодаря новым технологиям! Впереди маячил Таргитай, разорванные на заднице портки болтало по ветру. — Тарх! — рявкнул Мрак. — Мрак, — сказал Таргитай робко, — я вижу эти белокожие березы, что, как девушки, собрались стайкой, смеются и шепчутся, вот-вот пой¬дут в хороводе… зрю могучие дубы, так похожие на тебя, солнечные лучи проникают сквозь листву, а она светится странно и таинственно... Пу¬шистые облака над деревьями похожи на невинных барашков, их подсвечи¬вает солнце, они осыпаны золотым песком, чистым и невесомым... Мир велик и прекрасен... Но куда смотришь ты?","1 400 тг","0","Эксмо","2009 г.","9785699334131","480","Твердый","200 мм x 130 мм","31 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5003629_1325519.jpeg"
"451' по Фаренгейту","Брэдбери Р.","""451° по Фаренгейту"" — роман, принесший писателю мировую известность. 451° по Фаренгейту — температура, при которой воспламеняется и горит бумага. Философская антиутопия Рэя Брэдбери рисует беспросветную картину развития постиндустриального общества это мир будущего, в котором все письменные издания безжалостно уничтожаются специальным отрядом пожарных, а хранение книг преследуется по закону, интерактивное телевидение успешно служит всеобщему оболваниванию, карательная психиатрия решительно разбирается с редкими инакомыслящими, а на охоту за неисправимыми диссидентами выходит электрический пес…","2 800 тг","5","Эксмо","2016 г.","9785699936670","272","Твердый","165 мм x 107 мм","20 мм","210 г.","http://www.bookcity.kz/content/images/thumbs/5096776_1434789.jpeg"
"50x50","Гаррисон Г.","В книгу вошли 50 рассказов, отобранных гран-мастером научной фантастики на свое пятидесятилетие, потому и «50х50». Почему он сделал выборку из рассказов, а скажем, не из знаменитого «Мира смерти» или из цикла о похождениях Стальной Крысы? Потому что, по словам Гаррисона, «именно на рассказах писатель овладевает своим ремеслом. Скупо, целенаправленно, жестко, плотно. Ни одного лишнего слова, никакого потакания своим слабостям.","4 600 тг","1","Азбука-Аттикус","2016 г.","9785389107977","768","Твердый","200 мм x 130 мм","36 мм","690 г.","http://www.bookcity.kz/content/images/thumbs/5087944_1426495.jpeg"
"5-ая волна","Янси Р.","Первая волна оставила за собой мглу. От второй успели убежать только самые везучие. Но едва ли можно назвать везучими тех, кто уцелел после третьей. А четвертая волна стерла все человеческие законы, взамен же установила свой, один-единственный: хочешь жить - не верь никому. И вот уже накатывает пятая волна, и Кэсси уходит в неизвестность по усеянной останками людей и машин автостраде. Она спасается от тех, кто лишь с виду человек от похитителей ее маленького брата от умелых и ловких убийц, которые ведут зачистку захваченной планеты. В этом новом мире выживают только одиночки. Найти напарника - значит, на порядок уменьшить свои шансы. Прибиться к группе - значит, погибнуть наверняка. Кэсси неукоснительно следует этому правилу... до тех пор, пока не встречает Эвана Уокера. И теперь она вынуждена выбирать - между доверием и отчаянием, между борьбой и капитуляцией, между жизнью и смертью.","3 800 тг","4","Азбука-Аттикус","2015 г.","9785389106970","480","Твердый","215 мм x 145 мм","24 мм","495 г.","http://www.bookcity.kz/content/images/thumbs/5081781_1420457.jpeg"
"Assassin`s Creed. Origins. Клятва пустыни","Боуден О.","Египет, 70 год до н. э. Мирная деревушка Сива, что находится посреди оазиса, почти не знает горя. Но однажды сюда прибывает гонец с загадочным посланием для местного защитника, и тот вынужден покинуть родной дом, жену и подрастающего сына. Мучимый вопросами, ответить на которые может только оставивший Сиву отец, Байек отправляется следом. Юноша не догадывается, что за его отцом и за ним самим охотится опасный наемник, посланный таинственным орденом древних, чтобы пресечь род ""защитников Египта"" - меджаев. Так начинается противостояние двух орденов, которое продлится века и перерастет в настоящую войну - войну ассасинов и тамплиеров.","3 400 тг","5","Азбука-Аттикус","2018 г.","9785389140110","384","Твердый","22 мм","430 г.","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123354_1456056.jpeg"
"Assassin’s Creed. Преисподняя","Боуден О.","Лондон, 1862 год. Борьба ассасинов с тамплиерами не только не прекратилась, она разгорается с тех пор, как в нее был вовлечен юноша по прозвищу Призрак. Когда-то у него было настоящее имя, Джайдип Мир. Он рос в семье любящих родителей и воспитывался согласно кредо братства, но суровый учитель Итан Фрай обнаружил в мальчике недостаток, который помешал Джайдипу стать настоящим ассасином и заставил бежать и от семьи, и от братства на другой край земли... Однако именно ему предстоит или сокрушить лондонских тамплиеров, или молча наблюдать за их триумфом над ассасинами. Основой для книги послужила популярная видеоигра компании «Ubisoft». Впервые на русском языке!","3 300 тг","5","Азбука-Аттикус","2018 г.","9785389133129","416","Твердый","21 мм","425 г.","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120118_1452930.jpeg"
