(Пост) феноменология. Новая феноменология во Франции и за ее пределами,"Левинас Э., Анри М., Марион Ж.","Феноменология - одно из самых влиятельных философских направлений XX века, сформировавшееся в трудах Гуссерля и Хайдеггера. Психотерапия и деконструкция, экзистенциализм и теория искусства, философия науки и ре­лигиозная мысль в тор или иной степени испытали ее влияние. Одной из самых ярких и масштабных форм феноменологии за пределами Германии стала фран­цузская феноменология. В настоящем издании представлены переводы важных работ, написанных ведущими французскими, бельгийскими, швейцарскими феноменологами (Э.Левинас, М.Анри, Ж.-Л.Марион, М.Мерло-Понти, М.Ри-шир, Р.Вернет, А.Мальдине и Ж.Бенуа), а также комментарии к ним. Соста­вители назвали этот сборник ""(Пост)феноменология"", чтобы подчеркнуть, что речь идет не о преодолении феноменологии, которая всегда существует, выходя за свои собственные границы, превосходя самое себя, а, скорее, - о раскрытии новых горизонтов для феноменологических исследований.",3 550 тг,0,Академический проект,2014 г.,9785984261401,288,Твердый,215 мм x 145 мм,19 мм,400 г.,http://www.bookcity.kz/content/images/thumbs/5062062_1402537.jpeg
100 великих мецентатов и филантропов,Ломов В.М.,"Любовь к людям, доброжелательное отношение к человеку вообще, жертвование своим временем, деньгами, репутацией ради благотворительности. Помощь нуждающимся, человеколюбие. Широкая поддержка и покровительство наукам, искусству и образованию. Таковы основные черты филантропии и меценатства. Очередная книга серии рассказывает о самых знаменитых меценатах и филантропах - от древности и до наших дней. Среди них были - Птолемеи, Меценат, Акбар Великий, Рудольф II, Людовик XIV, Ф.П.Гааз, И.В.Цветаев, Бахрушины, П.М.Третьяков, Людвиг II Баварский, С.Т.Морозов, мать Мария, мать Тереза и многие другие.",1 700 тг,0,Вече,2015 г.,9785953364249,416,Твердый,215 мм x 145 мм,32 мм,370 г.,http://www.bookcity.kz/content/images/thumbs/5068284_1407987.jpeg
50 великих книг о пути к истине,Вяткин А.Д.,"На земле всегда были люди, которые посвящали свою жизнь поискам Истины. Наиболее выдающиеся из них, несмотря на все свои заблуждения, интеллектуальные, этические и философские тупики, оставили след в истории духовных исканий. Некоторые из них становились убежденными проводниками высшей истины, другие же, напротив, подходили к этому вопросу ненароком, в силу особых врожденных свойств их личности или жизненных обстоятельств. Есть среди них немало и таких, которые в своих исканиях забирались в такие метафизические дебри, что, в конечном итоге, наносили огромный вред не только себе, но и другим. Здесь вы получите наиболее полный обзор идей и особенностей таких личностей, а также перечень книг, где сможете узнать о них подробную информацию.",3 900 тг,1,Эксмо,2014 г.,9785699688630,416,Твердый,200 мм x 145 мм,26 мм,520 г.,http://www.bookcity.kz/content/images/thumbs/5109759_1439783.jpeg
50 великих книг по философии,Батлер-Боудон Т.,"Все, что нужно знать о философии, но так сложно заставить себя изучить. ""50 великих книг по философии"" содержит ключевые идеи, концепции и имена в изложении знаменитого популяризатора Тома Батлера-Боудона. Лаконичные и одновременно глубокие обзоры 50 главных текстов ""матери всех наук"" дают полное представление о работах Аристотеля, Сократа, Платона, Конфуция, Артура Шопенгауэра, Жан-Жака Руссо, Бенедикта Спинозы Жан-Поля Сартра, Фридриха Ницше, Рене Декарта, Иммануила Канта, Нассима Николоса Талеба и других столпов философии - от античности до наших дней.",5 600 тг,0,Эксмо,2019 г.,9785041030353,Твердый,20 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132738_1465072.jpeg
"Sub specie aeternitatis, или с точки зрения вечности",Бердяев Н.,"Имя Николая Александровича Бердяева (1874-1948) -выдающегося христианского и политического мыслителя, проповедника философии личности и свободы в духе религиозного экзистенциализма и персонализма - вписано в историю не только русской, но и мировой культуры.  В книге ""Sub specie aeternitatis"", названной по одноименному высказыванию Спинозы ""С точки зрения вечности, представлены публикации Бердяева, освещающие вопросы философии, социологии, этики, религии и политики, в том числе в разрезе идеализма, консерватизма, марксизма, модернизма, нового христианства. Написанная простым, но глубоким языком, данная книга будет интересна широкому кругу читателей.",3 500 тг,0,Т8 RUGRAM,2018 г.,9785521067770,486,Твердый,215 мм x 145 мм,35 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5127182_1459675.jpeg
"Vita Activa, или о деятельной жизни. 2-е изд., испр.и доп",Ханна Арендт,"Не служат ли повседневный труд, планирующе-изготовительная деятельность, наукотехника и даже отчасти художественное творчество бегству от политического действия, из открытого публичного мира? Ханна Арендт склонна отвечать на этот вопрос положительно. Ее тревожит состояние современного социума, замкнувшегося в деловитости производства и потребления. Незатребованными остаются исторические возможности свободного личного поступка. Широкому систематическому анализу в книге подвергнуты исходные нужды и условия человеческого существования, основные виды человеческой деятельности и прежде всего поворот человеческой истории, связанный с переносом центра тяжести на науку и вторжением человечества в космос. Эта книга является главным трудом по политической теории, заложившим фундамент этой науки в XX веке. Одно из редких философских произведений современности, способное увлечь любого образованного читателя.",11 100 тг,4,Ад Маргинем Пресс,2017 г.,9785911033217,416,Твердый,240 мм x 180 мм,36 мм,830 г.,http://www.bookcity.kz/content/images/thumbs/5126541_1459029.jpeg
Автопортрет в кабинете,Агамбен Дж.,"Это поэтическое эссе одной из главных фигур современной интеллектуальной мысли Джорджо Агамбена (род. 1942). Демонстрируя своему читателю кабинеты, в которых ему приходилось работать, итальянский философ пытается выстроить свой автопортрет через находившиеся там вещи. Для Агамбена рассуждать о себе оказывается возможным только говоря о других: поэтах, философах, художниках, друзьях, которые создали его воспоминания и вдохновили его на письмо. Поэтому автопортрет философа оказывается неразрывно связан с Мартином Хайдеггером и его семинарами в Ле Торе, книгами Ханны Арендт, итальянской интеллигенцией и философскими размышлениями о природе памяти, любви и письме.",5 500 тг,0,Ад Маргинем Пресс,2019 г.,9785911034528,Мягкий,9 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127243_1459736.jpeg
Антихрист. Ecce Homo,Ницше Ф.,"В сборнике представлены два произведения Фридриха Ницше - ""Антихрист"" и ""Ecce Homo"" - последние, написанные им до того, как безумие окончательно поглотило его разум. ""Антихрист"" - скандальная книга, где Ницше ставит под вопрос сущность христианства, книга-протест против выбранного церковью пути. ""Ecce Homo"" - набор автобиографических заметок, написанных, по словам Ницше, за месяц.",1 100 тг,0,Эксмо,2018 г.,9785699869923,Мягкий,14 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127605_1460101.jpeg
Античная философия,"Матвеев С., Тимощук А., Дворян","""Античная философия"" - экскурс в традицию античного философствования. В работе подробно разбираются концепции ведущих философов античности: онтология, космология, антропология, этика, эстетика, проводится сравнительный анализ и излагается суть их учений. Ключевые сравнения и рассматриваемые явления: вода и потоп апейрон Анаксимандра происхождение богов из воздуха и приспособляемость организмов метемпсихоз гибель мира от огня у Гераклита теория идей Платона греческие божества Единое Ксенофана атомизм Демокрита Анаксагор Горгий демиург киники скептицизм и скепсис Пирона блаженство Эпикура концепция героя в эллинизме катафатическое богословие триада Прокла. Книга предназначена для всех, кто интересуется древней философией, а также будет полезна студентам, аспирантам, преподавателям философских и филологических факультетов.",3 400 тг,3,Амрита-Русь,2017 г.,9785000538289,352,Мягкий,200 мм x 145 мм,18 мм,305 г.,http://www.bookcity.kz/content/images/thumbs/5099730_1433574.jpeg
Апокалипсис нашего времени,Розанов В.В.,"Творчество и взгляды Василия Розанова вызывают очень противоречивые оценки, но значимость его философской мысли трудно переоценить. Проблемы, занимавшие мысли Розанова, связаны с морально-этическими, религиозно-идейными оппозициями — метафизика и христианство, эротика и метафизика, православие и нигилизм, этический нигилизм и апология семьи. В каждой из них Розанов искал пути к снятию противоречий, к такой схеме их взаимодействий, при которой отдельные части оппозиции становятся разными проявлениями одних и тех же проблем в существовании человека. В эгу книгу вошли наиболее известные произведения Василия Розанова ""Опавшие листья"" и ""Апокалипсис нашего времени"".",4 300 тг,4,Эксмо,2015 г.,9785699791590,640,Твердый,200 мм x 130 мм,-87 мм,575 г.,http://www.bookcity.kz/content/images/thumbs/5072775_1412210.jpeg
