12 этюдов для фортепиано,Скрябин А.,"Вашему вниманию предлагается нотное издание ""А. Скрябин. 12 этюдов для фортепиано. Сочинение 8"".",2 800 тг,0,Композитор,2012 г.,9790660066027,60,Мягкий,290 мм x 220 мм,5 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5127426_1336806.jpeg
125 упражнений в пассажах,Черни К.,"Издание содержит популярные в фортепианной практике этюды выдающегося австрийского педагога, пианиста и композитора. Исполняя пассаж, музыкант, во-первых, переходит в быстром темпе из одного регистра в другой, а во-вторых, пассажи часто соединяют между собой различные темы произведения.Предназначается для учащихся детских музыкальных школ. (уровень сложности: средний - выше среднего - сложный).",4 100 тг,1,Шабатура Д.М,2017 г.,9789857095902,64,Мягкий,15 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116167_1449110.jpeg
15 виртуозных этюдов. Для фортепиано. Для учащихся ДМШ и музыкальных училищ,Мошковский М.,Неизвестно,3 500 тг,1,Шабатура Д.М,2016 г.,9789857024841,Мягкий,3 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123772_1456479.jpeg
160 восьмитактовых упражнений,Черни К.,"Карл Черни — австрийский пианист и композитор чешского происхождения считался в Вене одним из лучших преподавателей игры на фортепиано. Знаменит созданием огромного количества этюдов для фортепиано.Карл Черни родился в семье пианиста и педагога Венцеля (Вацлава) Черни, ставшего первым учителем Карла. Под его руководством Карл начал концертировать в 9-летнем возрасте. В 1800—1803 годах обучался игре на фортепиано у Людвига ван Бетховена. В этот же период учился у И.Н. Гуммеля и Муцио Клементи.До 1815 года вёл концертную деятельность: ему Людвиг ван Бетховен доверил исполнение своего Третьего фортепианного концерта. Однако в 1815 году Черни прекратил фортепианное исполнительство и сосредоточился на педагогике и композиции. Работал преимущественно в Вене, за исключением нескольких гастрольных поездок в Лейпциг (1836), в Париж и Лондон (обе в 1837 году).В середине XIX века Черни считался одним из крупнейших преподавателей игры на фортепиано. К числу его учеников принадлежали выдающиеся музыканты второй половины века: Ференц Лист, Сигизмунд Тальберг, Теодор Лешетицкий, Леопольд де Мейер, Теодор Куллак и многие другие.Творческое наследие Карла Черни насчитывает больше 1000 опусов, состав некоторых приближается к 50 и более номерам. Также Черни создал множество литературно-методических книг, посвящённых проблемам преподавания игры на фортепиано. Помимо собственных сочинений, Карл Черни создал собственные редакции «Хорошо темперированного клавира» И. С. Баха и сонат Доменико Скарлатти, а также клавираусцуги опер, ораторий, симфоний и других оркестровых произведений.",4 300 тг,1,Шабатура Д.М,2017 г.,9789857095889,76,Мягкий,5 мм,160 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116149_1449092.jpeg
"18 ноктюрнов для фортепиано. Составление, редакция и предисловие Ференца Листа. Ноты",Филд Д.,"Джон Филд - ирландский композитор, пианист-виртуоз, педагог. Большую часть жизни провел в России. Филд является создателем ноктюрна как жанра фортепианной музыки. Сейчас его ноктюрны и другие фортепианные сочинения, среди которых концерты, сонаты, вариации, фантазии, рондо и фуги, входят в репертуар многих пианистов. Учебное пособие адресовано пианистам, педагогам и учащимся музыкальных учебных заведений.",6 100 тг,0,Лань-Пресс,2018 г.,9785811429400,116,Мягкий,215 мм x 145 мм,10 мм,465 г.,http://www.bookcity.kz/content/images/thumbs/5125540_1458076.jpeg
24 прелюдии. Сочинение 11: Для фортепиано,Скрябин А.,Неизвестно,2 700 тг,1,Музыка,9790706373218,4 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122963_1455689.jpeg
24 прогрессивных упражнения,Черни К.,"""24 прогрессивных подготовительных упражнения"" (соч. 636) к ""Искусству беглости пальцев"" (соч. 740) названы так самим автором - выдающимся фортепианным педагогом К.Черни.Сборник этих этюдов является ценным учебно-педагогическим пособием для дальнейшего совершенствования технического развития учащихся-пианистов средних и старших классов ДМШ и ДШИ.",3 300 тг,1,Шабатура Д.М,2017 г.,9789857095841,52,Мягкий,10 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116155_1449098.jpeg
30 технических этюдов,Черни К.,"Репринтное нотное издание Czerny, Carl ""30 Etudes de Mecanisme, Op.849"". Жанры: Studies For piano Scores featuring the piano For 1 player.",3 600 тг,3,Шабатура Д.М,2017 г.,9789857095858,56,Мягкий,5 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116169_1449112.jpeg
50 характерных и прогрессивных этюдов,Лемуан А.,Неизвестно,3 700 тг,2,Шабатура Д.М,2018 г.,97898571924100,Мягкий,3 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123747_1456455.jpeg
50 характерных и прогрессивных этюдов,Лемуан А.,Неизвестно,3 200 тг,2,Музыка,9790706373478,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5010321_1332980.jpeg
