100 Великих исчезновений,Непомнящий Н.Н.,100 Великих исчезновений (12+),3 600 тг,5,Вече,2018 г.,9785444437544,416,Твердый,215 мм x 145 мм,31 мм,375 г.,http://www.bookcity.kz/content/images/thumbs/5084639_1423615.jpeg
108 техник медитаций. Преодоление страха и искусство Радости,Доля Р.,"Что такое медитация и что она дает? Медитацию нельзя назвать только состоянием, это не образ мыслей и не образ жизни, это не созерцание, это все вместе, и это больше. Ее можно познать, но нельзя объяснить. Зато можно постараться объяснить, что приносит медитация человеку. Она помогает вам обратиться внутрь себя и осознать скрытую мощь, которая заложена в каждом человеке. С помощью медитации вы не только расслабляетесь, но и умножаете здоровье.",3 300 тг,3,Амрита-Русь,2016 г.,9785413007891,208,Твердый,200 мм x 145 мм,9 мм,288 г.,http://www.bookcity.kz/content/images/thumbs/5121844_1454606.jpeg
14 000 заговоров сибирской целительницы,Степанова Н.И.,"Этот большой сборник заговоров сибирской целительницы Натальи Степановой подготовлен на основе вопросов и писем ее читателей. ""14000 заговоров сибирской целительницы"" - это одна из самых полных публикаций Натальи Степановой последних лет. В этой книге вы найдете уникальные, проверенные веками заговоры, обряды, обереги, с помощью которых можно защитить себя, своих родных и близких от зависти, порчи, злого слова, обрести силу, обезопасить себя от происков врагов, наладить отношения в семье. Вы узнаете о том, как отчитать сердечные хвори, справиться с самыми тяжелыми заболеваниями, как уберечь своего ребенка от бед и несчастий, позаботиться о его здоровье и помочь стать счастливым.",7 100 тг,4,Рипол Классик,2019 г.,9785386133207,Твердый,40 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133432_1460811.jpeg
"7 дней магии. Ритуалы, медитации, рецепты, тайны",Дуган Э.,"Амулеты, травы, минералы, Таро - это, поверьте, далеко не все атрибуты магии. Удивительная сила чародейства кроется и в таком обыденном понятии, как день недели. Особые энергии каждого из дней способны многократно увеличить силу соответствующих природных элементов, заклинаний и ритуалов. Эллен Дуган неоднократно подчеркивает, что в магии нет ничего сложного. Все, что от вас требуется - желание и, конечно, знания. В этой книге вы найдете максимум полезной информации для того, чтобы использовать энергию каждого дня себе и окружающим на благо. Автор предлагает не откладывать практику на потом и дает все необходимые рекомендации, а также рассказывает, какие вспомогательные материалы необходимы для того, чтобы вы смогли достичь успеха в магическом творчестве прямо сейчас.",8 000 тг,2,Весь,2019 г.,9785957328599,400,Твердый,215 мм x 145 мм,28 мм,570 г.,http://www.bookcity.kz/content/images/thumbs/5091884_1429823.jpeg
7 ключей для вдохновения. Суфийская энергетическая практика,Третьяков Н.,"Суфийская практика - это не только одна из самых древних мистических традиций. Она является тонким знанием психологии человека, удивительно стройной системой знаний для развития личности. Безусловная ценность суфийской практики состоит в том, что она очень гибко встраивается в современные условия жизни человека, помогает в решении его насущных жизненных задач, улучшая все его способности.Данная книга поможет вам не только найти свое предназначение, но и ощутить покой, любовь, здоровье и счастье, приобрести все то, к чему так давно стремится ваша душа. Вы научитесь выстраивать прочные отношения, представлять свои интересы в обществе: не зависеть от чужого мнения, а главное, что все улучшения и преобразования вы сможете увидеть сразу же после применения первого ""инструмента-ключа"".Эта книга - ""Клондайк"" редчайших энергетических практик, авторских упражнений, специальных методик, направленных на развитие сверхспособностей человека и познание накопленной многотысячелетней мудрости.",2 500 тг,4,Диля,2014 г.,9785423601690,192,Мягкий,240 мм x 170 мм,10 мм,245 г.,http://www.bookcity.kz/content/images/thumbs/5043641_1385680.jpeg
9000 заговоров сибирской целительницы,Степанова Н.И.,"Новый сборник сибирской целительницы Натальи Степановой подготовлен на основе вопросов и писем ее читателей, полученных в 2007-2010 годах. Это - одна из самых полных публикаций Натальи Степановой последних лет. В книге читатель найдет уникальные, проверенные веками заговоры, обряды, обереги, с помощью которых можно защитить себя, своих родных и близких от зависти, порчи, злого слова, обрести силу, обезопасить себя от происков врагов, наладить отношения в семье, узнает, как отчитать сердечные хвори, справиться с самыми тяжелыми заболеваниями, как уберечь своего ребенка от бед и несчастий, позаботиться о его здоровье и помочь стать счастливым.",6 400 тг,5,Рипол Классик,2017 г.,9785386026097,1024,Твердый,165 мм x 120 мм,47 мм,1074 г.,http://www.bookcity.kz/content/images/thumbs/5004028_1325215.jpeg
Avataran. Мантры-Бхаджаны DVD,Неизвестно,Фильм-концерт музыкальной группы «Avataran» Мантры-Бхаджаны. Съемки проходили в Ришикеше (Индия).,2 600 тг,0,Не указано,2200001428010,13 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5045516_1368887.jpeg
Авестийская астрология. Сборник материалов конференции. Часть 1,Глоба П.П.,"Данный сборник содержит материалы международной научно-практической конференции  “Авестийская  астрология”, инициатором проведения которой является известный астролог Павел Павлович  Глоба.  В  своих  докладах  авторы делятся наработками в области практической и теоретической астрологии. Сборник  будет  интересен  не  только  профессиональным астрологам, но и всем любознательным людям, желающим расширить горизонты своего познания.",4 800 тг,0,Авестийская школа астрологии,2011 г.,9789856951094,376,Мягкий,200 мм x 145 мм,15 мм,365 г.,http://www.bookcity.kz/content/images/thumbs/5009753_1330086.jpeg
Авестийская астрология. Сборник материалов конференции. Часть 2,Глоба П.П.,"Во второй части сборника представлены материалы пресс-конференции известного астролога Павла Павловича Глобы и лекции первооткрывателя Аркаима, доктора исторических наук Геннадия Борисовича Здановича. Книга адресована не только профессиональным астрологам, но и всем любознательным людям, желающим расширить горизонты своего познания.",3 600 тг,0,Авестийская школа астрологии,2011 г.,9789856951117,120,Мягкий,202 мм x 150 мм,5 мм,170 г.,http://www.bookcity.kz/content/images/thumbs/5015188_1336785.jpeg
Автобиография духовно неправильного мистика,Ошо,"Даже спустя почти двадцать лет после его ухода идеи и деятельность Ошо вызывают противоречивые реакции и мнения. Уже новые поколения задаются вопросами: ""Кто такой этот ""духовно неправильный мистик""?"" Почему он воспринимается так неоднозначно? Как переживается просветление и что оно несет человеку, достигшему его? Эта книга составлена из цитат различных бесед Ошо, а также из отрывков его интервью журналистам и ответов на вопросы слушателей, в которых он рассказывает о своей жизни и своей работе. Составленные в хронологическом порядке эти цитаты создают целостное повествование, наполненное ароматом живого общения с мастером и дающее нам возможность прикоснуться - насколько это возможно через чтение книги - к необычным переживаниям необычного человека, увидеть неповторимый рисунок его жизни-вызова, жизни-пробуждения, жизни-любви. И найти ответы на вопросы - не столько об Ошо, сколько о самих себе… О чем книга Не раз Ошо спрашивали, почему бы ему не написать...",4 700 тг,0,Весь,2017 г.,9785957329961,416,Твердый,215 мм x 145 мм,24 мм,505 г.,http://www.bookcity.kz/content/images/thumbs/5075109_1414367.jpeg
Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно
Автобиография йога,Йогананда П.,"Перед вами автобиография известного йогина Парама-хансы Йогананды - человека, изменившего жизни миллионов людей. Книга была написана в 1946 году, но и по сей день остается бестселлером и даже становится всё более и более популярной. Свами Йогананда большую часть своей жизни провел на Западе, открывая людям учение йоги так, как это еще никому не удавалось - миллионы последователей и восторженных читателей, число которых спустя 70 лет продолжает увеличиваться. Книга переведена на 28 языков и представляет собой результат многолетнего труда, которым Йогананда хочет поделиться, чтобы помочь людям реализовать свой Божественный потенциал. Читатель может лишь догадываться, насколько его сознание окружено плотным забором из невидимых рамок, ограничено стереотипами, придуманными обществом. В этой книге автор показывает, что возможности человеческого сознания не имеют границ и, что чудеса в нашей жизни вполне реальны. Росток волшебства есть в каждом, и эта книга вдохновляет нас питать его...",6 400 тг,5,Амрита-Русь,2019 г.,9785413016336,528,Твердый,215 мм x 145 мм,28 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5110505_1438333.jpeg
Автобиография йога,Йогананда П.,"Перед вами автобиография известного йогина Парамахансы Йогананды - человека, изменившего жизни миллионов людей. Книга была написана в 1946 году, но и по сей день остается бестселлером и даже становится всё более и более популярной. Свами Йогананда большую часть своей жизни провел на Западе, открывая людям учение йоги так, как это еще никому не удавалось - миллионы последователей и восторженных читателей, число которых спустя 70 лет продолжает увеличиваться. Книга переведена на 28 языков и представляет собой результат многолетнего труда, которым Йогананда хочет поделиться, чтобы помочь людям реализовать свой Божественный потенциал. Читатель может лишь догадываться, насколько его сознание окружено плотным забором из невидимых рамок, ограничено стереотипами, придуманными обществом. В этой книге автор показывает, что возможности человеческого сознания не имеют границ и, что чудеса в нашей жизни вполне реальны.",3 300 тг,5,Амрита-Русь,2018 г.,9785413015568,528,Мягкий,200 мм x 145 мм,27 мм,455 г.,http://www.bookcity.kz/content/images/thumbs/5104915_1441320.jpeg
Автобиография. Объяснение йоги,Айенгар Б.К.С. ,"В данную книгу вошли биографические работы автора, даётся определение йоги и описание патанджала-йоги. Весь данный труд стал результатом вдохновения от слов Патанджали, чья мудрость проходит через восемь лепестков (аштанга) йоги, а именно яму, нияму, асану, пранаяму, пратьяхару, дхарану, дхяьну и самадхи. Их синтетическое описание призвано зажечь у читателей интерес и вдохновить их на практику йоги.",4 500 тг,1,Флинта,2018 г.,9785897505029,352,Твердый,20 мм,375 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119713_1452528.jpeg
Агарта и Шамбала: избранные статьи,Каждан Л.М.,"Данный сборник статей и материалов - первая книга молодого востоковеда и исследователя мифологии Льва Каждана. В центре внимания автора - мифы и сказания народов мира о подземных царствах и их жутких обитателях, а также отражение тематики легендарных Агарты и Шамбалы в художественной литературе новейшего времени.",5 100 тг,0,ИПЛ,2016 г.,9785426002203,96,Мягкий,200 мм x 145 мм,6 мм,90 г.,http://www.bookcity.kz/content/images/thumbs/5092530_1430445.jpeg
"Агни Йога. Глаз добрый. Легенды, притчи, сказки","Рерих Н.К., Рерих Е.И.","Супруги Николай и Елена Рерих — эзотерические философы, писатели, общественные деятели, основатели религиозно-философского учения, известного всему миру под именем Агни Йога, или Живая Этика. В этом сборнике представлено произведение «Агни Йога» — один из основных текстов учения Живой Этики, записанный Еленой Рерих в ходе бесед с Махатмой Морией — загадочным Учителем Мудрости, вопрос о существовании которого до сих пор открыт. Также в издание включены статьи Николая Рериха под общим заглавием «Глаз добрый», его легенды, притчи и сказки. Наследие семьи Рерих значительно обогатило русскую философскую мысль, изобразительное искусство, литературу. По сей день на этом наследии основывает свою деятельность Международный Центр Рерихов, в конференциях которого принимают участие представители самых разных стран от Аргентины до Индии. А значит идея супругов Рерих о преображении жизни человечества через утверждение ценностей, общих для всех народов, не теряет своей актуальности. 
«Спросят: как перейти жизнь? Отвечайте: как по струне бездну — красиво, бережно и стремительно».
Николай Рерих",2 600 тг,5,АСТ,2019 г.,9785171162740,Твердый,50 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133346_1465441.jpeg
Агни-йога,"Рерих Е., Рерих Н.","Книги ""Агни-йога"" и ""Мир огненный"", из которых состоит этот сборник, дают представление о сути и смысле учения Живой Этики - пожалуй, самого известного эзотерического труда XX века. Его создатели - Николай и Елена Рерих. Культура нового общества, которая опирается на космический Закон, описание принципов трансформации энергий человеческих чувств и мыслей и вытекающие из этого нравственные наставления для будущих поколений - так широко и подробно не была изложена ни одна концепция нового мира, который должен сформироваться после грядущего очищения Огнем. Всего корпус Агни-йоги состоит из 14 книг, которые издавались на русском языке в 20-30 гг. в Риге и Париже. В настоящее время они переведены на многие мировые языки, а во всем мире до сих пор существуют различные общества последователей Живой Этики. Наверное, это является лучшим доказательством того, что в свое время чета Рерихов не только находилась в авангарде эзотерической философии, но и во многом опередила свое время, оставив огромный задел на будущее другим поколениям.",3 500 тг,5,АСТ,2018 г.,9785171022334,656,Твердый,215 мм x 145 мм,40 мм,545 г.,http://www.bookcity.kz/content/images/thumbs/5104103_1440532.jpeg
Агни-Йога. Учение живой этики,Неизвестно,"Учение Агни-Йоги, переданное Учителями Шамбалы, в частности Махатмой Морией, собрано Е.И. и Н.К.Рерих, и по сей день остается одним из самых значительных. Это четвертая часть из 14, составляющих Учение Живой Этики. Здесь, как и на остальных титульных листах книг Живой Этики, отсутствует авторское имя. Е.И.Рерих объясняла это тем, что изложенная в них мудрость Востока не может быть авторской собственностью. ""Дайте эти знания без имени, чтобы кто-то не кричал из темного угла о корыстном воздействии"".",2 100 тг,0,Амрита-Русь,2016 г.,9785413014196,224,Мягкий,200 мм x 130 мм,12 мм,200 г.,http://www.bookcity.kz/content/images/thumbs/5091594_1429549.jpeg
Агхора I. По левую руку Бога,Свобода Р.,"Хотя общепринятая духовность учит избегать всего, что является гхора (ужасным, устрашающим), агхори (практики агхоры) с энтузиазмом принимают все это. Агхори идут так далеко в темные области человека, что в итоге выходят в свет. Для агхори, страстно стремящихся к единству с космическим сознанием, нет методов, которые были бы слишком экстремальными. Эта книга предлагает окно в загадочный мир агхори Вималананды, который осознавая каждый момент времени, что смерть неизбежна для всех живых существ, превратил свои действия в садхану (духовную дисциплину).",13 300 тг,3,Саттва,2017 г.,9785903851805,384,Твердый,215 мм x 145 мм,24 мм,495 г.,http://www.bookcity.kz/content/images/thumbs/5067310_1407078.jpeg
Агхора II: Кундалини,Свобода Р.,"Вторая книга из трилогии ""Агхора"" посвящена Кундалини. Кундалини создает ткань нашей жизни и либо мы остаемся в ее путах, либо становимся свободными. Она, Вечная, - это Высшее Знание, первопричина свободы от заблуждений и первопричина привязанности к проявленному. Она воистину владычица над всеми владыками. (Дэви Махатмья, I. 57-58) Посвящается Великой Богине, Божественной Матери Вселенной - Кундалини-Шакти. В давние времена, когда эзотерическое знание ревностно оберегалось, взыскующему духовности приходилось терпеливо ждать долгие годы, прежде чем ему удавалось получить доступ к этому знанию. Сегодня, когда информация превратилась в коммерческий продукт, кажется, что все мыслимые тайны стали доступны любому, располагающему средствами на покупку книги или кассеты. Тем не менее из того, что тайные учения сегодня можно легко купить, отнюдь не следует, что их можно столь же легко постичь. Хотя слова можно покупать и продавать, живую мудрость, находящуюся в сфере...",10 900 тг,3,Саттва,2015 г.,9785903851836,400,Твердый,215 мм x 145 мм,30 мм,525 г.,http://www.bookcity.kz/content/images/thumbs/5094036_1431948.jpeg
Агхора III: Закон Кармы,Свобода Р.,"В заключительной книге из трилогии Вималананда использует Бомбейский ипподром как яркую и содержательную метафору игры нашей жизни, где предназначение и удача либо побеждают, либо проигрывают на острие финишной линии. В каждом моменте жизни скрыты и переплетены линии судьбы и возможностей и каждое действие влияет на конечный результат.",11 600 тг,1,Саттва,2017 г.,9785852961037,416,Твердый,215 мм x 145 мм,26 мм,535 г.,http://www.bookcity.kz/content/images/thumbs/5067317_1407085.jpeg
Адвайта,Сумиран,"""Адвайта"" - это книга русского мистика Свами Дхарма Сумирана, которая составлена на основе видеозаписей сатсангов с разными людьми, ищущими истину и свободу в настоящем. Автор делится с читателями знаниями, которые он получил, общаясь с просветленными мастерами в ашрамах Индии и Непала. Но главная ценность этой книги - это личный мистический опыт Сумирана, который позволил ему реализовать свою подлинную природу. Книга посвящается влюбленным: влюбленным в Себя, влюбленным в Существование, влюбленным в Истину.",5 800 тг,0,Весь,2017 г.,9785957319825,432,Твердый,215 мм x 145 мм,22 мм,551 г.,http://www.bookcity.kz/content/images/thumbs/5104517_1440938.jpeg
