Title,Category,PDF
Неврология,"Регулярные выпуски «РМЖ» № 7, 2019",https://www.rmj.ru/upload/iblock/5cb/RMJ_MO_07_2019_Neurology.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 5, 2019",https://www.rmj.ru/upload/iblock/0a2/RMJ_05_2019_Gastro.pdf
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 4, 2019",https://www.rmj.ru/upload/iblock/4e1/RMJ_4_2019_KlinRek.pdf
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 2, 2019",https://www.rmj.ru/upload/iblock/1bb/RMJ_2_2019_Hirurgia-Urologiya.pdf
Аллергология. Иммунология,"Регулярные выпуски «РМЖ» № 3, 2019",https://www.rmj.ru/upload/iblock/7ef/RMJ_03_2019_Allergology.pdf
Имунный ответ,"Регулярные выпуски «РМЖ» № 1(II), 2019",https://www.rmj.ru/upload/iblock/e34/RMJ_1-2_2019_ImunniyOtvet.pdf
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 1(I), 2019",https://www.rmj.ru/upload/iblock/850/RMJ_1-1_2019_KlinReki-new.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 12(II), 2018",https://www.rmj.ru/upload/iblock/e33/RMJ_12-2_2018_Revmatologia.pdf
Ангиология. Гемостаз,"Регулярные выпуски «РМЖ» № 6(II), 2018",https://www.rmj.ru/upload/iblock/9be/RMJ_06-2_2018_Angiology.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 10(II), 2018",https://www.rmj.ru/upload/iblock/ac8/RMJ_10-2_2018_LOR.pdf
Дерматология,"Регулярные выпуски «РМЖ» № 8(II), 2018",https://www.rmj.ru/upload/iblock/bc5/RMJ_08-2_2018_Dermatoloiya.pdf
Неврология,"Регулярные выпуски «РМЖ» № 12(I), 2018",https://www.rmj.ru/upload/iblock/ccf/RMJ_12-1_2018_Neurology.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 11(II), 2018",https://www.rmj.ru/upload/iblock/8a5/RMJ_11-2_2018_Endocrinologia.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 11(I), 2018",https://www.rmj.ru/upload/iblock/af6/RMJ_11-1_2018_Kardiologia.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 10(I), 2018",https://www.rmj.ru/upload/iblock/4e0/RMJ_10-1_2018_BolezniDyhPutey.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 9, 2018",https://www.rmj.ru/upload/iblock/9d0/RMJ_09_2018_Pediatria.pdf
Аллергология / иммунология,"Регулярные выпуски «РМЖ» № 8(I), 2018",https://www.rmj.ru/upload/iblock/de1/RMJ_08-1_2018_Allergo.pdf
Неврология,"Регулярные выпуски «РМЖ» № 7, 2018",https://www.rmj.ru/upload/iblock/be8/RMJ_7_2018_Neuro.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 6(I), 2018",https://www.rmj.ru/upload/iblock/641/RMJ_06-1_2018_Kardiologiya.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 5(II), 2018",https://www.rmj.ru/upload/iblock/26b/RMJ_05-2_2018_Pediatria.pdf
Неврология,"Регулярные выпуски «РМЖ» № 4(II), 2018",https://www.rmj.ru/upload/iblock/932/RMJ_04-2_2018_Nevrologia.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 4(I), 2018",https://www.rmj.ru/upload/iblock/332/RMJ_04-1_2018_Revmatologia.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 3 (II), 2018",https://www.rmj.ru/upload/iblock/861/RMJ_03-2_2018_LOR.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 3(I), 2018",https://www.rmj.ru/upload/iblock/403/RMJ_03-1_2018_Bolezni_DyhPutey.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 1(II), 2018",https://www.rmj.ru/upload/iblock/c22/RMJ_01-2_2018_Kardio.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 2(ll), 2018",https://www.rmj.ru/upload/iblock/520/RMJ_02-2_2018_Pediatria.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 1(I), 2018",https://www.rmj.ru/upload/iblock/422/RMJ_01_2018_Endocrinologia.pdf
Хирургия,"Регулярные выпуски «РМЖ» № 28, 2017",https://www.rmj.ru/upload/iblock/0fd/RMJ_28_2017_Hirurgiya.pdf
Урология,"Регулярные выпуски «РМЖ» № 27, 2017",https://www.rmj.ru/upload/iblock/4d3/RMJ_27_2017_Urologia.pdf
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 25, 2017",https://www.rmj.ru/upload/iblock/c7c/RMJ_25_2017_Klin-rek.pdf
Болевой синдром,"Регулярные выпуски «РМЖ» № 24, 2017",https://www.rmj.ru/upload/iblock/4f7/RMJ_24_2017_Bolevoy_sindrom.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 23, 2017",https://www.rmj.ru/upload/iblock/90b/RMJ_23_2017_LOR.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 22, 2017",https://www.rmj.ru/upload/iblock/b5c/RMJ_22_2017_Endokrinologia.pdf
Неврология,"Регулярные выпуски «РМЖ» № 21, 2017",https://www.rmj.ru/upload/iblock/f94/RMJ_21_2017_Nevrologia.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 20, 2017",https://www.rmj.ru/upload/iblock/084/RMJ_20_2017_Kardiologiya.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 19, 2017",https://www.rmj.ru/upload/iblock/43d/RMJ_19_2017_Pediatria.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 18, 2017",https://www.rmj.ru/upload/iblock/09e/RMJ_18_2018_Pulmo.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 17, 2017",https://www.rmj.ru/upload/iblock/8e9/RMJ_17_2017_Gastroenterologya.pdf
Онкология,"Регулярные выпуски «РМЖ» № 16, 2017",https://www.rmj.ru/upload/iblock/0bf/RMJ_16_2017_Onkologiya.pdf
Неврология,"Регулярные выпуски «РМЖ» № 13, 2017",https://www.rmj.ru/upload/iblock/7a1/RMJ_13_2017_Nevrologia.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 10, 2017",https://www.rmj.ru/upload/iblock/c4b/RMJ_10_2017_Gastroenterologya.pdf
Неврология,"Регулярные выпуски «РМЖ» № 9, 2017",https://www.rmj.ru/upload/iblock/4b4/RMJ_09_2017_Nevrologia.pdf
Урология. Хирургия,"Регулярные выпуски «РМЖ» № 8, 2017",https://www.rmj.ru/upload/iblock/2bb/RMJ_08_2017_Hirurgia-Urologia.pdf
